SPIELER;VEREIN;POSITION;MARKTWERT;GESAMTPUNKTE;PUNKTE PRO SPIEL;PREIS-LEISTUNG;HISTORISCHE PUNKTEAUSBEUTE;Positionsgruppe;Datum
Atubolu;Torhüter;Sport-Club Freiburg;3.110.000;1;1;Schlecht;Über dem Mittel;Torhüter;27.08.2025
Backhaus;Torhüter;SV Werder Bremen;2.650.000;0;0;Schlecht;Gering bis mittel;Torhüter;27.08.2025
Batz;Torhüter;1. FSV Mainz 05;160;0;4;Gut;Gering bis mittel;Torhüter;27.08.2025
Baumann;Torhüter;TSG Hoffenheim;2.870.000;3;3;Durchschnittlich;Deutlich über dem Mittel;Torhüter;27.08.2025
Blaswich;Torhüter;Bayer 04 Leverkusen;560;0;2.7;Gut;Gering bis mittel;Torhüter;27.08.2025
Bredlow;Torhüter;VfB Stuttgart;500;0;6.3;Gut;Gering bis mittel;Torhüter;27.08.2025
D. Klein;Torhüter;FC Augsburg;190;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
Dahmen;Torhüter;FC Augsburg;2.890.000;3;3;Durchschnittlich;Gering bis mittel;Torhüter;27.08.2025
Dickes;Torhüter;Hamburger SV;160;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
Drewes;Torhüter;Borussia Dortmund;170;0;2.5;Gut;Gering bis mittel;Torhüter;27.08.2025
Drljača;Torhüter;VfB Stuttgart;160;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
F. Müller;Torhüter;Sport-Club Freiburg;220;0;0.4;Gut;Gering bis mittel;Torhüter;27.08.2025
Feller;Torhüter;1.FC Heidenheim;160;0;2;Gut;Gering bis mittel;Torhüter;27.08.2025
Flekken;Torhüter;Bayer 04 Leverkusen;3.040.000;2;2;Schlecht;Über dem Mittel;Torhüter;27.08.2025
Grabara;Torhüter;VfL Wolfsburg;2.700.000;2;2;Schlecht;Gering bis mittel;Torhüter;27.08.2025
Grahl;Torhüter;Eintracht Frankfurt;350;0;4;Gut;Gering bis mittel;Torhüter;27.08.2025
Gulácsi;Torhüter;RB Leipzig;2.590.000;-3;-3;Schlecht;Über dem Mittel;Torhüter;27.08.2025
Hermann;Torhüter;Hamburger SV;160;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
Heuer Fernandes;Torhüter;Hamburger SV;2.320.000;6;6;Gut;Gering bis mittel;Torhüter;27.08.2025
Huth;Torhüter;Sport-Club Freiburg;160;0;-0.2;Gut;Gering bis mittel;Torhüter;27.08.2025
Jäger;Torhüter;FC Augsburg;160;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
K. Müller;Torhüter;1.FC Heidenheim;760;0;2.5;Gut;Über dem Mittel;Torhüter;27.08.2025
Kauã Santos;Torhüter;Eintracht Frankfurt;2.010.000;0;4;Gut;Gering bis mittel;Torhüter;27.08.2025
Klanac;Torhüter;FC Bayern München;160;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
Klaus;Torhüter;1.FC Union Berlin;380;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
Kobel;Torhüter;Borussia Dortmund;3.260.000;3;3;Schlecht;Deutlich über dem Mittel;Torhüter;27.08.2025
Kolke;Torhüter;SV Werder Bremen;190;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
Köbbing;Torhüter;1. FC Köln;160;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
L. Philipp;Torhüter;TSG Hoffenheim;180;0;1.2;Gut;Gering bis mittel;Torhüter;27.08.2025
Labrović;Torhüter;FC Augsburg;230;0;2.8;Gut;Gering bis mittel;Torhüter;27.08.2025
Lade;Torhüter;TSG Hoffenheim;160;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
Lomb;Torhüter;Bayer 04 Leverkusen;160;0;-1;Gut;Gering bis mittel;Torhüter;27.08.2025
Ma. Müller;Torhüter;VfL Wolfsburg;210;0;3.7;Gut;Gering bis mittel;Torhüter;27.08.2025
Meyer;Torhüter;Borussia Dortmund;300;0;4;Gut;Gering bis mittel;Torhüter;27.08.2025
Neuer;Torhüter;FC Bayern München;2.790.000;4;4;Gut;Über dem Mittel;Torhüter;27.08.2025
Nicolas;Torhüter;Borussia Mönchengladbach;2.720.000;3;3;Gut;Über dem Mittel;Torhüter;27.08.2025
Nübel;Torhüter;VfB Stuttgart;2.880.000;-1;-1;Schlecht;Über dem Mittel;Torhüter;27.08.2025
Obert;Torhüter;Eintracht Frankfurt;160;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
Omlin;Torhüter;Borussia Mönchengladbach;630;0;2.1;Gut;Gering bis mittel;Torhüter;27.08.2025
Ostrzinski;Torhüter;Borussia Dortmund;160;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
Pavlešić;Torhüter;FC Bayern München;160;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
Pereira Cardoso;Torhüter;Borussia Mönchengladbach;200;0;4.6;Gut;Gering bis mittel;Torhüter;27.08.2025
Peretz;Torhüter;Hamburger SV;1.130.000;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
Pervan;Torhüter;VfL Wolfsburg;160;0;1.6;Gut;Gering bis mittel;Torhüter;27.08.2025
Petersson;Torhüter;TSG Hoffenheim;160;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
Raab;Torhüter;1.FC Union Berlin;250;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
Ramaj;Torhüter;1.FC Heidenheim;2.160.000;0;0;Schlecht;Gering bis mittel;Torhüter;27.08.2025
Rapsch;Torhüter;Bayer 04 Leverkusen;160;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
Rieß;Torhüter;1. FSV Mainz 05;160;0;3;Gut;Gering bis mittel;Torhüter;27.08.2025
Rönnow;Torhüter;1.FC Union Berlin;3.210.000;8;8;Gut;Deutlich über dem Mittel;Torhüter;27.08.2025
Schwäbe;Torhüter;1. FC Köln;2.630.000;4;4;Gut;Gering bis mittel;Torhüter;27.08.2025
Siljević;Torhüter;Eintracht Frankfurt;160;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
Sippel;Torhüter;Borussia Mönchengladbach;180;0;-2;Gut;Gering bis mittel;Torhüter;27.08.2025
Spari;Torhüter;FC St. Pauli;160;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
Stein;Torhüter;1.FC Union Berlin;160;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
T. Philipp;Torhüter;TSG Hoffenheim;160;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
Tschernuth;Torhüter;1.FC Heidenheim;160;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
Urbig;Torhüter;FC Bayern München;470;0;0.8;Gut;Gering bis mittel;Torhüter;27.08.2025
Vandevoordt;Torhüter;RB Leipzig;1.160.000;0;1.5;Gut;Gering bis mittel;Torhüter;27.08.2025
Vasilj;Torhüter;FC St. Pauli;2.970.000;4;4;Gut;Gering bis mittel;Torhüter;27.08.2025
Voll;Torhüter;FC St. Pauli;180;0;2;Gut;Gering bis mittel;Torhüter;27.08.2025
Zentner;Torhüter;1. FSV Mainz 05;3.370.000;4;4;Durchschnittlich;Deutlich über dem Mittel;Torhüter;27.08.2025
Zetterer;Torhüter;Eintracht Frankfurt;2.920.000;5;5;Gut;Über dem Mittel;Torhüter;27.08.2025
Zieler;Torhüter;1. FC Köln;390;0;2;Gut;Gering bis mittel;Torhüter;27.08.2025
Zieliński;Torhüter;VfL Wolfsburg;160;0;0;Gut;Gering bis mittel;Torhüter;27.08.2025
Zingerle;Torhüter;RB Leipzig;160;0;2.4;Gut;Gering bis mittel;Torhüter;27.08.2025
A. Jung;Abwehr;Sport-Club Freiburg;660;0;2.6;Gut;Gering bis mittel;Abwehr;27.08.2025
Agu;Abwehr;SV Werder Bremen;2.380.000;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Agyekum;Abwehr;Hamburger SV;210;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Akpoguma;Abwehr;TSG Hoffenheim;1.840.000;3;3;Gut;Gering bis mittel;Abwehr;27.08.2025
Al-Dakhil;Abwehr;VfB Stuttgart;630;0;2.7;Gut;Gering bis mittel;Abwehr;27.08.2025
Amenda;Abwehr;Eintracht Frankfurt;330;0;2.3;Gut;Gering bis mittel;Abwehr;27.08.2025
Angély;Abwehr;VfL Wolfsburg;190;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Anton;Abwehr;Borussia Dortmund;6.210.000;10;10;Gut;Deutlich über dem Mittel;Abwehr;27.08.2025
Arthur;Abwehr;Bayer 04 Leverkusen;2.930.000;3;3;Durchschnittlich;Gering bis mittel;Abwehr;27.08.2025
Assignon;Abwehr;VfB Stuttgart;2.610.000;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Baku;Abwehr;RB Leipzig;3.700.000;1;1;Schlecht;Deutlich über dem Mittel;Abwehr;27.08.2025
Bauer;Abwehr;FC Augsburg;360;0;1.9;Gut;Gering bis mittel;Abwehr;27.08.2025
Baum;Abwehr;Eintracht Frankfurt;1.360.000;0;1.3;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Bell;Abwehr;1. FSV Mainz 05;2.330.000;4;4;Gut;Gering bis mittel;Abwehr;27.08.2025
Belocian;Abwehr;Bayer 04 Leverkusen;470;0;0.7;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Bensebaini;Abwehr;Borussia Dortmund;4.050.000;3;3;Schlecht;Deutlich über dem Mittel;Abwehr;27.08.2025
Bernardo;Abwehr;TSG Hoffenheim;4.310.000;6;6;Gut;Über dem Mittel;Abwehr;27.08.2025
Bitshiabu;Abwehr;RB Leipzig;1.990.000;0;3.2;Gut;Gering bis mittel;Abwehr;27.08.2025
Boakye Osei;Abwehr;Eintracht Frankfurt;200;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Boey;Abwehr;FC Bayern München;1.780.000;3;3;Gut;Gering bis mittel;Abwehr;27.08.2025
Bos;Abwehr;1. FSV Mainz 05;300;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Brown;Abwehr;Eintracht Frankfurt;5.300.000;2;2;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Busch;Abwehr;1.FC Heidenheim;840;3;3;Gut;Gering bis mittel;Abwehr;27.08.2025
Buta;Abwehr;Eintracht Frankfurt;520;0;2;Gut;Gering bis mittel;Abwehr;27.08.2025
Caci;Abwehr;1. FSV Mainz 05;3.780.000;4;4;Durchschnittlich;Deutlich über dem Mittel;Abwehr;27.08.2025
Chabot;Abwehr;VfB Stuttgart;4.750.000;5;5;Gut;Über dem Mittel;Abwehr;27.08.2025
Chaves;Abwehr;TSG Hoffenheim;2.200.000;1;1;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Chiarodia;Abwehr;Borussia Mönchengladbach;1.360.000;4;4;Gut;Gering bis mittel;Abwehr;27.08.2025
Coulibaly;Abwehr;SV Werder Bremen;870;3;3;Gut;Gering bis mittel;Abwehr;27.08.2025
Couto;Abwehr;Borussia Dortmund;3.050.000;1;1;Schlecht;Gering bis mittel;Abwehr;27.08.2025
D. Nemeth;Abwehr;FC St. Pauli;1.370.000;0;3.2;Gut;Gering bis mittel;Abwehr;27.08.2025
da Costa;Abwehr;1. FSV Mainz 05;2.290.000;4;4;Gut;Gering bis mittel;Abwehr;27.08.2025
Dahaba;Abwehr;FC St. Pauli;190;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Dal;Abwehr;1. FSV Mainz 05;160;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Davies;Abwehr;FC Bayern München;3.030.000;0;5.2;Gut;Deutlich über dem Mittel;Abwehr;27.08.2025
Deman;Abwehr;SV Werder Bremen;510;0;1.7;Durchschnittlich;Gering bis mittel;Abwehr;27.08.2025
Diks;Abwehr;Borussia Mönchengladbach;3.370.000;3;3;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Diogo Leite;Abwehr;1.FC Union Berlin;2.800.000;0;4.9;Gut;Über dem Mittel;Abwehr;27.08.2025
Doekhi;Abwehr;1.FC Union Berlin;3.890.000;5;5;Gut;Deutlich über dem Mittel;Abwehr;27.08.2025
Doumbia;Abwehr;Eintracht Frankfurt;190;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Dźwigała;Abwehr;FC St. Pauli;770;-1;-1;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Elfadli;Abwehr;Hamburger SV;3.110.000;6;6;Gut;Gering bis mittel;Abwehr;27.08.2025
Elvedi;Abwehr;Borussia Mönchengladbach;4.030.000;5;5;Gut;Deutlich über dem Mittel;Abwehr;27.08.2025
Erlein;Abwehr;TSG Hoffenheim;180;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Finkgräfe;Abwehr;RB Leipzig;750;0;2.6;Gut;Gering bis mittel;Abwehr;27.08.2025
Fischer;Abwehr;VfL Wolfsburg;2.220.000;3;3;Gut;Gering bis mittel;Abwehr;27.08.2025
Friedl;Abwehr;SV Werder Bremen;2.640.000;1;1;Schlecht;Über dem Mittel;Abwehr;27.08.2025
Friedrich;Abwehr;Borussia Mönchengladbach;480;0;2.9;Gut;Gering bis mittel;Abwehr;27.08.2025
Föhrenbach;Abwehr;1.FC Heidenheim;560;2;2;Gut;Gering bis mittel;Abwehr;27.08.2025
Gazibegović;Abwehr;1. FC Köln;800;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Geertruida;Abwehr;RB Leipzig;1.020.000;0;2.8;Gut;Gering bis mittel;Abwehr;27.08.2025
Gendrey;Abwehr;TSG Hoffenheim;350;0;3.4;Gut;Gering bis mittel;Abwehr;27.08.2025
Giannoulis;Abwehr;FC Augsburg;3.580.000;11;11;Gut;Gering bis mittel;Abwehr;27.08.2025
Gimber;Abwehr;1.FC Heidenheim;1.570.000;1;1;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Ginter;Abwehr;Sport-Club Freiburg;4.820.000;3;3;Schlecht;Deutlich über dem Mittel;Abwehr;27.08.2025
Gouweleeuw;Abwehr;FC Augsburg;3.990.000;3;3;Schlecht;Deutlich über dem Mittel;Abwehr;27.08.2025
Grillitsch;Abwehr;TSG Hoffenheim;320;0;3.4;Gut;Über dem Mittel;Abwehr;27.08.2025
Grimaldo;Abwehr;Bayer 04 Leverkusen;8.840.000;5;5;Schlecht;Über dem Mittel;Abwehr;27.08.2025
Gui Ramos;Abwehr;Hamburger SV;400;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Günter;Abwehr;Sport-Club Freiburg;2.700.000;0;0;Schlecht;Deutlich über dem Mittel;Abwehr;27.08.2025
H. Behrens;Abwehr;TSG Hoffenheim;230;0;2;Gut;Gering bis mittel;Abwehr;27.08.2025
Hanche-Olsen;Abwehr;1. FSV Mainz 05;1.390.000;3;3;Gut;Gering bis mittel;Abwehr;27.08.2025
Hefti;Abwehr;Hamburger SV;170;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Heintz;Abwehr;1. FC Köln;340;0;1.8;Gut;Gering bis mittel;Abwehr;27.08.2025
Heitmann;Abwehr;SV Werder Bremen;180;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Hendriks;Abwehr;VfB Stuttgart;940;2;2;Durchschnittlich;Gering bis mittel;Abwehr;27.08.2025
Henrichs;Abwehr;RB Leipzig;940;0;3.3;Gut;Über dem Mittel;Abwehr;27.08.2025
Hincapié;Abwehr;Bayer 04 Leverkusen;4.940.000;4;4;Schlecht;Über dem Mittel;Abwehr;27.08.2025
Hranáč;Abwehr;TSG Hoffenheim;1.230.000;1;1;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Hübers;Abwehr;1. FC Köln;3.490.000;7;7;Gut;Deutlich über dem Mittel;Abwehr;27.08.2025
Itō;Abwehr;FC Bayern München;1.320.000;0;4.8;Gut;Deutlich über dem Mittel;Abwehr;27.08.2025
Jaquez;Abwehr;VfB Stuttgart;3.030.000;3;3;Durchschnittlich;Gering bis mittel;Abwehr;27.08.2025
Jeltsch;Abwehr;VfB Stuttgart;2.950.000;0;3.8;Gut;Gering bis mittel;Abwehr;27.08.2025
Jenz;Abwehr;VfL Wolfsburg;2.850.000;1;1;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Juranović;Abwehr;1.FC Union Berlin;1.370.000;1;1;Schlecht;Gering bis mittel;Abwehr;27.08.2025
K. Schlotterbeck;Abwehr;FC Augsburg;4.130.000;3;3;Schlecht;Über dem Mittel;Abwehr;27.08.2025
Kabak;Abwehr;TSG Hoffenheim;460;0;3.7;Gut;Über dem Mittel;Abwehr;27.08.2025
Kabar;Abwehr;Borussia Dortmund;620;0;1.4;Durchschnittlich;Gering bis mittel;Abwehr;27.08.2025
Katterbach;Abwehr;Hamburger SV;360;0;1;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Keller;Abwehr;1.FC Heidenheim;180;0;2.2;Gut;Gering bis mittel;Abwehr;27.08.2025
Kiala;Abwehr;FC Bayern München;200;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Kilian;Abwehr;1. FC Köln;180;0;0.9;Durchschnittlich;Gering bis mittel;Abwehr;27.08.2025
Kim;Abwehr;FC Bayern München;4.160.000;4;4;Durchschnittlich;Über dem Mittel;Abwehr;27.08.2025
Klostermann;Abwehr;RB Leipzig;1.400.000;0;3.6;Gut;Gering bis mittel;Abwehr;27.08.2025
Koch;Abwehr;Eintracht Frankfurt;5.920.000;5;5;Durchschnittlich;Über dem Mittel;Abwehr;27.08.2025
Kohr;Abwehr;1. FSV Mainz 05;3.970.000;7;7;Gut;Über dem Mittel;Abwehr;27.08.2025
Koulierakis;Abwehr;VfL Wolfsburg;3.080.000;2;2;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Kristensen;Abwehr;Eintracht Frankfurt;7.260.000;8;8;Gut;Gering bis mittel;Abwehr;27.08.2025
Kölle;Abwehr;1.FC Heidenheim;190;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Kübler;Abwehr;Sport-Club Freiburg;2.740.000;3;3;Durchschnittlich;Über dem Mittel;Abwehr;27.08.2025
Laimer;Abwehr;FC Bayern München;5.720.000;3;3;Schlecht;Über dem Mittel;Abwehr;27.08.2025
Leitsch;Abwehr;1. FSV Mainz 05;480;0;2.4;Gut;Gering bis mittel;Abwehr;27.08.2025
Lienhart;Abwehr;Sport-Club Freiburg;3.490.000;4;4;Gut;Deutlich über dem Mittel;Abwehr;27.08.2025
Lukeba;Abwehr;RB Leipzig;3.520.000;-2;-2;Schlecht;Über dem Mittel;Abwehr;27.08.2025
Lührs;Abwehr;Borussia Dortmund;240;0;1;Durchschnittlich;Gering bis mittel;Abwehr;27.08.2025
M. Wolf;Abwehr;FC Augsburg;3.440.000;11;11;Gut;Gering bis mittel;Abwehr;27.08.2025
Machida;Abwehr;TSG Hoffenheim;2.560.000;1;1;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Mainka;Abwehr;1.FC Heidenheim;4.040.000;0;0;Schlecht;Über dem Mittel;Abwehr;27.08.2025
Makengo;Abwehr;Sport-Club Freiburg;1.780.000;3;3;Gut;Gering bis mittel;Abwehr;27.08.2025
Malatini;Abwehr;SV Werder Bremen;570;-2;-2;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Mané;Abwehr;Borussia Dortmund;2.080.000;-5;-5;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Markgraf;Abwehr;1.FC Union Berlin;200;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Matsima;Abwehr;FC Augsburg;5.740.000;12;12;Gut;Gering bis mittel;Abwehr;27.08.2025
Mets;Abwehr;FC St. Pauli;380;0;3.3;Gut;Gering bis mittel;Abwehr;27.08.2025
Mikelbrencis;Abwehr;Hamburger SV;570;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Mittelstädt;Abwehr;VfB Stuttgart;7.620.000;8;8;Gut;Über dem Mittel;Abwehr;27.08.2025
Muheim;Abwehr;Hamburger SV;3.150.000;4;4;Gut;Gering bis mittel;Abwehr;27.08.2025
Mwene;Abwehr;1. FSV Mainz 05;3.060.000;5;5;Gut;Gering bis mittel;Abwehr;27.08.2025
Mæhle;Abwehr;VfL Wolfsburg;2.830.000;0;3.4;Durchschnittlich;Über dem Mittel;Abwehr;27.08.2025
N. Banks;Abwehr;FC Augsburg;910;0;2.1;Gut;Gering bis mittel;Abwehr;27.08.2025
N. Collins;Abwehr;Eintracht Frankfurt;2.960.000;3;3;Durchschnittlich;Gering bis mittel;Abwehr;27.08.2025
N. Schlotterbeck;Abwehr;Borussia Dortmund;3.620.000;0;4.1;Gut;Deutlich über dem Mittel;Abwehr;27.08.2025
Nedeljković;Abwehr;RB Leipzig;2.300.000;0;2.4;Durchschnittlich;Gering bis mittel;Abwehr;27.08.2025
Netz;Abwehr;Borussia Mönchengladbach;1.580.000;2;2;Durchschnittlich;Gering bis mittel;Abwehr;27.08.2025
Nkounkou;Abwehr;Eintracht Frankfurt;1.530.000;0;2.6;Gut;Gering bis mittel;Abwehr;27.08.2025
Nsoki;Abwehr;1.FC Union Berlin;900;0;1.8;Durchschnittlich;Gering bis mittel;Abwehr;27.08.2025
Odogu;Abwehr;VfL Wolfsburg;380;0;4;Gut;Gering bis mittel;Abwehr;27.08.2025
Ogbemudia;Abwehr;1.FC Union Berlin;190;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Ogbus;Abwehr;Sport-Club Freiburg;210;0;2;Gut;Gering bis mittel;Abwehr;27.08.2025
Oppie;Abwehr;FC St. Pauli;2.820.000;5;5;Gut;Gering bis mittel;Abwehr;27.08.2025
Pauli;Abwehr;1. FC Köln;280;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Paçarada;Abwehr;1. FC Köln;800;0;1.6;Durchschnittlich;Gering bis mittel;Abwehr;27.08.2025
Pedersen;Abwehr;FC Augsburg;310;0;0.6;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Pieper;Abwehr;SV Werder Bremen;830;0;3.4;Gut;Über dem Mittel;Abwehr;27.08.2025
Prass;Abwehr;TSG Hoffenheim;850;3;3;Gut;Gering bis mittel;Abwehr;27.08.2025
Pyrka;Abwehr;FC St. Pauli;880;2;2;Gut;Gering bis mittel;Abwehr;27.08.2025
Quansah;Abwehr;Bayer 04 Leverkusen;6.660.000;11;11;Gut;Gering bis mittel;Abwehr;27.08.2025
Querfeld;Abwehr;1.FC Union Berlin;3.630.000;4;4;Gut;Gering bis mittel;Abwehr;27.08.2025
Raphaël Guerreiro;Abwehr;FC Bayern München;2.950.000;0;5.8;Gut;Deutlich über dem Mittel;Abwehr;27.08.2025
Raum;Abwehr;RB Leipzig;5.840.000;0;0;Schlecht;Über dem Mittel;Abwehr;27.08.2025
Ritzka;Abwehr;FC St. Pauli;430;0;2.9;Gut;Gering bis mittel;Abwehr;27.08.2025
Robatsch;Abwehr;FC St. Pauli;250;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Rogério;Abwehr;VfL Wolfsburg;220;0;1.9;Gut;Gering bis mittel;Abwehr;27.08.2025
Rosenfelder;Abwehr;Sport-Club Freiburg;1.040.000;0;2.3;Gut;Gering bis mittel;Abwehr;27.08.2025
Rothe;Abwehr;1.FC Union Berlin;2.970.000;3;3;Durchschnittlich;Gering bis mittel;Abwehr;27.08.2025
Ryerson;Abwehr;Borussia Dortmund;4.430.000;0;3.7;Schlecht;Über dem Mittel;Abwehr;27.08.2025
Saliakas;Abwehr;FC St. Pauli;2.250.000;4;4;Gut;Gering bis mittel;Abwehr;27.08.2025
Scally;Abwehr;Borussia Mönchengladbach;2.560.000;6;6;Gut;Gering bis mittel;Abwehr;27.08.2025
Schmied;Abwehr;1. FC Köln;1.940.000;4;4;Gut;Gering bis mittel;Abwehr;27.08.2025
Schopp;Abwehr;1. FSV Mainz 05;370;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Sebulonsen;Abwehr;1. FC Köln;2.240.000;3;3;Gut;Gering bis mittel;Abwehr;27.08.2025
Siersleben;Abwehr;1.FC Heidenheim;1.450.000;1;1;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Smith;Abwehr;FC St. Pauli;4.820.000;9;9;Gut;Gering bis mittel;Abwehr;27.08.2025
Smolčić;Abwehr;Eintracht Frankfurt;180;0;3;Gut;Gering bis mittel;Abwehr;27.08.2025
Soumahoro;Abwehr;Hamburger SV;800;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Stanišić;Abwehr;FC Bayern München;6.100.000;5;5;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Stark;Abwehr;SV Werder Bremen;2.520.000;3;3;Durchschnittlich;Gering bis mittel;Abwehr;27.08.2025
Stenzel;Abwehr;VfB Stuttgart;340;0;2.8;Gut;Gering bis mittel;Abwehr;27.08.2025
Stergiou;Abwehr;VfB Stuttgart;310;0;3.7;Gut;Gering bis mittel;Abwehr;27.08.2025
Stevens;Abwehr;FC St. Pauli;170;0;-1;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Svensson;Abwehr;Borussia Dortmund;5.280.000;4;4;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Süle;Abwehr;Borussia Dortmund;1.430.000;0;2.9;Gut;Über dem Mittel;Abwehr;27.08.2025
T. Drexler;Abwehr;TSG Hoffenheim;340;0;1;Durchschnittlich;Gering bis mittel;Abwehr;27.08.2025
Tah;Abwehr;FC Bayern München;8.030.000;4;4;Schlecht;Deutlich über dem Mittel;Abwehr;27.08.2025
Tape;Abwehr;Bayer 04 Leverkusen;2.070.000;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Tapsoba;Abwehr;Bayer 04 Leverkusen;4.410.000;4;4;Durchschnittlich;Deutlich über dem Mittel;Abwehr;27.08.2025
Tauer;Abwehr;1. FSV Mainz 05;240;0;0.7;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Telle;Abwehr;1. FC Köln;170;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Theate;Abwehr;Eintracht Frankfurt;4.300.000;3;3;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Torunarigha;Abwehr;Hamburger SV;2.580.000;6;6;Gut;Gering bis mittel;Abwehr;27.08.2025
Traoré;Abwehr;1.FC Heidenheim;1.270.000;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Treu;Abwehr;Sport-Club Freiburg;1.760.000;0;3;Gut;Gering bis mittel;Abwehr;27.08.2025
Trimmel;Abwehr;1.FC Union Berlin;2.440.000;4;4;Gut;Deutlich über dem Mittel;Abwehr;27.08.2025
Ullrich;Abwehr;Borussia Mönchengladbach;2.440.000;4;4;Gut;Gering bis mittel;Abwehr;27.08.2025
Upamecano;Abwehr;FC Bayern München;6.930.000;4;4;Schlecht;Deutlich über dem Mittel;Abwehr;27.08.2025
Vagnoman;Abwehr;VfB Stuttgart;2.930.000;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Vavro;Abwehr;VfL Wolfsburg;3.070.000;0;5.1;Gut;Gering bis mittel;Abwehr;27.08.2025
W. Orbán;Abwehr;RB Leipzig;5.460.000;-3;-3;Schlecht;Deutlich über dem Mittel;Abwehr;27.08.2025
Wahl;Abwehr;FC St. Pauli;2.590.000;0;0;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Weiser;Abwehr;SV Werder Bremen;870;0;4.6;Gut;Deutlich über dem Mittel;Abwehr;27.08.2025
Widmer;Abwehr;1. FSV Mainz 05;940;2;2;Durchschnittlich;Gering bis mittel;Abwehr;27.08.2025
Wöber;Abwehr;SV Werder Bremen;1.800.000;0;3.6;Gut;Gering bis mittel;Abwehr;27.08.2025
