Spieler;Marktwert;Besitzer;TM_Stand
Klostermann;2.230.000;Dominik;14.07.2025
M. El Mala;1.380.000;Andreas;14.07.2025
Nkounkou;460.000;Thomas;14.07.2025
Banzuzi;3.010.000;Computer;15.07.2025
Gebel;160.000;Computer;15.07.2025
Kovář;160.000;Computer;15.07.2025
Weißhaupt;2.090.000;Computer;15.07.2025
Bauer;240.000;Computer;15.07.2025
Laimer;5.270.000;Computer;15.07.2025
Adli;2.720.000;Dominik;15.07.2025
Sieb;1.100.000;Dominik;15.07.2025
Moerstedt;1.860.000;Dominik;15.07.2025
Schimmer;230.000;Dominik;15.07.2025
Ceesay;220.000;Dominik;15.07.2025
Wanner;3.900.000;Dominik;15.07.2025
Baumgartner;2.530.000;Dominik;15.07.2025
Stach;3.990.000;Dominik;15.07.2025
P. Aaronson;1.190.000;Dominik;15.07.2025
Haberer;920.000;Dominik;15.07.2025
Klostermann;2.230.000;Dominik;15.07.2025
Ritzka;460.000;Dominik;15.07.2025
Netz;710.000;Dominik;15.07.2025
Mets;380.000;Dominik;15.07.2025
Malatini;330.000;Dominik;15.07.2025
Chase;440.000;Dominik;15.07.2025
Al-Dakhil;560.000;Dominik;15.07.2025
Ogbus;240.000;Dominik;15.07.2025
Hübers;2.030.000;Dominik;15.07.2025
Kauã Santos;640.000;Dominik;15.07.2025
Boniface;4.860.000;Alfons;15.07.2025
Martel;3.810.000;Alfons;15.07.2025
Tauer;180.000;Alfons;15.07.2025
Akpoguma;1.840.000;Alfons;15.07.2025
Querfeld;3.000.000;Alfons;15.07.2025
Ginter;3.790.000;Alfons;15.07.2025
Kristensen;5.000.000;Alfons;15.07.2025
Gulácsi;2.230.000;Alfons;15.07.2025
M. El Mala;1.480.000;Andreas;15.07.2025
Nkounkou;470.000;Thomas;15.07.2025
Maluze;160.000;Computer;15.07.2025
Bensebaini;3.230.000;Computer;15.07.2025
Nartey;220.000;Computer;15.07.2025
Stein;160.000;Computer;15.07.2025
Bebou;1.330.000;Alfons;15.07.2025
Matanović;4.730.000;Alfons;15.07.2025
Dinkçi;1.650.000;Alfons;15.07.2025
Tietz;3.900.000;Alfons;15.07.2025
Undav;7.440.000;Alfons;15.07.2025
Meffert;980.000;Alfons;15.07.2025
J. Hofmann;2.500.000;Alfons;15.07.2025
Süle;2.590.000;Alfons;15.07.2025
Davies;3.020.000;Thomas;15.07.2025
Weiper;4.500.000;Thomas;15.07.2025
Diehl;1.080.000;Thomas;15.07.2025
Doan;9.000.000;Thomas;15.07.2025
Agu;2.750.000;Thomas;15.07.2025
Burkardt;11.650.000;Thomas;15.07.2025
Wahl;2.230.000;Thomas;15.07.2025
Heuer Fernandes;2.200.000;Thomas;15.07.2025
M. Eggestein;2.830.000;Thomas;15.07.2025
Meyer;230.000;Thomas;15.07.2025
Glatzel;4.420.000;Thomas;15.07.2025
Jeong;2.040.000;Christoph;15.07.2025
Bitshiabu;2.600.000;Christoph;15.07.2025
Olise;19.440.000;Nico;15.07.2025
Hendriks;1.060.000;Nico;15.07.2025
Saliakas;2.630.000;Nico;15.07.2025
Muheim;2.860.000;Nico;15.07.2025
Wahi;2.580.000;Nico;15.07.2025
Pavlović;6.460.000;Nico;15.07.2025
Hložek;4.960.000;Nico;15.07.2025
Doekhi;2.660.000;Nico;15.07.2025
Schäfer;1.130.000;Nico;15.07.2025
Knauff;4.630.000;Nico;15.07.2025
Höler;2.910.000;Nico;15.07.2025
Dorsch;1.160.000;Nico;15.07.2025
Zentner;3.180.000;Nico;15.07.2025
Gregoritsch;1.250.000;Nico;15.07.2025
Capaldo;4.570.000;Computer;15.07.2025
Hack;4.350.000;Computer;15.07.2025
Brown;5.580.000;Computer;15.07.2025
Petersson;170.000;Computer;15.07.2025
Sildillia;1.140.000;Computer;15.07.2025
Raab;210.000;Thomas;15.07.2025
Treu;2.490.000;Thomas;15.07.2025
Grimaldo;7.500.000;Thomas;15.07.2025
Palacios;5.150.000;Thomas;15.07.2025
;;;16.07.2025
Kane;17.590.000;Computer;16.07.2025
Zehnter;2.680.000;Computer;16.07.2025
Gnabry;5.630.000;Computer;16.07.2025
Aigbekaen;170.000;Computer;16.07.2025
Čović;200.000;Computer;16.07.2025
Ogbus;230.000;Dominik;16.07.2025
Al-Dakhil;570.000;Dominik;16.07.2025
Ceesay;210.000;Dominik;16.07.2025
Sieb;1.030.000;Dominik;16.07.2025
Mets;370.000;Dominik;16.07.2025
Malatini;340.000;Dominik;16.07.2025
Kauã Santos;620.000;Dominik;16.07.2025
P. Aaronson;1.120.000;Dominik;16.07.2025
Chabot;3.790.000;Dominik;16.07.2025
Wanner;3.930.000;Dominik;16.07.2025
Adli;2.700.000;Dominik;16.07.2025
Netz;680.000;Dominik;16.07.2025
Schimmer;250.000;Dominik;16.07.2025
Baumgartner;2.460.000;Dominik;16.07.2025
Ritzka;500.000;Dominik;16.07.2025
Hübers;1.900.000;Dominik;16.07.2025
Klostermann;2.140.000;Dominik;16.07.2025
Haberer;880.000;Dominik;16.07.2025
Groß;5.050.000;Dominik;16.07.2025
Neuer;2.290.000;Dominik;16.07.2025
Bebou;1.300.000;Alfons;16.07.2025
Matanović;4.800.000;Alfons;16.07.2025
Dinkçi;1.700.000;Alfons;16.07.2025
Tietz;3.940.000;Alfons;16.07.2025
Undav;7.280.000;Alfons;16.07.2025
Meffert;920.000;Alfons;16.07.2025
J. Hofmann;2.320.000;Alfons;16.07.2025
Tauer;180.000;Alfons;16.07.2025
Süle;2.540.000;Alfons;16.07.2025
Raab;230.000;Thomas;16.07.2025
Meyer;220.000;Thomas;16.07.2025
Heuer Fernandes;2.180.000;Thomas;16.07.2025
Wahl;2.150.000;Thomas;16.07.2025
Treu;2.540.000;Thomas;16.07.2025
Grimaldo;7.500.000;Thomas;16.07.2025
Davies;2.830.000;Thomas;16.07.2025
Agu;2.660.000;Thomas;16.07.2025
Palacios;5.290.000;Thomas;16.07.2025
M. Eggestein;2.750.000;Thomas;16.07.2025
Doan;8.830.000;Thomas;16.07.2025
Weiper;4.690.000;Thomas;16.07.2025
Glatzel;4.380.000;Thomas;16.07.2025
Diehl;1.010.000;Thomas;16.07.2025
Burkardt;11.090.000;Thomas;16.07.2025
Doekhi;2.670.000;Nico;16.07.2025
Schäfer;1.090.000;Nico;16.07.2025
Knauff;4.620.000;Nico;16.07.2025
Höler;2.960.000;Nico;16.07.2025
Dorsch;1.280.000;Nico;16.07.2025
Muheim;3.140.000;Nico;16.07.2025
Wahi;2.510.000;Nico;16.07.2025
Olise;17.870.000;Nico;16.07.2025
Hendriks;1.120.000;Nico;16.07.2025
Saliakas;2.440.000;Nico;16.07.2025
Pavlović;6.450.000;Nico;16.07.2025
Hložek;4.940.000;Nico;16.07.2025
Zentner;3.210.000;Nico;16.07.2025
Gregoritsch;1.270.000;Nico;16.07.2025
Banzuzi;3.090.000;Computer;16.07.2025
Gebel;170.000;Computer;16.07.2025
Kovář;160.000;Computer;16.07.2025
Weißhaupt;2.160.000;Computer;16.07.2025
Bauer;240.000;Computer;16.07.2025
Laimer;5.170.000;Computer;16.07.2025
Boniface;4.500.000;Alfons;16.07.2025
Martel;3.520.000;Alfons;16.07.2025
Akpoguma;1.840.000;Alfons;16.07.2025
Querfeld;2.940.000;Alfons;16.07.2025
Ginter;3.500.000;Alfons;16.07.2025
Kristensen;4.630.000;Alfons;16.07.2025
Gulácsi;2.150.000;Alfons;16.07.2025
M. El Mala;1.480.000;Andreas;16.07.2025
Nkounkou;450.000;Thomas;16.07.2025
Maluze;160.000;Computer;16.07.2025
Bensebaini;3.100.000;Computer;16.07.2025
Nartey;210.000;Computer;16.07.2025
Stein;160.000;Computer;16.07.2025
;;;17.07.2025
Kusi-Asare;280.000;Computer;17.07.2025
Skov Olsen;2.080.000;Computer;17.07.2025
Rosenfelder;2.000.000;Computer;17.07.2025
S. Banks;330.000;Computer;17.07.2025
Kilian;210.000;Computer;17.07.2025
Anton;4.880.000;Computer;17.07.2025
Martel;3.340.000;Alfons;17.07.2025
Querfeld;2.940.000;Alfons;17.07.2025
Akpoguma;1.870.000;Alfons;17.07.2025
Ginter;3.550.000;Alfons;17.07.2025
Kristensen;4.630.000;Alfons;17.07.2025
Gulácsi;2.150.000;Alfons;17.07.2025
Petersson;160.000;Dominik;17.07.2025
Raab;220.000;Thomas;17.07.2025
Davies;2.730.000;Thomas;17.07.2025
Heuer Fernandes;2.180.000;Thomas;17.07.2025
Meyer;220.000;Thomas;17.07.2025
Doan;9.290.000;Thomas;17.07.2025
Treu;2.580.000;Thomas;17.07.2025
Amiri;8.500.000;Christoph;17.07.2025
Gouweleeuw;3.810.000;Christoph;17.07.2025
Capaldo;4.500.000;Christoph;17.07.2025
Kane;18.230.000;Computer;17.07.2025
Zehnter;2.560.000;Computer;17.07.2025
Gnabry;5.840.000;Computer;17.07.2025
Aigbekaen;170.000;Computer;17.07.2025
Čović;260.000;Computer;17.07.2025
Ogbus;220.000;Dominik;17.07.2025
Al-Dakhil;570.000;Dominik;17.07.2025
Ceesay;210.000;Dominik;17.07.2025
Sieb;1.000.000;Dominik;17.07.2025
Mets;370.000;Dominik;17.07.2025
Malatini;330.000;Dominik;17.07.2025
Kauã Santos;590.000;Dominik;17.07.2025
P. Aaronson;1.160.000;Dominik;17.07.2025
Chabot;3.560.000;Dominik;17.07.2025
Wanner;4.110.000;Dominik;17.07.2025
Adli;2.700.000;Dominik;17.07.2025
Netz;680.000;Dominik;17.07.2025
Schimmer;270.000;Dominik;17.07.2025
Baumgartner;2.600.000;Dominik;17.07.2025
Ritzka;520.000;Dominik;17.07.2025
Hübers;2.050.000;Dominik;17.07.2025
Klostermann;2.020.000;Dominik;17.07.2025
Haberer;880.000;Dominik;17.07.2025
Neuer;2.490.000;Dominik;17.07.2025
Bebou;1.250.000;Alfons;17.07.2025
Matanović;5.150.000;Alfons;17.07.2025
Dinkçi;1.620.000;Alfons;17.07.2025
Tietz;4.030.000;Alfons;17.07.2025
Undav;7.540.000;Alfons;17.07.2025
Meffert;960.000;Alfons;17.07.2025
J. Hofmann;2.200.000;Alfons;17.07.2025
Tauer;180.000;Alfons;17.07.2025
Süle;2.550.000;Alfons;17.07.2025
Wahl;2.160.000;Thomas;17.07.2025
Grimaldo;7.830.000;Thomas;17.07.2025
Agu;2.720.000;Thomas;17.07.2025
Palacios;5.290.000;Thomas;17.07.2025
M. Eggestein;2.920.000;Thomas;17.07.2025
Weiper;4.930.000;Thomas;17.07.2025
Glatzel;4.470.000;Thomas;17.07.2025
Diehl;1.010.000;Thomas;17.07.2025
Burkardt;11.600.000;Thomas;17.07.2025
Doekhi;2.720.000;Nico;17.07.2025
Schäfer;1.070.000;Nico;17.07.2025
Knauff;4.840.000;Nico;17.07.2025
Höler;2.960.000;Nico;17.07.2025
Dorsch;1.280.000;Nico;17.07.2025
Muheim;3.130.000;Nico;17.07.2025
Wahi;2.400.000;Nico;17.07.2025
Olise;18.130.000;Nico;17.07.2025
Hendriks;1.120.000;Nico;17.07.2025
Saliakas;2.610.000;Nico;17.07.2025
Pavlović;6.350.000;Nico;17.07.2025
Hložek;5.180.000;Nico;17.07.2025
Zentner;3.280.000;Nico;17.07.2025
Gregoritsch;1.310.000;Nico;17.07.2025
Kovář;160.000;Computer;17.07.2025
Weißhaupt;2.140.000;Computer;17.07.2025
Bauer;240.000;Computer;17.07.2025
Laimer;5.210.000;Computer;17.07.2025
Pyrka;400.000;Computer;18.07.2025
Zesiger;1.950.000;Computer;18.07.2025
Scherhant;1.610.000;Computer;18.07.2025
Karazor;5.630.000;Computer;18.07.2025
Sabitzer;2.620.000;Computer;18.07.2025
Pereira Cardoso;290.000;Computer;18.07.2025
Bebou;1.240.000;Alfons;18.07.2025
Matanović;5.150.000;Alfons;18.07.2025
Dinkçi;1.580.000;Alfons;18.07.2025
Tietz;4.000.000;Alfons;18.07.2025
Undav;7.570.000;Alfons;18.07.2025
Meffert;1.010.000;Alfons;18.07.2025
J. Hofmann;2.120.000;Alfons;18.07.2025
Tauer;180.000;Alfons;18.07.2025
Süle;2.510.000;Alfons;18.07.2025
Raab;210.000;Thomas;18.07.2025
Doan;9.310.000;Thomas;18.07.2025
Davies;2.520.000;Thomas;18.07.2025
Grimaldo;7.620.000;Thomas;18.07.2025
Diehl;940.000;Thomas;18.07.2025
Weiper;4.740.000;Thomas;18.07.2025
Glatzel;4.360.000;Thomas;18.07.2025
Agu;2.720.000;Thomas;18.07.2025
Burkardt;11.660.000;Thomas;18.07.2025
Wahl;2.100.000;Thomas;18.07.2025
M. Eggestein;3.120.000;Thomas;18.07.2025
Banzuzi;3.070.000;Alfons;18.07.2025
Gebel;170.000;Dominik;18.07.2025
Kusi-Asare;270.000;Computer;18.07.2025
Skov Olsen;2.080.000;Computer;18.07.2025
Rosenfelder;1.990.000;Computer;18.07.2025
S. Banks;340.000;Computer;18.07.2025
Kilian;200.000;Computer;18.07.2025
Anton;5.080.000;Computer;18.07.2025
Martel;3.060.000;Alfons;18.07.2025
Querfeld;2.730.000;Alfons;18.07.2025
Akpoguma;1.740.000;Alfons;18.07.2025
Ginter;3.490.000;Alfons;18.07.2025
Kristensen;4.490.000;Alfons;18.07.2025
Gulácsi;2.130.000;Alfons;18.07.2025
Heuer Fernandes;2.130.000;Thomas;18.07.2025
Meyer;210.000;Thomas;18.07.2025
Treu;2.620.000;Thomas;18.07.2025
Amiri;8.350.000;Christoph;18.07.2025
Gouweleeuw;3.670.000;Christoph;18.07.2025
Kane;17.850.000;Computer;18.07.2025
Zehnter;2.510.000;Computer;18.07.2025
Aigbekaen;180.000;Computer;18.07.2025
Al-Dakhil;530.000;Dominik;18.07.2025
Chabot;3.480.000;Dominik;18.07.2025
Hübers;2.120.000;Dominik;18.07.2025
Klostermann;2.130.000;Dominik;18.07.2025
Avdullahu;1.970.000;Computer;19.07.2025
Raum;5.460.000;Computer;19.07.2025
Mwene;2.000.000;Computer;19.07.2025
Uzun;3.800.000;Computer;19.07.2025
Milošević;190.000;Computer;19.07.2025
Borges Sanches;180.000;Computer;19.07.2025
Martel;2.960.000;Alfons;19.07.2025
Querfeld;2.650.000;Alfons;19.07.2025
Akpoguma;1.850.000;Alfons;19.07.2025
Ginter;3.490.000;Alfons;19.07.2025
Kristensen;4.740.000;Alfons;19.07.2025
Gulácsi;2.050.000;Alfons;19.07.2025
Grimaldo;7.700.000;Thomas;19.07.2025
Glatzel;4.430.000;Thomas;19.07.2025
Davies;2.760.000;Thomas;19.07.2025
Burkardt;12.210.000;Thomas;19.07.2025
Heuer Fernandes;2.110.000;Thomas;19.07.2025
Treu;2.740.000;Thomas;19.07.2025
Meyer;220.000;Thomas;19.07.2025
M. Eggestein;3.320.000;Thomas;19.07.2025
Muheim;3.080.000;Nico;19.07.2025
Hendriks;1.020.000;Nico;19.07.2025
Saliakas;2.630.000;Nico;19.07.2025
Zentner;3.210.000;Nico;19.07.2025
Wahi;2.310.000;Nico;19.07.2025
Olise;17.150.000;Nico;19.07.2025
Pavlović;6.240.000;Nico;19.07.2025
Hložek;4.940.000;Nico;19.07.2025
Doekhi;2.530.000;Nico;19.07.2025
Schäfer;1.060.000;Nico;19.07.2025
Knauff;5.000.000;Nico;19.07.2025
Höler;3.010.000;Nico;19.07.2025
Dorsch;1.300.000;Nico;19.07.2025
Gregoritsch;1.470.000;Nico;19.07.2025
Čović;310.000;Thomas;19.07.2025
Laimer;4.820.000;Thomas;19.07.2025
Pyrka;400.000;Computer;19.07.2025
Zesiger;2.080.000;Computer;19.07.2025
Scherhant;1.630.000;Computer;19.07.2025
Karazor;5.320.000;Computer;19.07.2025
Sabitzer;2.490.000;Computer;19.07.2025
Pereira Cardoso;280.000;Computer;19.07.2025
Bebou;1.240.000;Alfons;19.07.2025
Matanović;5.120.000;Alfons;19.07.2025
Dinkçi;1.770.000;Alfons;19.07.2025
Tietz;4.000.000;Alfons;19.07.2025
Undav;7.570.000;Alfons;19.07.2025
Meffert;1.010.000;Alfons;19.07.2025
J. Hofmann;2.230.000;Alfons;19.07.2025
Tauer;180.000;Alfons;19.07.2025
Süle;2.720.000;Alfons;19.07.2025
Doan;9.500.000;Thomas;19.07.2025
Diehl;900.000;Thomas;19.07.2025
Weiper;5.410.000;Thomas;19.07.2025
Agu;2.690.000;Thomas;19.07.2025
Wahl;2.120.000;Thomas;19.07.2025
Banzuzi;3.090.000;Alfons;19.07.2025
Kusi-Asare;260.000;Computer;19.07.2025
Rosenfelder;1.980.000;Computer;19.07.2025
Kilian;200.000;Computer;19.07.2025
Zesiger;2.100.000;Christoph;20.07.2025
Oppie;2.160.000;Computer;20.07.2025
Andrich;2.950.000;Computer;20.07.2025
Kabadayi;300.000;Computer;20.07.2025
Nsoki;600.000;Computer;20.07.2025
Bebou;1.200.000;Alfons;20.07.2025
S. Banks;350.000;Alfons;20.07.2025
Matanović;4.700.000;Alfons;20.07.2025
Dinkçi;1.630.000;Alfons;20.07.2025
Tietz;3.680.000;Alfons;20.07.2025
Undav;7.530.000;Alfons;20.07.2025
Meffert;950.000;Alfons;20.07.2025
Banzuzi;2.870.000;Alfons;20.07.2025
J. Hofmann;2.090.000;Alfons;20.07.2025
Tauer;180.000;Alfons;20.07.2025
Süle;2.720.000;Alfons;20.07.2025
Glatzel;4.160.000;Thomas;20.07.2025
Čović;330.000;Thomas;20.07.2025
Davies;2.560.000;Thomas;20.07.2025
Burkardt;11.300.000;Thomas;20.07.2025
Heuer Fernandes;2.070.000;Thomas;20.07.2025
Weiper;5.450.000;Thomas;20.07.2025
Doan;9.160.000;Thomas;20.07.2025
Agu;2.780.000;Thomas;20.07.2025
Wahl;2.140.000;Thomas;20.07.2025
Diehl;840.000;Thomas;20.07.2025
Baumgartner;2.570.000;Dominik;20.07.2025
Chabot;3.500.000;Dominik;20.07.2025
Klostermann;2.100.000;Dominik;20.07.2025
N. Schlotterbeck;3.620.000;Dominik;20.07.2025
Adli;2.690.000;Dominik;20.07.2025
Sieb;950.000;Dominik;20.07.2025
Schimmer;280.000;Dominik;20.07.2025
Ceesay;210.000;Dominik;20.07.2025
Wanner;4.210.000;Dominik;20.07.2025
Haberer;810.000;Dominik;20.07.2025
P. Aaronson;1.180.000;Dominik;20.07.2025
Ritzka;490.000;Dominik;20.07.2025
Netz;620.000;Dominik;20.07.2025
Mets;360.000;Dominik;20.07.2025
Malatini;370.000;Dominik;20.07.2025
Al-Dakhil;490.000;Dominik;20.07.2025
Ogbus;200.000;Dominik;20.07.2025
Hübers;2.130.000;Dominik;20.07.2025
Kauã Santos;670.000;Dominik;20.07.2025
Skov Olsen;2.250.000;Christoph;20.07.2025
Anton;5.020.000;Christoph;20.07.2025
Avdullahu;1.860.000;Computer;20.07.2025
Raum;5.390.000;Computer;20.07.2025
Mwene;1.960.000;Computer;20.07.2025
Uzun;3.890.000;Computer;20.07.2025
Milošević;190.000;Computer;20.07.2025
Borges Sanches;180.000;Computer;20.07.2025
Martel;2.930.000;Alfons;20.07.2025
Querfeld;2.660.000;Alfons;20.07.2025
Akpoguma;1.850.000;Alfons;20.07.2025
Ginter;3.340.000;Alfons;20.07.2025
Kristensen;4.740.000;Alfons;20.07.2025
Gulácsi;2.120.000;Alfons;20.07.2025
Grimaldo;7.460.000;Thomas;20.07.2025
Treu;2.620.000;Thomas;20.07.2025
Meyer;210.000;Thomas;20.07.2025
M. Eggestein;3.080.000;Thomas;20.07.2025
Muheim;2.900.000;Nico;20.07.2025
Hendriks;1.060.000;Nico;20.07.2025
Saliakas;2.540.000;Nico;20.07.2025
Zentner;3.000.000;Nico;20.07.2025
Wahi;2.140.000;Nico;20.07.2025
Olise;15.880.000;Nico;20.07.2025
Pavlović;5.900.000;Nico;20.07.2025
Hložek;4.700.000;Nico;20.07.2025
Doekhi;2.320.000;Nico;20.07.2025
Schäfer;1.050.000;Nico;20.07.2025
Knauff;4.610.000;Nico;20.07.2025
Höler;3.000.000;Nico;20.07.2025
Dorsch;1.300.000;Nico;20.07.2025
Gregoritsch;1.480.000;Nico;20.07.2025
Laimer;4.740.000;Thomas;20.07.2025
Pyrka;390.000;Computer;20.07.2025
Scherhant;1.650.000;Computer;20.07.2025
Karazor;5.000.000;Computer;20.07.2025
Sabitzer;2.270.000;Computer;20.07.2025
Pereira Cardoso;260.000;Computer;20.07.2025
Bebou;1.170.000;Alfons;21.07.2025
S. Banks;360.000;Alfons;21.07.2025
Matanović;4.700.000;Alfons;21.07.2025
Dinkçi;1.680.000;Alfons;21.07.2025
Tietz;3.720.000;Alfons;21.07.2025
Undav;7.520.000;Alfons;21.07.2025
Meffert;970.000;Alfons;21.07.2025
Banzuzi;2.940.000;Alfons;21.07.2025
J. Hofmann;2.130.000;Alfons;21.07.2025
Tauer;180.000;Alfons;21.07.2025
Süle;2.710.000;Alfons;21.07.2025
Čović;330.000;Thomas;21.07.2025
Diehl;830.000;Thomas;21.07.2025
Glatzel;4.160.000;Thomas;21.07.2025
Agu;2.860.000;Thomas;21.07.2025
Davies;2.420.000;Thomas;21.07.2025
Burkardt;11.580.000;Thomas;21.07.2025
Wahl;2.180.000;Thomas;21.07.2025
Heuer Fernandes;2.020.000;Thomas;21.07.2025
Skov Olsen;2.260.000;Christoph;21.07.2025
Muheim;2.900.000;Nico;21.07.2025
Hendriks;1.010.000;Nico;21.07.2025
Saliakas;2.550.000;Nico;21.07.2025
Pavlović;5.900.000;Nico;21.07.2025
Doekhi;2.510.000;Nico;21.07.2025
Schäfer;1.060.000;Nico;21.07.2025
Knauff;4.730.000;Nico;21.07.2025
Dorsch;1.270.000;Nico;21.07.2025
Zentner;3.040.000;Nico;21.07.2025
Wahi;2.210.000;Nico;21.07.2025
Olise;16.150.000;Nico;21.07.2025
Hložek;4.630.000;Nico;21.07.2025
Höler;2.990.000;Nico;21.07.2025
Gregoritsch;1.490.000;Nico;21.07.2025
Cozza;190.000;Christian;21.07.2025
Borges Sanches;190.000;Thomas;21.07.2025
Tape;1.940.000;Computer;21.07.2025
Vavro;4.710.000;Computer;21.07.2025
Paçarada;1.520.000;Computer;21.07.2025
Adeyemi;7.290.000;Computer;21.07.2025
Bernardo;3.450.000;Computer;21.07.2025
Schonlau;800.000;Computer;21.07.2025
Giannoulis;3.090.000;Computer;21.07.2025
Ogbus;200.000;Dominik;21.07.2025
Sieb;900.000;Dominik;21.07.2025
Mets;360.000;Dominik;21.07.2025
Malatini;380.000;Dominik;21.07.2025
Kauã Santos;660.000;Dominik;21.07.2025
P. Aaronson;1.190.000;Dominik;21.07.2025
Chabot;3.490.000;Dominik;21.07.2025
Wanner;4.250.000;Dominik;21.07.2025
Adli;2.710.000;Dominik;21.07.2025
Netz;630.000;Dominik;21.07.2025
Nebel;9.180.000;Dominik;21.07.2025
Schimmer;280.000;Dominik;21.07.2025
N. Schlotterbeck;3.570.000;Dominik;21.07.2025
Baumgartner;2.570.000;Dominik;21.07.2025
Ritzka;490.000;Dominik;21.07.2025
Hübers;2.150.000;Dominik;21.07.2025
Klostermann;2.150.000;Dominik;21.07.2025
Haberer;780.000;Dominik;21.07.2025
Groß;4.710.000;Dominik;21.07.2025
Neuer;2.530.000;Dominik;21.07.2025
Doan;9.240.000;Thomas;21.07.2025
Treu;2.790.000;Thomas;21.07.2025
Grimaldo;7.650.000;Thomas;21.07.2025
Laimer;4.820.000;Thomas;21.07.2025
M. Eggestein;3.160.000;Thomas;21.07.2025
Meyer;220.000;Thomas;21.07.2025
Weiper;5.400.000;Thomas;21.07.2025
Martel;2.910.000;Alfons;21.07.2025
Querfeld;2.820.000;Alfons;21.07.2025
Akpoguma;1.880.000;Alfons;21.07.2025
Ginter;3.450.000;Alfons;21.07.2025
Kristensen;4.870.000;Alfons;21.07.2025
Gulácsi;2.120.000;Alfons;21.07.2025
Gnabry;6.050.000;Pascal;21.07.2025
Zesiger;2.020.000;Christoph;21.07.2025
Oppie;2.160.000;Computer;21.07.2025
Andrich;2.940.000;Computer;21.07.2025
Kabadayi;300.000;Computer;21.07.2025
Nsoki;600.000;Computer;21.07.2025
Avdullahu;1.880.000;Computer;21.07.2025
Raum;5.870.000;Computer;21.07.2025
Mwene;1.860.000;Computer;21.07.2025
Milošević;190.000;Computer;21.07.2025
Nsoki;580.000;Christoph;22.07.2025
Coulibaly;170.000;Computer;22.07.2025
Nordin;650.000;Computer;22.07.2025
Scienza;2.670.000;Computer;22.07.2025
Deman;290.000;Computer;22.07.2025
Krauß;2.600.000;Computer;22.07.2025
Heintz;690.000;Computer;22.07.2025
Ceesay;210.000;Dominik;22.07.2025
Al-Dakhil;540.000;Dominik;22.07.2025
Ogbus;190.000;Dominik;22.07.2025
Uzun;3.730.000;Dominik;22.07.2025
Sieb;900.000;Dominik;22.07.2025
Mets;340.000;Dominik;22.07.2025
Malatini;370.000;Dominik;22.07.2025
Kauã Santos;620.000;Dominik;22.07.2025
P. Aaronson;1.130.000;Dominik;22.07.2025
Chabot;3.400.000;Dominik;22.07.2025
Wanner;4.390.000;Dominik;22.07.2025
Netz;610.000;Dominik;22.07.2025
Schimmer;280.000;Dominik;22.07.2025
Baumgartner;2.370.000;Dominik;22.07.2025
Ritzka;500.000;Dominik;22.07.2025
Hübers;2.040.000;Dominik;22.07.2025
Klostermann;2.130.000;Dominik;22.07.2025
Haberer;810.000;Dominik;22.07.2025
Groß;4.800.000;Dominik;22.07.2025
Neuer;2.400.000;Dominik;22.07.2025
Bebou;1.090.000;Alfons;22.07.2025
S. Banks;360.000;Alfons;22.07.2025
Matanović;4.510.000;Alfons;22.07.2025
Dinkçi;1.650.000;Alfons;22.07.2025
Tietz;3.510.000;Alfons;22.07.2025
Undav;7.830.000;Alfons;22.07.2025
Meffert;920.000;Alfons;22.07.2025
Banzuzi;2.720.000;Alfons;22.07.2025
J. Hofmann;1.970.000;Alfons;22.07.2025
Tauer;180.000;Alfons;22.07.2025
Süle;2.550.000;Alfons;22.07.2025
Čović;370.000;Thomas;22.07.2025
Diehl;810.000;Thomas;22.07.2025
Glatzel;4.030.000;Thomas;22.07.2025
Agu;2.840.000;Thomas;22.07.2025
Davies;2.530.000;Thomas;22.07.2025
Burkardt;10.660.000;Thomas;22.07.2025
Wahl;2.150.000;Thomas;22.07.2025
Heuer Fernandes;1.890.000;Thomas;22.07.2025
Skov Olsen;2.210.000;Christoph;22.07.2025
Muheim;2.670.000;Nico;22.07.2025
Hendriks;980.000;Nico;22.07.2025
Saliakas;2.490.000;Nico;22.07.2025
Pavlović;5.940.000;Nico;22.07.2025
Doekhi;2.520.000;Nico;22.07.2025
Schäfer;1.020.000;Nico;22.07.2025
Knauff;4.660.000;Nico;22.07.2025
Dorsch;1.230.000;Nico;22.07.2025
Zentner;3.230.000;Nico;22.07.2025
Wahi;2.350.000;Nico;22.07.2025
Olise;15.300.000;Nico;22.07.2025
Hložek;4.590.000;Nico;22.07.2025
Höler;2.800.000;Nico;22.07.2025
Gregoritsch;1.390.000;Nico;22.07.2025
Cozza;190.000;Christian;22.07.2025
Borges Sanches;190.000;Thomas;22.07.2025
Tape;1.900.000;Computer;22.07.2025
Vavro;4.730.000;Computer;22.07.2025
Paçarada;1.410.000;Computer;22.07.2025
Adeyemi;7.380.000;Computer;22.07.2025
Bernardo;3.300.000;Computer;22.07.2025
Schonlau;770.000;Computer;22.07.2025
Giannoulis;3.080.000;Computer;22.07.2025
Doan;9.570.000;Thomas;22.07.2025
Treu;2.650.000;Thomas;22.07.2025
Grimaldo;7.610.000;Thomas;22.07.2025
Laimer;4.440.000;Thomas;22.07.2025
M. Eggestein;3.190.000;Thomas;22.07.2025
Meyer;220.000;Thomas;22.07.2025
Weiper;5.290.000;Thomas;22.07.2025
Martel;3.040.000;Alfons;22.07.2025
Querfeld;2.780.000;Alfons;22.07.2025
