Spieler;Marktwert;Besitzer;TM_Stand
M. Eggestein;4.910.000;Thomas;02.06.2025
Zetterer;2.410.000;Christoph;02.06.2025
Huth;160.000;Computer;02.06.2025
Mittelstädt;9.450.000;Thomas;02.06.2025
Gulácsi;3.000.000;Alfons;02.06.2025
Poulsen;1.530.000;Pascal;02.06.2025
Dorsch;1.490.000;Nico;02.06.2025
B. Jatta;1.470.000;Thomas;02.06.2025
Wahl;3.190.000;Thomas;02.06.2025
Özcan;1.270.000;Christian;02.06.2025
Geiger;1.020.000;Nico;02.06.2025
Friedl;3.560.000;Computer;02.06.2025
Bruun Larsen;1.190.000;Thomas;02.06.2025
Meyer;250.000;Thomas;02.06.2025
Dahmen;2.640.000;Thomas;02.06.2025
Muslija;520.000;Nico;02.06.2025
Haidara;1.490.000;Christian;02.06.2025
Lainer;790.000;Dominik;02.06.2025
Osterhage;2.430.000;Thomas;02.06.2025
Keitel;640.000;Computer;02.06.2025
Ngankam;500.000;Dominik;02.06.2025
Musiala;11.680.000;Thomas;02.06.2025
L. Grill;190.000;Thomas;02.06.2025
Doan;13.180.000;Thomas;02.06.2025
Martel;3.800.000;Alfons;02.06.2025
Dinkçi;1.150.000;Alfons;02.06.2025
Knauff;5.150.000;Nico;02.06.2025
Stanišić;6.680.000;Thomas;02.06.2025
Stiller;12.420.000;Christoph;02.06.2025
Adli;4.550.000;Computer;02.06.2025
F. Becker;500.000;Thomas;02.06.2025
Doekhi;3.840.000;Nico;02.06.2025
Skarke;1.300.000;Thomas;02.06.2025
Buta;940.000;Thomas;02.06.2025
Fischer;1.070.000;Computer;02.06.2025
P. Aaronson;1.000.000;Computer;02.06.2025
Diehl;390.000;Thomas;02.06.2025
Ullrich;980.000;Christian;02.06.2025
Larsson;5.480.000;Computer;02.06.2025
Matanović;1.230.000;Dominik;02.06.2025
Traoré;1.310.000;Christoph;02.06.2025
Rosenfelder;1.460.000;Alfons;02.06.2025
Čvančara;1.300.000;Computer;02.06.2025
Boniface;7.300.000;Alfons;02.06.2025
Kovář;490.000;Computer;02.06.2025
Stergiou;1.200.000;Dominik;02.06.2025
Pavlović;8.970.000;Nico;02.06.2025
