SPIELER;POSITION;TEAM;PUNKTE;MARKTWERT;ZIELWERT;PUNKTE / SPIEL;KAUFEMPFEHLUNG;PREIS-LEISSTUNG;GEBOTSVORHERSAGE;BESITZER;Datum
Brown;Abwehr;Eintracht Frankfurt;140;5.600.000;5.570.000;5,4;Halten;Gut;1;Computer;14.07.2025
Hennrich;Stürmer;TSG Hoffenheim;1;170;170;1,0;Halten;Durchschnittlich;0;Computer;14.07.2025
Diks;Abwehr;Borussia Mönchengladbach;0;2.510.000;2.460.000;0,0;Halten;Schlecht;0;Computer;14.07.2025
Maluze;Mittelfeld;Eintracht Frankfurt;0;160;160;0,0;Halten;Schlecht;0;Computer;14.07.2025
Capaldo;Mittelfeld;Hamburger SV;0;4.480.000;5.020.000;0,0;;Schlecht;1;Computer;14.07.2025
Hack;Stürmer;Borussia Mönchengladbach;127;4.350.000;4.380.000;3,8;Halten;Gut;0;Computer;15.07.2025
Laimer;Abwehr;FC Bayern München;99;5.270.000;5.230.000;3,5;Halten;Schlecht;1;Computer;15.07.2025
Nartey;Mittelfeld;VfB Stuttgart;1;220;220;1,0;Halten;Schlecht;0;Computer;15.07.2025
Bensebaini;Abwehr;Borussia Dortmund;116;3.230.000;3.250.000;3,9;Halten;Gut;0;Computer;15.07.2025
Bauer;Abwehr;FC Augsburg;21;240;240;1,9;Halten;Gut;0;Computer;15.07.2025
Weißhaupt;Mittelfeld;Sport-Club Freiburg;73;2.090.000;2.080.000;3,3;Halten;Gut;0;Computer;15.07.2025
Sildillia;Abwehr;Sport-Club Freiburg;59;1.140.000;1.130.000;4,2;Halten;Gut;0;Computer;15.07.2025
Stein;Torhüter;1.FC Union Berlin;0;160;160;0,0;Halten;Schlecht;0;Computer;15.07.2025
Kovář;Torhüter;Bayer 04 Leverkusen;13;160;160;2,6;Halten;Gut;0;Computer;15.07.2025
Petersson;Torhüter;TSG Hoffenheim;0;170;170;0,0;Halten;Schlecht;0;Computer;15.07.2025
Brown;Abwehr;Eintracht Frankfurt;140;5.580.000;5.590.000;5,4;Halten;Gut;1;Computer;15.07.2025
Gebel;Mittelfeld;RB Leipzig;1;160;160;1,0;Halten;Schlecht;0;Computer;15.07.2025
Banzuzi;Mittelfeld;RB Leipzig;0;3.010.000;2.990.000;0,0;Halten;Schlecht;0;Computer;15.07.2025
Maluze;Mittelfeld;Eintracht Frankfurt;0;160;160;0,0;Halten;Schlecht;0;Computer;15.07.2025
Capaldo;Mittelfeld;Hamburger SV;0;4.570.000;4.940.000;0,0;;Schlecht;1;Computer;15.07.2025
Gnabry;Stürmer;FC Bayern München;124;5.770.000;5.710.000;4,8;Halten;Gut;0;Computer;16.07.2025
Laimer;Abwehr;FC Bayern München;99;5.270.000;5.230.000;3,5;Halten;Schlecht;1;Computer;16.07.2025
Nartey;Mittelfeld;VfB Stuttgart;1;220;220;1,0;Halten;Schlecht;0;Computer;16.07.2025
Bensebaini;Abwehr;Borussia Dortmund;116;3.230.000;3.250.000;3,9;Halten;Gut;0;Computer;16.07.2025
Bauer;Abwehr;FC Augsburg;21;240;240;1,9;Halten;Gut;0;Computer;16.07.2025
Weißhaupt;Mittelfeld;Sport-Club Freiburg;73;2.090.000;2.080.000;3,3;Halten;Gut;0;Computer;16.07.2025
Zehnter;Abwehr;VfL Wolfsburg;0;2.780.000;2.730.000;0,0;Halten;Schlecht;0;Computer;16.07.2025
Stein;Torhüter;1.FC Union Berlin;0;160;160;0,0;Halten;Schlecht;0;Computer;16.07.2025
Kane;Stürmer;FC Bayern München;275;17.960.000;17.800.000;8,9;Halten;Durchschnittlich;2;Computer;16.07.2025
Kovář;Torhüter;Bayer 04 Leverkusen;13;160;160;2,6;Halten;Gut;0;Computer;16.07.2025
Gebel;Mittelfeld;RB Leipzig;1;160;160;1,0;Halten;Schlecht;0;Computer;16.07.2025
Čović;Mittelfeld;SV Werder Bremen;0;200;200;0,0;Halten;Schlecht;0;Computer;16.07.2025
Aigbekaen;Stürmer;FC St. Pauli;0;170;170;0,0;Halten;Schlecht;0;Computer;16.07.2025
Banzuzi;Mittelfeld;RB Leipzig;0;3.010.000;2.990.000;0,0;Halten;Schlecht;0;Computer;16.07.2025
Maluze;Mittelfeld;Eintracht Frankfurt;0;160;160;0,0;Halten;Schlecht;0;Computer;16.07.2025
Anton;Abwehr;Borussia Dortmund;127;4.800.000;4.700.000;4,9;Halten;Gut;1;Computer;17.07.2025
Gnabry;Stürmer;FC Bayern München;124;5.630.000;5.620.000;4,8;Halten;Gut;1;Computer;17.07.2025
Laimer;Abwehr;FC Bayern München;99;5.170.000;5.100.000;3,5;Halten;Schlecht;1;Computer;17.07.2025
Kilian;Abwehr;1. FC Köln;0;210;210;0,9;Halten;Schlecht;0;Computer;17.07.2025
Bauer;Abwehr;FC Augsburg;21;240;240;1,9;Halten;Gut;0;Computer;17.07.2025
Weißhaupt;Mittelfeld;Sport-Club Freiburg;73;2.160.000;2.140.000;3,3;Halten;Gut;0;Computer;17.07.2025
Zehnter;Abwehr;VfL Wolfsburg;0;2.680.000;2.650.000;0,0;Halten;Schlecht;0;Computer;17.07.2025
Rosenfelder;Abwehr;Sport-Club Freiburg;54;1.990.000;1.990.000;2,3;Halten;Durchschnittlich;0;Computer;17.07.2025
Kane;Stürmer;FC Bayern München;275;17.590.000;17.620.000;8,9;Halten;Durchschnittlich;2;Computer;17.07.2025
Kovář;Torhüter;Bayer 04 Leverkusen;13;160;160;2,6;Halten;Gut;0;Computer;17.07.2025
S. Banks;Stürmer;FC St. Pauli;12;310;320;1,3;Halten;Durchschnittlich;0;Computer;17.07.2025
Skov Olsen;Stürmer;VfL Wolfsburg;41;1.910.000;1.920.000;3,4;Halten;Gut;0;Computer;17.07.2025
Čović;Mittelfeld;SV Werder Bremen;0;200;200;0,0;Halten;Schlecht;0;Computer;17.07.2025
Aigbekaen;Stürmer;FC St. Pauli;0;170;170;0,0;Halten;Schlecht;0;Computer;17.07.2025
Kusi-Asare;Stürmer;FC Bayern München;0;290;290;0,0;Halten;Schlecht;0;Computer;17.07.2025
Anton;Abwehr;Borussia Dortmund;127;4.880.000;4.890.000;4,9;Halten;Gut;1;Computer;18.07.2025
Sabitzer;Mittelfeld;Borussia Dortmund;69;2.640.000;2.680.000;2,7;Halten;Gut;0;Computer;18.07.2025
Karazor;Mittelfeld;VfB Stuttgart;133;5.750.000;5.690.000;4,2;Halten;Gut;1;Computer;18.07.2025
Kilian;Abwehr;1. FC Köln;0;210;210;0,9;Halten;Schlecht;0;Computer;18.07.2025
Zehnter;Abwehr;VfL Wolfsburg;0;2.560.000;2.500.000;0,0;Halten;Schlecht;0;Computer;18.07.2025
Scherhant;Stürmer;Sport-Club Freiburg;0;1.730.000;1.730.000;0,6;Halten;Schlecht;0;Computer;18.07.2025
Zesiger;Abwehr;FC Augsburg;70;2.040.000;2.040.000;3,3;Halten;Gut;0;Computer;18.07.2025
Rosenfelder;Abwehr;Sport-Club Freiburg;54;2.000.000;1.990.000;2,3;Halten;Durchschnittlich;0;Computer;18.07.2025
Kane;Stürmer;FC Bayern München;275;18.230.000;18.110.000;8,9;Halten;Durchschnittlich;2;Computer;18.07.2025
S. Banks;Stürmer;FC St. Pauli;12;330;350;1,3;Halten;Durchschnittlich;0;Computer;18.07.2025
Skov Olsen;Stürmer;VfL Wolfsburg;41;2.080.000;2.060.000;3,4;Halten;Gut;0;Computer;18.07.2025
Aigbekaen;Stürmer;FC St. Pauli;0;170;170;0,0;Halten;Schlecht;0;Computer;18.07.2025
Pereira Cardoso;Torhüter;Borussia Mönchengladbach;23;290;290;4,6;Halten;Gut;0;Computer;18.07.2025
Kusi-Asare;Stürmer;FC Bayern München;0;280;280;0,0;Halten;Schlecht;0;Computer;18.07.2025
Pyrka;Abwehr;FC St. Pauli;0;420;420;0,0;Halten;Schlecht;0;Computer;18.07.2025
Mwene;Abwehr;1. FSV Mainz 05;98;2.000.000;2.000.000;3,1;Halten;Gut;0;Computer;19.07.2025
Sabitzer;Mittelfeld;Borussia Dortmund;69;2.490.000;2.530.000;2,7;Halten;Gut;0;Computer;19.07.2025
Karazor;Mittelfeld;VfB Stuttgart;133;5.320.000;5.310.000;4,2;Halten;Gut;1;Computer;19.07.2025
Kilian;Abwehr;1. FC Köln;0;200;200;0,9;Halten;Schlecht;0;Computer;19.07.2025
Raum;Abwehr;RB Leipzig;105;5.460.000;5.460.000;4,8;Halten;Gut;1;Computer;19.07.2025
Borges Sanches;Stürmer;Borussia Mönchengladbach;0;180;180;2,0;Halten;Gut;0;Computer;19.07.2025
Scherhant;Stürmer;Sport-Club Freiburg;0;1.630.000;1.600.000;0,6;Halten;Schlecht;0;Computer;19.07.2025
Zesiger;Abwehr;FC Augsburg;70;2.080.000;2.060.000;3,3;Halten;Gut;0;Computer;19.07.2025
Milošević;Stürmer;VfB Stuttgart;0;190;190;1,3;Halten;Durchschnittlich;0;Computer;19.07.2025
Rosenfelder;Abwehr;Sport-Club Freiburg;54;1.980.000;1.970.000;2,3;Halten;Durchschnittlich;0;Computer;19.07.2025
Uzun;Stürmer;Eintracht Frankfurt;77;3.800.000;3.910.000;3,9;Halten;Gut;0;Computer;19.07.2025
Pereira Cardoso;Torhüter;Borussia Mönchengladbach;23;280;280;4,6;Halten;Gut;0;Computer;19.07.2025
Kusi-Asare;Stürmer;FC Bayern München;0;260;260;0,0;Halten;Schlecht;0;Computer;19.07.2025
Pyrka;Abwehr;FC St. Pauli;0;400;400;0,0;Halten;Schlecht;0;Computer;19.07.2025
Avdullahu;Mittelfeld;TSG Hoffenheim;0;1.970.000;1.960.000;0,0;Halten;Schlecht;0;Computer;19.07.2025
Andrich;Mittelfeld;Bayer 04 Leverkusen;84;2.950.000;2.920.000;3,8;Halten;Gut;0;Computer;20.07.2025
Mwene;Abwehr;1. FSV Mainz 05;98;1.960.000;1.960.000;3,1;Halten;Gut;0;Computer;20.07.2025
Sabitzer;Mittelfeld;Borussia Dortmund;69;2.270.000;2.300.000;2,7;Halten;Gut;0;Computer;20.07.2025
Karazor;Mittelfeld;VfB Stuttgart;133;5.000.000;5.010.000;4,2;Halten;Gut;1;Computer;20.07.2025
Raum;Abwehr;RB Leipzig;105;5.390.000;5.330.000;4,8;Halten;Gut;1;Computer;20.07.2025
Borges Sanches;Stürmer;Borussia Mönchengladbach;0;180;180;2,0;Halten;Gut;0;Computer;20.07.2025
Scherhant;Stürmer;Sport-Club Freiburg;0;1.650.000;1.630.000;0,6;Halten;Schlecht;0;Computer;20.07.2025
Nsoki;Abwehr;TSG Hoffenheim;36;600;600;1,8;Halten;Durchschnittlich;0;Computer;20.07.2025
Milošević;Stürmer;VfB Stuttgart;0;190;190;1,3;Halten;Durchschnittlich;0;Computer;20.07.2025
Kabadayi;Stürmer;FC Augsburg;16;300;300;3,2;Kaufen;Gut;0;Computer;20.07.2025
Uzun;Stürmer;Eintracht Frankfurt;77;3.890.000;3.900.000;3,9;Halten;Gut;0;Computer;20.07.2025
Pereira Cardoso;Torhüter;Borussia Mönchengladbach;23;260;260;4,6;Halten;Gut;0;Computer;20.07.2025
Pyrka;Abwehr;FC St. Pauli;0;390;390;0,0;Halten;Schlecht;0;Computer;20.07.2025
Avdullahu;Mittelfeld;TSG Hoffenheim;0;1.860.000;1.870.000;0,0;Halten;Schlecht;0;Computer;20.07.2025
Oppie;Abwehr;FC St. Pauli;0;2.160.000;2.160.000;0,0;Halten;Schlecht;0;Computer;20.07.2025
Andrich;Mittelfeld;Bayer 04 Leverkusen;84;2.940.000;2.920.000;3,8;Halten;Gut;0;Computer;21.07.2025
Mwene;Abwehr;1. FSV Mainz 05;98;1.860.000;1.870.000;3,1;Halten;Gut;0;Computer;21.07.2025
Schonlau;Abwehr;Hamburger SV;0;800;790;4,2;Halten;Gut;0;Computer;21.07.2025
Bernardo;Abwehr;TSG Hoffenheim;84;3.450.000;3.450.000;4,1;Halten;Gut;0;Computer;21.07.2025
Raum;Abwehr;RB Leipzig;105;5.870.000;5.810.000;4,8;Halten;Schlecht;1;Computer;21.07.2025
Adeyemi;Stürmer;Borussia Dortmund;126;7.290.000;7.160.000;5,0;Halten;Gut;1;Computer;21.07.2025
Nsoki;Abwehr;TSG Hoffenheim;36;600;620;1,8;Halten;Durchschnittlich;0;Computer;21.07.2025
Paçarada;Abwehr;1. FC Köln;0;1.520.000;1.520.000;1,6;Halten;Schlecht;0;Computer;21.07.2025
Milošević;Stürmer;VfB Stuttgart;0;190;190;1,3;Halten;Durchschnittlich;0;Computer;21.07.2025
Kabadayi;Stürmer;FC Augsburg;16;300;300;3,2;Halten;Gut;0;Computer;21.07.2025
Giannoulis;Abwehr;FC Augsburg;118;3.090.000;3.100.000;3,8;Halten;Gut;0;Computer;21.07.2025
Vavro;Abwehr;VfL Wolfsburg;142;4.710.000;4.700.000;5,1;Halten;Gut;0;Computer;21.07.2025
Tape;Abwehr;Bayer 04 Leverkusen;0;1.940.000;1.950.000;0,0;Halten;Schlecht;0;Computer;21.07.2025
Avdullahu;Mittelfeld;TSG Hoffenheim;0;1.880.000;1.850.000;0,0;Halten;Schlecht;0;Computer;21.07.2025
Oppie;Abwehr;FC St. Pauli;0;2.160.000;2.150.000;0,0;Halten;Schlecht;0;Computer;21.07.2025
Heintz;Abwehr;1. FC Köln;0;690;700;1,8;Halten;Durchschnittlich;0;Computer;22.07.2025
Andrich;Mittelfeld;Bayer 04 Leverkusen;84;2.940.000;2.930.000;3,8;Halten;Gut;0;Computer;22.07.2025
Schonlau;Abwehr;Hamburger SV;0;770;770;4,2;Halten;Gut;0;Computer;22.07.2025
Bernardo;Abwehr;TSG Hoffenheim;84;3.300.000;3.300.000;4,1;Halten;Gut;0;Computer;22.07.2025
Krauß;Mittelfeld;1. FC Köln;52;2.600.000;2.620.000;3,7;Halten;Gut;0;Computer;22.07.2025
Adeyemi;Stürmer;Borussia Dortmund;126;7.380.000;7.260.000;5,0;Halten;Gut;1;Computer;22.07.2025
Paçarada;Abwehr;1. FC Köln;0;1.410.000;1.430.000;1,6;Halten;Schlecht;0;Computer;22.07.2025
Deman;Mittelfeld;SV Werder Bremen;10;290;290;1,7;Halten;Durchschnittlich;0;Computer;22.07.2025
Scienza;Stürmer;1.FC Heidenheim;102;2.670.000;2.740.000;4,1;Halten;Gut;0;Computer;22.07.2025
Giannoulis;Abwehr;FC Augsburg;118;3.080.000;3.110.000;3,8;Halten;Gut;0;Computer;22.07.2025
Vavro;Abwehr;VfL Wolfsburg;142;4.730.000;4.670.000;5,1;Halten;Gut;0;Computer;22.07.2025
Nordin;Mittelfeld;1. FSV Mainz 05;10;650;650;2,5;Halten;Gut;0;Computer;22.07.2025
Tape;Abwehr;Bayer 04 Leverkusen;0;1.900.000;1.910.000;0,0;Halten;Schlecht;0;Computer;22.07.2025
Oppie;Abwehr;FC St. Pauli;0;2.100.000;2.060.000;0,0;Halten;Schlecht;0;Computer;22.07.2025
Coulibaly;Abwehr;SV Werder Bremen;0;170;170;0,0;;Schlecht;0;Computer;22.07.2025
Heintz;Abwehr;1. FC Köln;0;690;710;1,8;Halten;Durchschnittlich;0;Computer;23.07.2025
Mwene;Abwehr;1. FSV Mainz 05;98;1.980.000;1.970.000;3,1;Halten;Gut;0;Computer;23.07.2025
Schonlau;Abwehr;Hamburger SV;0;770;760;4,2;Halten;Gut;0;Computer;23.07.2025
Bernardo;Abwehr;TSG Hoffenheim;84;3.140.000;3.130.000;4,1;Halten;Gut;0;Computer;23.07.2025
Krauß;Mittelfeld;1. FC Köln;52;2.600.000;2.610.000;3,7;Halten;Gut;0;Computer;23.07.2025
Adeyemi;Stürmer;Borussia Dortmund;126;7.390.000;7.300.000;5,0;Halten;Gut;1;Computer;23.07.2025
Paçarada;Abwehr;1. FC Köln;0;1.400.000;1.390.000;1,6;Halten;Schlecht;0;Computer;23.07.2025
Deman;Mittelfeld;SV Werder Bremen;10;280;280;1,7;Halten;Durchschnittlich;0;Computer;23.07.2025
Scienza;Stürmer;1.FC Heidenheim;102;2.710.000;2.750.000;4,1;Halten;Gut;0;Computer;23.07.2025
Giannoulis;Abwehr;FC Augsburg;118;3.060.000;3.040.000;3,8;Halten;Gut;0;Computer;23.07.2025
Vavro;Abwehr;VfL Wolfsburg;142;4.810.000;4.780.000;5,1;Halten;Gut;1;Computer;23.07.2025
Nordin;Mittelfeld;1. FSV Mainz 05;10;660;650;2,5;Halten;Gut;0;Computer;23.07.2025
Pyrka;Abwehr;FC St. Pauli;0;350;350;0,0;Halten;Schlecht;0;Computer;23.07.2025
Tape;Abwehr;Bayer 04 Leverkusen;0;1.810.000;1.800.000;0,0;Halten;Schlecht;0;Computer;23.07.2025
Coulibaly;Abwehr;SV Werder Bremen;0;160;160;0,0;;Schlecht;0;Computer;23.07.2025
Grahl;Torhüter;Eintracht Frankfurt;0;160;160;4,0;Halten;Gut;0;Computer;24.07.2025
Heintz;Abwehr;1. FC Köln;0;690;710;1,8;Halten;Durchschnittlich;0;Computer;24.07.2025
Mwene;Abwehr;1. FSV Mainz 05;98;1.980.000;1.970.000;3,1;Halten;Gut;0;Computer;24.07.2025
Jeong;Stürmer;1.FC Union Berlin;76;1.820.000;1.800.000;3,5;Halten;Gut;0;Computer;24.07.2025
Krauß;Mittelfeld;1. FC Köln;52;2.600.000;2.610.000;3,7;Halten;Gut;0;Computer;24.07.2025
Reyna;Stürmer;Borussia Dortmund;36;590;590;2,4;Halten;Gut;0;Computer;24.07.2025
Scherhant;Stürmer;Sport-Club Freiburg;0;1.520.000;1.500.000;0,6;Halten;Schlecht;0;Computer;24.07.2025
Mæhle;Abwehr;VfL Wolfsburg;91;2.290.000;2.270.000;3,4;Halten;Gut;0;Computer;24.07.2025
Deman;Mittelfeld;SV Werder Bremen;10;280;280;1,7;Halten;Durchschnittlich;0;Computer;24.07.2025
Scienza;Stürmer;1.FC Heidenheim;102;2.710.000;2.750.000;4,1;Halten;Gut;0;Computer;24.07.2025
Ogbemudia;Abwehr;1.FC Union Berlin;0;180;180;0,0;Halten;Schlecht;0;Computer;24.07.2025
Sarco;Stürmer;Bayer 04 Leverkusen;0;170;170;0,0;Halten;Schlecht;0;Computer;24.07.2025
Pyrka;Abwehr;FC St. Pauli;0;350;350;0,0;Halten;Schlecht;0;Computer;24.07.2025
Faye;Abwehr;Bayer 04 Leverkusen;0;1.050.000;1.040.000;0,0;Halten;Schlecht;0;Computer;24.07.2025
Coulibaly;Abwehr;SV Werder Bremen;0;160;160;0,0;;Schlecht;0;Computer;24.07.2025
Grahl;Torhüter;Eintracht Frankfurt;0;160;160;4,0;Halten;Gut;0;Computer;25.07.2025
Stark;Abwehr;SV Werder Bremen;95;2.150.000;2.140.000;3,7;Halten;Gut;0;Computer;25.07.2025
Mwene;Abwehr;1. FSV Mainz 05;98;2.010.000;2.020.000;3,1;Halten;Gut;0;Computer;25.07.2025
Beste;Mittelfeld;Sport-Club Freiburg;22;3.080.000;3.050.000;1,8;Halten;Schlecht;0;Computer;25.07.2025
Jeong;Stürmer;1.FC Union Berlin;76;1.910.000;1.920.000;3,5;Halten;Gut;0;Computer;25.07.2025
Reyna;Stürmer;Borussia Dortmund;36;550;550;2,4;Halten;Gut;0;Computer;25.07.2025
Scherhant;Stürmer;Sport-Club Freiburg;0;1.350.000;1.340.000;0,6;Halten;Schlecht;0;Computer;25.07.2025
Mæhle;Abwehr;VfL Wolfsburg;91;2.420.000;2.420.000;3,4;Halten;Gut;0;Computer;25.07.2025
Amenda;Abwehr;Eintracht Frankfurt;14;400;410;2,3;Halten;Gut;0;Computer;25.07.2025
Ogbemudia;Abwehr;1.FC Union Berlin;0;180;180;0,0;Halten;Schlecht;0;Computer;25.07.2025
Sarco;Stürmer;Bayer 04 Leverkusen;0;170;170;0,0;Halten;Schlecht;0;Computer;25.07.2025
T. Philipp;Torhüter;TSG Hoffenheim;0;160;160;0,0;Halten;Schlecht;0;Computer;25.07.2025
Hermann;Torhüter;Hamburger SV;0;160;160;0,0;Halten;Schlecht;0;Computer;25.07.2025
Pyrka;Abwehr;FC St. Pauli;0;320;320;0,0;Halten;Schlecht;0;Computer;25.07.2025
Faye;Abwehr;Bayer 04 Leverkusen;0;970;960;0,0;Halten;Schlecht;0;Computer;25.07.2025
Grahl;Torhüter;Eintracht Frankfurt;0;160;160;4,0;Halten;Gut;0;Computer;26.07.2025
Stark;Abwehr;SV Werder Bremen;95;2.160.000;2.160.000;3,7;Halten;Gut;0;Computer;26.07.2025
Beste;Mittelfeld;Sport-Club Freiburg;22;3.060.000;3.100.000;1,8;Halten;Schlecht;0;Computer;26.07.2025
Jeong;Stürmer;1.FC Union Berlin;76;1.790.000;1.810.000;3,5;Halten;Gut;0;Computer;26.07.2025
Reyna;Stürmer;Borussia Dortmund;36;520;520;2,4;Halten;Gut;0;Computer;26.07.2025
Scherhant;Stürmer;Sport-Club Freiburg;0;1.370.000;1.350.000;0,6;Halten;Schlecht;0;Computer;26.07.2025
Král;Mittelfeld;1.FC Union Berlin;0;420;420;1,3;Halten;Durchschnittlich;0;Computer;26.07.2025
Hansen-Aarøen;Mittelfeld;SV Werder Bremen;0;210;210;-1,5;Halten;Schlecht;0;Computer;26.07.2025
Amenda;Abwehr;Eintracht Frankfurt;14;390;400;2,3;Halten;Gut;0;Computer;26.07.2025
Ogbemudia;Abwehr;1.FC Union Berlin;0;180;180;0,0;Halten;Schlecht;0;Computer;26.07.2025
Sarco;Stürmer;Bayer 04 Leverkusen;0;160;160;0,0;Halten;Schlecht;0;Computer;26.07.2025
T. Philipp;Torhüter;TSG Hoffenheim;0;160;160;0,0;Halten;Schlecht;0;Computer;26.07.2025
Hermann;Torhüter;Hamburger SV;0;160;160;0,0;Halten;Schlecht;0;Computer;26.07.2025
Røssing-Lelesiit;Stürmer;Hamburger SV;0;280;280;0,0;Halten;Schlecht;0;Computer;26.07.2025
Faye;Abwehr;Bayer 04 Leverkusen;0;920;920;0,0;Halten;Schlecht;0;Computer;26.07.2025
Grifo;Mittelfeld;Sport-Club Freiburg;201;9.210.000;9.260.000;5,9;Halten;Gut;2;Computer;27.07.2025
Musiala;Mittelfeld;FC Bayern München;199;6.520.000;6.470.000;8,0;Halten;Gut;1;Computer;27.07.2025
Tillman;Mittelfeld;Bayer 04 Leverkusen;0;14.550.000;14.240.000;1,7;Halten;Schlecht;2;Computer;27.07.2025
Král;Mittelfeld;1.FC Union Berlin;0;430;430;1,3;Halten;Durchschnittlich;0;Computer;27.07.2025
Arthur;Abwehr;Bayer 04 Leverkusen;31;1.660.000;1.640.000;1,7;Halten;Schlecht;0;Computer;27.07.2025
Kane;Stürmer;FC Bayern München;275;16.810.000;16.660.000;8,9;Halten;Gut;2;Computer;27.07.2025
Hansen-Aarøen;Mittelfeld;SV Werder Bremen;0;210;210;-1,5;Halten;Schlecht;0;Computer;27.07.2025
Amenda;Abwehr;Eintracht Frankfurt;14;370;380;2,3;Halten;Gut;0;Computer;27.07.2025
João Palhinha;Mittelfeld;FC Bayern München;33;1.460.000;1.430.000;2,2;Halten;Gut;0;Computer;27.07.2025
Nusa;Mittelfeld;RB Leipzig;85;5.780.000;5.740.000;3,5;Halten;Durchschnittlich;1;Computer;27.07.2025
T. Philipp;Torhüter;TSG Hoffenheim;0;170;170;0,0;Halten;Schlecht;0;Computer;27.07.2025
Hermann;Torhüter;Hamburger SV;0;160;160;0,0;Verkaufen;Schlecht;0;Computer;27.07.2025
Røssing-Lelesiit;Stürmer;Hamburger SV;0;310;310;0,0;Halten;Schlecht;0;Computer;27.07.2025
Baldé;Stürmer;Hamburger SV;0;370;370;0,0;Halten;Schlecht;0;Computer;27.07.2025
Bos;Abwehr;1. FSV Mainz 05;0;390;390;0,0;Halten;Schlecht;0;Computer;27.07.2025
Kampl;Mittelfeld;RB Leipzig;82;1.390.000;1.410.000;3,3;Halten;Gut;2;Computer;28.07.2025
Grifo;Mittelfeld;Sport-Club Freiburg;201;9.170.000;9.140.000;5,9;Halten;Gut;4;Computer;28.07.2025
Musiala;Mittelfeld;FC Bayern München;199;6.140.000;6.020.000;8,0;Halten;Gut;3;Computer;28.07.2025
Lemperle;Stürmer;TSG Hoffenheim;0;2.060.000;2.040.000;1,1;Halten;Schlecht;0;Computer;28.07.2025
Tillman;Mittelfeld;Bayer 04 Leverkusen;0;13.300.000;13.050.000;1,7;Halten;Schlecht;2;Computer;28.07.2025
Arthur;Abwehr;Bayer 04 Leverkusen;31;1.770.000;1.710.000;1,7;Halten;Schlecht;0;Computer;28.07.2025
Milošević;Stürmer;VfB Stuttgart;0;210;210;1,3;Halten;Durchschnittlich;0;Computer;28.07.2025
Kane;Stürmer;FC Bayern München;275;15.510.000;15.540.000;8,9;Halten;Gut;2;Computer;28.07.2025
Hansen-Aarøen;Mittelfeld;SV Werder Bremen;0;220;220;-1,5;Halten;Schlecht;0;Computer;28.07.2025
João Palhinha;Mittelfeld;FC Bayern München;33;1.420.000;1.420.000;2,2;Halten;Gut;2;Computer;28.07.2025
Nusa;Mittelfeld;RB Leipzig;85;5.660.000;5.590.000;3,5;Halten;Durchschnittlich;2;Computer;28.07.2025
Dal;Abwehr;1. FSV Mainz 05;0;180;180;0,0;Verkaufen;Schlecht;0;Computer;28.07.2025
Baldé;Stürmer;Hamburger SV;0;350;350;0,0;Halten;Schlecht;0;Computer;28.07.2025
Bellingham;Mittelfeld;Borussia Dortmund;0;9.560.000;9.360.000;0,0;Halten;Schlecht;2;Computer;28.07.2025
Bos;Abwehr;1. FSV Mainz 05;0;390;390;0,0;Halten;Schlecht;0;Computer;28.07.2025
Kampl;Mittelfeld;RB Leipzig;82;1.310.000;1.320.000;3,3;Halten;Gut;3;Computer;29.07.2025
Grifo;Mittelfeld;Sport-Club Freiburg;201;9.340.000;9.390.000;5,9;Halten;Gut;5;Computer;29.07.2025
Henrichs;Abwehr;RB Leipzig;49;1.920.000;1.930.000;3,3;Halten;Gut;2;Computer;29.07.2025
Musiala;Mittelfeld;FC Bayern München;199;6.950.000;6.820.000;8,0;Halten;Gut;5;Computer;29.07.2025
Lemperle;Stürmer;TSG Hoffenheim;0;2.160.000;2.130.000;1,1;Halten;Schlecht;0;Computer;29.07.2025
Tillman;Mittelfeld;Bayer 04 Leverkusen;0;12.320.000;12.460.000;1,7;Halten;Schlecht;2;Computer;29.07.2025
Milošević;Stürmer;VfB Stuttgart;0;230;230;1,3;Halten;Durchschnittlich;0;Computer;29.07.2025
Voll;Torhüter;FC St. Pauli;2;170;170;2,0;Halten;Gut;0;Computer;29.07.2025
Amoura;Stürmer;VfL Wolfsburg;166;8.490.000;8.420.000;5,4;Halten;Gut;4;Computer;29.07.2025
João Palhinha;Mittelfeld;FC Bayern München;33;1.420.000;1.410.000;2,2;Halten;Gut;3;Computer;29.07.2025
Nusa;Mittelfeld;RB Leipzig;85;5.830.000;5.770.000;3,5;Halten;Durchschnittlich;4;Computer;29.07.2025
Dal;Abwehr;1. FSV Mainz 05;0;180;180;0,0;Verkaufen;Schlecht;0;Computer;29.07.2025
Baldé;Stürmer;Hamburger SV;0;370;370;0,0;Halten;Schlecht;0;Computer;29.07.2025
Bellingham;Mittelfeld;Borussia Dortmund;0;9.650.000;9.460.000;0,0;Halten;Schlecht;2;Computer;29.07.2025
Bos;Abwehr;1. FSV Mainz 05;0;380;380;0,0;Halten;Schlecht;0;Computer;29.07.2025
Grifo;Mittelfeld;Sport-Club Freiburg;201;9.340.000;9.390.000;5,9;Halten;Gut;5;Computer;30.07.2025
Musiala;Mittelfeld;FC Bayern München;199;6.950.000;6.820.000;8,0;Halten;Gut;5;Computer;30.07.2025
Lemperle;Stürmer;TSG Hoffenheim;0;2.160.000;2.130.000;1,1;Halten;Schlecht;0;Computer;30.07.2025
