SPIELER;POSITION;TEAM;PUNKTE;MARKTWERT;ZIELWERT;PUNKTE / SPIEL;KAUFEMPFEHLUNG;PREIS-LEISSTUNG;GEBOTSVORHERSAGE;BESITZER;Datum
Cozza;Abwehr;VfL Wolfsburg;0;190;190;0,8;Halten;Schlecht;0;Computer;02.07.2025
Stein;Torhüter;1.FC Union Berlin;0;170;170;0,0;Halten;Schlecht;0;Computer;02.07.2025
Treu;Abwehr;Sport-Club Freiburg;99;2.770.000;2.750.000;3,0;Halten;Durchschnittlich;0;Computer;02.07.2025
Krattenmacher;Mittelfeld;FC Bayern München;0;1.110.000;1.100.000;0,0;Halten;Schlecht;0;Computer;02.07.2025
Giannoulis;Abwehr;FC Augsburg;118;2.940.000;2.930.000;3,8;Halten;Gut;0;Computer;02.07.2025
Malanga;Stürmer;VfB Stuttgart;0;240;240;0,0;Halten;Schlecht;0;Computer;02.07.2025
Vidić;Mittelfeld;Borussia Mönchengladbach;0;270;270;0,0;Halten;Schlecht;0;Computer;02.07.2025
Spari;Torhüter;FC St. Pauli;0;370;370;0,0;Halten;Schlecht;0;Computer;02.07.2025
K. Müller;Torhüter;1.FC Heidenheim;82;1.480.000;1.450.000;2,5;Halten;Durchschnittlich;1;Computer;03.07.2025
Jatta;Stürmer;Hamburger SV;0;1.510.000;1.510.000;1,0;Halten;Schlecht;0;Computer;03.07.2025
Muslija;Mittelfeld;Sport-Club Freiburg;20;630;630;2,5;Halten;Gut;0;Computer;03.07.2025
Pedersen;Abwehr;FC Augsburg;3;210;210;0,6;Halten;Schlecht;0;Computer;03.07.2025
Schick;Stürmer;Bayer 04 Leverkusen;190;12.810.000;13.070.000;6,3;Halten;Durchschnittlich;2;Computer;03.07.2025
Ache;Stürmer;1. FC Köln;0;4.980.000;4.900.000;1,5;Halten;Schlecht;0;Computer;03.07.2025
Bischof;Mittelfeld;FC Bayern München;179;6.130.000;6.040.000;5,8;Halten;Gut;1;Computer;03.07.2025
Hložek;Stürmer;TSG Hoffenheim;129;5.590.000;5.550.000;5,0;Halten;Gut;0;Computer;03.07.2025
Maza;Mittelfeld;Bayer 04 Leverkusen;0;7.370.000;7.350.000;0,0;Halten;Schlecht;1;Computer;03.07.2025
Treu;Abwehr;Sport-Club Freiburg;99;2.770.000;2.750.000;3,0;Halten;Durchschnittlich;0;Computer;03.07.2025
Giannoulis;Abwehr;FC Augsburg;118;2.940.000;2.930.000;3,8;Halten;Gut;0;Computer;03.07.2025
Malanga;Stürmer;VfB Stuttgart;0;240;240;0,0;Halten;Schlecht;0;Computer;03.07.2025
Sarco;Stürmer;Bayer 04 Leverkusen;0;200;200;0,0;Halten;Schlecht;0;Computer;03.07.2025
Vidić;Mittelfeld;Borussia Mönchengladbach;0;270;270;0,0;Halten;Schlecht;0;Computer;03.07.2025
Hermann;Torhüter;Hamburger SV;0;170;170;0,0;Halten;Schlecht;0;Computer;03.07.2025
Bell;Abwehr;1. FSV Mainz 05;70;1.010.000;1.020.000;3,9;Halten;Gut;0;Computer;04.07.2025
K. Müller;Torhüter;1.FC Heidenheim;82;1.520.000;1.520.000;2,5;Halten;Durchschnittlich;1;Computer;04.07.2025
Flekken;Torhüter;Bayer 04 Leverkusen;0;2.600.000;2.550.000;3,3;Halten;Durchschnittlich;2;Computer;04.07.2025
Pedersen;Abwehr;FC Augsburg;3;220;220;0,6;Halten;Schlecht;0;Computer;04.07.2025
Ache;Stürmer;1. FC Köln;0;5.180.000;5.110.000;1,5;Halten;Schlecht;0;Computer;04.07.2025
Bischof;Mittelfeld;FC Bayern München;179;5.890.000;5.830.000;5,8;Halten;Gut;1;Computer;04.07.2025
Jakić;Mittelfeld;FC Augsburg;93;2.040.000;2.040.000;3,0;Halten;Gut;0;Computer;04.07.2025
Maza;Mittelfeld;Bayer 04 Leverkusen;0;6.940.000;6.890.000;0,0;Halten;Schlecht;1;Computer;04.07.2025
Grimaldo;Abwehr;Bayer 04 Leverkusen;170;7.840.000;7.840.000;5,3;Halten;Schlecht;1;Computer;04.07.2025
Giannoulis;Abwehr;FC Augsburg;118;2.940.000;2.940.000;3,8;Halten;Gut;0;Computer;04.07.2025
Pavlešić;Torhüter;FC Bayern München;0;370;370;0,0;Halten;Schlecht;0;Computer;04.07.2025
Malanga;Stürmer;VfB Stuttgart;0;240;240;0,0;Halten;Schlecht;0;Computer;04.07.2025
Sarco;Stürmer;Bayer 04 Leverkusen;0;200;200;0,0;Halten;Schlecht;0;Computer;04.07.2025
Hermann;Torhüter;Hamburger SV;0;170;170;0,0;Halten;Schlecht;0;Computer;04.07.2025
Jones;Stürmer;FC St. Pauli;0;770;760;0,0;Halten;Schlecht;0;Computer;04.07.2025
Bell;Abwehr;1. FSV Mainz 05;70;960;990;3,9;Halten;Gut;0;Computer;05.07.2025
K. Müller;Torhüter;1.FC Heidenheim;82;1.490.000;1.430.000;2,5;Halten;Durchschnittlich;1;Computer;05.07.2025
Maier;Mittelfeld;FC Augsburg;59;480;480;2,1;Halten;Gut;0;Computer;05.07.2025
Flekken;Torhüter;Bayer 04 Leverkusen;0;2.760.000;2.720.000;3,3;Halten;Schlecht;2;Computer;05.07.2025
Pedersen;Abwehr;FC Augsburg;3;210;210;0,6;Halten;Schlecht;0;Computer;05.07.2025
Bischof;Mittelfeld;FC Bayern München;179;5.360.000;5.340.000;5,8;Halten;Gut;1;Computer;05.07.2025
Jakić;Mittelfeld;FC Augsburg;93;2.030.000;2.040.000;3,0;Halten;Gut;0;Computer;05.07.2025
F. Becker;Mittelfeld;TSG Hoffenheim;32;350;350;2,9;Halten;Gut;0;Computer;05.07.2025
Maza;Mittelfeld;Bayer 04 Leverkusen;0;6.140.000;5.930.000;0,0;Halten;Schlecht;1;Computer;05.07.2025
Grimaldo;Abwehr;Bayer 04 Leverkusen;170;7.880.000;7.830.000;5,3;Halten;Schlecht;1;Computer;05.07.2025
Pavlešić;Torhüter;FC Bayern München;0;330;330;0,0;Halten;Schlecht;0;Computer;05.07.2025
Sarco;Stürmer;Bayer 04 Leverkusen;0;190;190;0,0;Halten;Schlecht;0;Computer;05.07.2025
Čović;Mittelfeld;SV Werder Bremen;0;160;160;0,0;Halten;Schlecht;0;Computer;05.07.2025
Hermann;Torhüter;Hamburger SV;0;160;160;0,0;Halten;Schlecht;0;Computer;05.07.2025
Jones;Stürmer;FC St. Pauli;0;700;690;0,0;Halten;Schlecht;0;Computer;05.07.2025
Bell;Abwehr;1. FSV Mainz 05;70;960;990;3,9;Halten;Gut;0;Computer;06.07.2025
M. Philipp;Stürmer;Sport-Club Freiburg;0;280;280;0,0;Halten;Schlecht;0;Computer;06.07.2025
Maier;Mittelfeld;FC Augsburg;59;480;480;2,1;Halten;Gut;0;Computer;06.07.2025
Davies;Abwehr;FC Bayern München;98;3.600.000;3.640.000;5,2;Halten;Gut;0;Computer;06.07.2025
Rieß;Torhüter;1. FSV Mainz 05;6;210;210;3,0;Halten;Gut;0;Computer;06.07.2025
Jakić;Mittelfeld;FC Augsburg;93;2.030.000;2.040.000;3,0;Halten;Gut;0;Computer;06.07.2025
Weiper;Stürmer;1. FSV Mainz 05;61;3.310.000;3.390.000;3,1;;Gut;0;Computer;06.07.2025
F. Becker;Mittelfeld;TSG Hoffenheim;32;350;350;2,9;Halten;Gut;0;Computer;06.07.2025
Köhler;Abwehr;RB Leipzig;0;170;170;0,0;Halten;Schlecht;0;Computer;06.07.2025
Ogbemudia;Abwehr;1.FC Union Berlin;0;180;180;0,0;Halten;Schlecht;0;Computer;06.07.2025
Pavlešić;Torhüter;FC Bayern München;0;330;330;0,0;Halten;Schlecht;0;Computer;06.07.2025
Čović;Mittelfeld;SV Werder Bremen;0;160;160;0,0;Halten;Schlecht;0;Computer;06.07.2025
Gazibegović;Abwehr;1. FC Köln;0;830;820;0,0;Halten;Schlecht;0;Computer;06.07.2025
Mikelbrencis;Abwehr;Hamburger SV;0;650;650;0,0;Halten;Schlecht;0;Computer;06.07.2025
Jones;Stürmer;FC St. Pauli;0;700;690;0,0;Halten;Schlecht;0;Computer;06.07.2025
M. Philipp;Stürmer;Sport-Club Freiburg;0;280;280;0,0;Halten;Schlecht;0;Computer;07.07.2025
Hradecky;Torhüter;Bayer 04 Leverkusen;82;1.040.000;1.030.000;2,8;Halten;Gut;1;Computer;07.07.2025
Maier;Mittelfeld;FC Augsburg;59;470;470;2,1;Halten;Gut;0;Computer;07.07.2025
Davies;Abwehr;FC Bayern München;98;3.540.000;3.480.000;5,2;Halten;Gut;0;Computer;07.07.2025
Rieß;Torhüter;1. FSV Mainz 05;6;210;210;3,0;Halten;Gut;0;Computer;07.07.2025
Weiper;Stürmer;1. FSV Mainz 05;61;3.490.000;3.490.000;3,1;;Gut;0;Computer;07.07.2025
F. Becker;Mittelfeld;TSG Hoffenheim;32;340;340;2,9;Halten;Gut;0;Computer;07.07.2025
Pejčinović;Stürmer;VfL Wolfsburg;0;440;440;1,5;Halten;Durchschnittlich;0;Computer;07.07.2025
Breithaupt;Mittelfeld;FC Augsburg;6;280;280;3,0;Halten;Gut;0;Computer;07.07.2025
Köhler;Abwehr;RB Leipzig;0;170;170;0,0;Halten;Schlecht;0;Computer;07.07.2025
Ogbemudia;Abwehr;1.FC Union Berlin;0;170;170;0,0;Halten;Schlecht;0;Computer;07.07.2025
Gebel;Mittelfeld;RB Leipzig;1;170;170;1,0;Halten;Schlecht;0;Computer;07.07.2025
H. Behrens;Abwehr;TSG Hoffenheim;2;200;200;2,0;Halten;Gut;0;Computer;07.07.2025
Gazibegović;Abwehr;1. FC Köln;0;760;750;0,0;Halten;Schlecht;0;Computer;07.07.2025
Mikelbrencis;Abwehr;Hamburger SV;0;690;670;0,0;Halten;Schlecht;0;Computer;07.07.2025
Hradecky;Torhüter;Bayer 04 Leverkusen;82;960;970;2,8;Halten;Gut;1;Computer;08.07.2025
Gnabry;Stürmer;FC Bayern München;124;7.460.000;7.400.000;4,8;Halten;Gut;1;Computer;08.07.2025
Jeong;Stürmer;1.FC Union Berlin;76;1.840.000;1.890.000;3,5;Halten;Gut;0;Computer;08.07.2025
Rieß;Torhüter;1. FSV Mainz 05;6;210;210;3,0;Halten;Gut;0;Computer;08.07.2025
Pejčinović;Stürmer;VfL Wolfsburg;0;420;420;1,5;Halten;Durchschnittlich;0;Computer;08.07.2025
Beljo;Stürmer;FC Augsburg;0;500;500;2,1;Halten;Gut;0;Computer;08.07.2025
Breithaupt;Mittelfeld;FC Augsburg;6;270;270;3,0;Halten;Gut;0;Computer;08.07.2025
Honorat;Stürmer;Borussia Mönchengladbach;122;6.860.000;6.800.000;6,4;Halten;Gut;1;Computer;08.07.2025
Köhler;Abwehr;RB Leipzig;0;170;170;0,0;Halten;Schlecht;0;Computer;08.07.2025
Ogbemudia;Abwehr;1.FC Union Berlin;0;170;170;0,0;Halten;Schlecht;0;Computer;08.07.2025
Gebel;Mittelfeld;RB Leipzig;1;160;160;1,0;Halten;Schlecht;0;Computer;08.07.2025
Tabaković;Stürmer;TSG Hoffenheim;68;1.080.000;1.060.000;3,1;Halten;Gut;0;Computer;08.07.2025
H. Behrens;Abwehr;TSG Hoffenheim;2;190;190;2,0;Halten;Gut;0;Computer;08.07.2025
Gazibegović;Abwehr;1. FC Köln;0;710;710;0,0;Halten;Schlecht;0;Computer;08.07.2025
Raab;Torhüter;Hamburger SV;0;160;160;0,0;Halten;Schlecht;0;Computer;08.07.2025
Hradecky;Torhüter;Bayer 04 Leverkusen;82;960;970;2,8;Halten;Gut;1;Computer;09.07.2025
Guirassy;Stürmer;Borussia Dortmund;207;15.330.000;15.220.000;6,9;Halten;Schlecht;2;Computer;09.07.2025
Gnabry;Stürmer;FC Bayern München;124;7.460.000;7.400.000;4,8;Halten;Gut;1;Computer;09.07.2025
Jeong;Stürmer;1.FC Union Berlin;76;1.840.000;1.890.000;3,5;Halten;Gut;0;Computer;09.07.2025
Woltemade;Stürmer;VfB Stuttgart;134;15.250.000;15.200.000;4,8;Halten;Schlecht;2;Computer;09.07.2025
Pejčinović;Stürmer;VfL Wolfsburg;0;420;420;1,5;Halten;Durchschnittlich;0;Computer;09.07.2025
Beljo;Stürmer;FC Augsburg;0;500;500;2,1;Halten;Gut;0;Computer;09.07.2025
Maza;Mittelfeld;Bayer 04 Leverkusen;0;5.790.000;5.640.000;0,0;Halten;Schlecht;1;Computer;09.07.2025
Breithaupt;Mittelfeld;FC Augsburg;6;270;270;3,0;Halten;Gut;0;Computer;09.07.2025
Honorat;Stürmer;Borussia Mönchengladbach;122;6.860.000;6.800.000;6,4;Halten;Gut;1;Computer;09.07.2025
Gebel;Mittelfeld;RB Leipzig;1;160;160;1,0;Halten;Schlecht;0;Computer;09.07.2025
Tabaković;Stürmer;TSG Hoffenheim;68;1.080.000;1.060.000;3,1;Halten;Gut;0;Computer;09.07.2025
Schmitz;Mittelfeld;FC St. Pauli;0;160;160;0,0;Halten;Schlecht;0;Computer;09.07.2025
H. Behrens;Abwehr;TSG Hoffenheim;2;190;190;2,0;Halten;Gut;0;Computer;09.07.2025
Raab;Torhüter;Hamburger SV;0;160;160;0,0;Halten;Schlecht;0;Computer;09.07.2025
Ma. Müller;Torhüter;VfL Wolfsburg;22;160;160;3,7;Halten;Gut;0;Computer;10.07.2025
Guirassy;Stürmer;Borussia Dortmund;207;15.610.000;15.490.000;6,9;Halten;Schlecht;2;Computer;10.07.2025
Pléa;Stürmer;Borussia Mönchengladbach;139;5.720.000;5.630.000;4,8;Halten;Gut;0;Computer;10.07.2025
Woltemade;Stürmer;VfB Stuttgart;134;15.580.000;15.650.000;4,8;Halten;Schlecht;2;Computer;10.07.2025
Leweling;Mittelfeld;VfB Stuttgart;98;4.940.000;4.900.000;3,6;Halten;Durchschnittlich;0;Computer;10.07.2025
Smolčić;Abwehr;Eintracht Frankfurt;0;180;180;3,0;Halten;Gut;0;Computer;10.07.2025
Beljo;Stürmer;FC Augsburg;0;480;480;2,1;Halten;Gut;0;Computer;10.07.2025
Maza;Mittelfeld;Bayer 04 Leverkusen;0;5.330.000;5.260.000;0,0;Halten;Schlecht;1;Computer;10.07.2025
Honorat;Stürmer;Borussia Mönchengladbach;122;6.630.000;6.560.000;6,4;Halten;Gut;1;Computer;10.07.2025
Bitshiabu;Abwehr;RB Leipzig;61;2.750.000;2.730.000;3,2;Halten;Durchschnittlich;0;Computer;10.07.2025
Tabaković;Stürmer;TSG Hoffenheim;68;1.060.000;1.040.000;3,1;Halten;Gut;0;Computer;10.07.2025
Vermeeren;Mittelfeld;RB Leipzig;56;1.550.000;1.530.000;2,0;Halten;Durchschnittlich;0;Computer;10.07.2025
Sakar;Mittelfeld;RB Leipzig;0;160;160;0,0;Halten;Schlecht;0;Computer;10.07.2025
Schmitz;Mittelfeld;FC St. Pauli;0;160;160;0,0;Halten;Schlecht;0;Computer;10.07.2025
Vini Souza;Mittelfeld;VfL Wolfsburg;0;5.230.000;5.480.000;0,0;;Schlecht;1;Computer;10.07.2025
Ma. Müller;Torhüter;VfL Wolfsburg;22;160;160;3,7;Halten;Gut;0;Computer;11.07.2025
Henrichs;Abwehr;RB Leipzig;49;2.460.000;2.450.000;3,3;Halten;Gut;0;Computer;11.07.2025
Guirassy;Stürmer;Borussia Dortmund;207;15.610.000;15.490.000;6,9;Halten;Schlecht;2;Computer;11.07.2025
Pléa;Stürmer;Borussia Mönchengladbach;139;5.720.000;5.630.000;4,8;Halten;Gut;0;Computer;11.07.2025
Woltemade;Stürmer;VfB Stuttgart;134;15.580.000;15.650.000;4,8;Halten;Schlecht;2;Computer;11.07.2025
Leweling;Mittelfeld;VfB Stuttgart;98;4.940.000;4.900.000;3,6;Halten;Durchschnittlich;0;Computer;11.07.2025
Smolčić;Abwehr;Eintracht Frankfurt;0;180;180;3,0;Halten;Gut;0;Computer;11.07.2025
Maza;Mittelfeld;Bayer 04 Leverkusen;0;5.330.000;5.260.000;0,0;Halten;Schlecht;1;Computer;11.07.2025
Bitshiabu;Abwehr;RB Leipzig;61;2.750.000;2.730.000;3,2;Halten;Durchschnittlich;0;Computer;11.07.2025
Sinani;Stürmer;FC St. Pauli;94;2.510.000;2.510.000;3,9;Halten;Gut;0;Computer;11.07.2025
Vermeeren;Mittelfeld;RB Leipzig;56;1.550.000;1.530.000;2,0;Halten;Durchschnittlich;0;Computer;11.07.2025
Hong;Mittelfeld;1. FSV Mainz 05;38;340;350;1,9;Halten;Gut;0;Computer;11.07.2025
Sakar;Mittelfeld;RB Leipzig;0;160;160;0,0;Halten;Schlecht;0;Computer;11.07.2025
Schmitz;Mittelfeld;FC St. Pauli;0;160;160;0,0;Halten;Schlecht;0;Computer;11.07.2025
Vini Souza;Mittelfeld;VfL Wolfsburg;0;5.230.000;5.480.000;0,0;;Schlecht;1;Computer;11.07.2025
Henrichs;Abwehr;RB Leipzig;49;2.490.000;2.420.000;3,3;Halten;Gut;0;Computer;12.07.2025
Hradecky;Torhüter;Bayer 04 Leverkusen;82;960;970;2,8;Halten;Gut;0;Computer;12.07.2025
Pléa;Stürmer;Borussia Mönchengladbach;139;6.100.000;6.050.000;4,8;Halten;Gut;1;Computer;12.07.2025
Skov;Mittelfeld;1.FC Union Berlin;61;980;930;4,1;Halten;Gut;0;Computer;12.07.2025
Beier;Stürmer;Borussia Dortmund;115;6.490.000;6.410.000;4,0;Halten;Durchschnittlich;1;Computer;12.07.2025
Leweling;Mittelfeld;VfB Stuttgart;98;4.710.000;4.680.000;3,6;Halten;Gut;0;Computer;12.07.2025
Černý;Stürmer;VfL Wolfsburg;0;540;540;2,5;Halten;Gut;0;Computer;12.07.2025
Nkounkou;Abwehr;Eintracht Frankfurt;31;390;390;2,6;Halten;Gut;0;Computer;12.07.2025
Sinani;Stürmer;FC St. Pauli;94;2.630.000;2.670.000;3,9;Halten;Gut;0;Computer;12.07.2025
Vermeeren;Mittelfeld;RB Leipzig;56;1.530.000;1.530.000;2,0;Halten;Durchschnittlich;0;Computer;12.07.2025
Hong;Mittelfeld;1. FSV Mainz 05;38;340;340;1,9;Halten;Gut;0;Computer;12.07.2025
Sakar;Mittelfeld;RB Leipzig;0;160;160;0,0;Halten;Schlecht;0;Computer;12.07.2025
Hennrich;Stürmer;TSG Hoffenheim;1;170;170;1,0;Halten;Schlecht;0;Computer;12.07.2025
Diks;Abwehr;Borussia Mönchengladbach;0;2.770.000;2.770.000;0,0;Halten;Schlecht;0;Computer;12.07.2025
Vini Souza;Mittelfeld;VfL Wolfsburg;0;5.220.000;5.390.000;0,0;;Schlecht;1;Computer;12.07.2025
Henrichs;Abwehr;RB Leipzig;49;2.300.000;2.250.000;3,3;Halten;Gut;0;Computer;13.07.2025
Hradecky;Torhüter;Bayer 04 Leverkusen;82;950;950;2,8;Halten;Gut;1;Computer;13.07.2025
Hack;Stürmer;Borussia Mönchengladbach;127;5.000.000;4.950.000;3,8;Halten;Gut;0;Computer;13.07.2025
Skov;Mittelfeld;1.FC Union Berlin;61;980;980;4,1;Halten;Gut;0;Computer;13.07.2025
Beier;Stürmer;Borussia Dortmund;115;5.940.000;5.880.000;4,0;Halten;Durchschnittlich;1;Computer;13.07.2025
Sildillia;Abwehr;Sport-Club Freiburg;59;1.240.000;1.240.000;4,2;Halten;Gut;0;Computer;13.07.2025
Černý;Stürmer;VfL Wolfsburg;0;520;520;2,5;Halten;Gut;0;Computer;13.07.2025
Nkounkou;Abwehr;Eintracht Frankfurt;31;400;400;2,6;Halten;Gut;0;Computer;13.07.2025
Petersson;Torhüter;TSG Hoffenheim;0;160;160;0,0;Halten;Schlecht;0;Computer;13.07.2025
Sinani;Stürmer;FC St. Pauli;94;2.540.000;2.550.000;3,9;Halten;Gut;0;Computer;13.07.2025
Brown;Abwehr;Eintracht Frankfurt;140;5.620.000;5.570.000;5,4;Halten;Gut;1;Computer;13.07.2025
Hong;Mittelfeld;1. FSV Mainz 05;38;320;330;1,9;Halten;Gut;0;Computer;13.07.2025
Hennrich;Stürmer;TSG Hoffenheim;1;170;170;1,0;Halten;Schlecht;0;Computer;13.07.2025
Diks;Abwehr;Borussia Mönchengladbach;0;2.630.000;2.620.000;0,0;Halten;Schlecht;0;Computer;13.07.2025
Capaldo;Mittelfeld;Hamburger SV;0;4.440.000;5.430.000;0,0;;Schlecht;0;Computer;13.07.2025
Hradecky;Torhüter;Bayer 04 Leverkusen;82;900;900;2,8;Halten;Gut;0;Computer;14.07.2025
Hack;Stürmer;Borussia Mönchengladbach;127;4.560.000;4.580.000;3,8;Halten;Gut;0;Computer;14.07.2025
Nartey;Mittelfeld;VfB Stuttgart;1;220;220;1,0;Halten;Schlecht;0;Computer;14.07.2025
Skov;Mittelfeld;1.FC Union Berlin;61;910;940;4,1;Halten;Gut;0;Computer;14.07.2025
Bensebaini;Abwehr;Borussia Dortmund;116;3.380.000;3.420.000;3,9;Halten;Gut;0;Computer;14.07.2025
Beier;Stürmer;Borussia Dortmund;115;5.750.000;5.700.000;4,0;Halten;Gut;1;Computer;14.07.2025
Sildillia;Abwehr;Sport-Club Freiburg;59;1.190.000;1.180.000;4,2;Halten;Gut;0;Computer;14.07.2025
Stein;Torhüter;1.FC Union Berlin;0;160;160;0,0;Halten;Schlecht;0;Computer;14.07.2025
Černý;Stürmer;VfL Wolfsburg;0;560;560;2,5;Halten;Gut;0;Computer;14.07.2025
Petersson;Torhüter;TSG Hoffenheim;0;160;160;0,0;Halten;Schlecht;0;Computer;14.07.2025
