Spieler;Link;Datum;Spielerpool
Kimmich;https://www.comunio.de/bundesliga/players/Kimmich-32445;14.04.2026;538.0
Klanac;https://www.comunio.de/bundesliga/players/Klanac-34101;14.04.2026;538.0
Klaus;https://www.comunio.de/bundesliga/players/Klaus-34032;14.04.2026;538.0
Kleindienst;https://www.comunio.de/bundesliga/players/Kleindienst-32599;14.04.2026;538.0
Klostermann;https://www.comunio.de/bundesliga/players/Klostermann-32581;14.04.2026;538.0
Knauff;https://www.comunio.de/bundesliga/players/Knauff-33383;14.04.2026;538.0
Köbbing;https://www.comunio.de/bundesliga/players/K%C3%B6bbing-33495;14.04.2026;538.0
Kobel;https://www.comunio.de/bundesliga/players/Kobel-32638;14.04.2026;538.0
Koch;https://www.comunio.de/bundesliga/players/Koch-32836;14.04.2026;538.0
Kofane;https://www.comunio.de/bundesliga/players/Kofane-34234;14.04.2026;538.0
Köhn;https://www.comunio.de/bundesliga/players/K%C3%B6hn-34061;14.04.2026;538.0
Kohr;https://www.comunio.de/bundesliga/players/Kohr-31959;14.04.2026;538.0
Kolke;https://www.comunio.de/bundesliga/players/Kolke-33986;14.04.2026;538.0
Kölle;https://www.comunio.de/bundesliga/players/K%C3%B6lle-34193;14.04.2026;538.0
Kömür;https://www.comunio.de/bundesliga/players/K%C3%B6m%C3%BCr-33736;14.04.2026;538.0
Konaté;https://www.comunio.de/bundesliga/players/Konat%C3%A9-34309;14.04.2026;538.0
Königsdörffer;https://www.comunio.de/bundesliga/players/K%C3%B6nigsd%C3%B6rffer-34158;14.04.2026;538.0
Kosugi;https://www.comunio.de/bundesliga/players/Kosugi-34313;14.04.2026;538.0
Koulierakis;https://www.comunio.de/bundesliga/players/Koulierakis-34044;14.04.2026;538.0
Král;https://www.comunio.de/bundesliga/players/Kr%C3%A1l-33656;14.04.2026;538.0
Kramarić;https://www.comunio.de/bundesliga/players/Kramari%C4%87-32553;14.04.2026;538.0
Krauß;https://www.comunio.de/bundesliga/players/Krau%C3%9F-33130;14.04.2026;538.0
Kristensen;https://www.comunio.de/bundesliga/players/Kristensen-34025;14.04.2026;538.0
Kübler;https://www.comunio.de/bundesliga/players/K%C3%BCbler-32597;14.04.2026;538.0
Kücüksahin;https://www.comunio.de/bundesliga/players/K%C3%BCc%C3%BCksahin-33914;14.04.2026;538.0
Kumashiro;https://www.comunio.de/bundesliga/players/Kumashiro-34312;14.04.2026;538.0
Kumbedi;https://www.comunio.de/bundesliga/players/Kumbedi-34281;14.04.2026;538.0
Kyereh;https://www.comunio.de/bundesliga/players/Kyereh-33637;14.04.2026;538.0
L. Philipp;https://www.comunio.de/bundesliga/players/L.%20Philipp-33313;14.04.2026;538.0
L. Vušković;https://www.comunio.de/bundesliga/players/L.%20Vu%C5%A1kovi%C4%87-34282;14.04.2026;538.0
Labrović;https://www.comunio.de/bundesliga/players/Labrovi%C4%87-33990;14.04.2026;538.0
Laimer;https://www.comunio.de/bundesliga/players/Laimer-32800;14.04.2026;538.0
Larsson;https://www.comunio.de/bundesliga/players/Larsson-33782;14.04.2026;538.0
Lee;https://www.comunio.de/bundesliga/players/Lee-33477;14.04.2026;538.0
Leitsch;https://www.comunio.de/bundesliga/players/Leitsch-33417;14.04.2026;538.0
Lemke;https://www.comunio.de/bundesliga/players/Lemke-34355;14.04.2026;538.0
Lemperle;https://www.comunio.de/bundesliga/players/Lemperle-33270;14.04.2026;538.0
Leweling;https://www.comunio.de/bundesliga/players/Leweling-33411;14.04.2026;538.0
Lienhart;https://www.comunio.de/bundesliga/players/Lienhart-32807;14.04.2026;538.0
Lindstrøm;https://www.comunio.de/bundesliga/players/Lindstr%C3%B8m-33480;14.04.2026;538.0
Lomb;https://www.comunio.de/bundesliga/players/Lomb-32007;14.04.2026;538.0
Lucas Vázquez;https://www.comunio.de/bundesliga/players/Lucas%20V%C3%A1zquez-34277;14.04.2026;538.0
Luis Díaz;https://www.comunio.de/bundesliga/players/Luis%20D%C3%ADaz-34254;14.04.2026;538.0
Lukeba;https://www.comunio.de/bundesliga/players/Lukeba-33837;14.04.2026;538.0
Lund;https://www.comunio.de/bundesliga/players/Lund-34256;14.04.2026;538.0
Lynen;https://www.comunio.de/bundesliga/players/Lynen-33835;14.04.2026;538.0
M. Eggestein;https://www.comunio.de/bundesliga/players/M.%20Eggestein-32398;14.04.2026;538.0
M. El Mala;https://www.comunio.de/bundesliga/players/M.%20El%20Mala-34141;14.04.2026;538.0
M. Philipp;https://www.comunio.de/bundesliga/players/M.%20Philipp-32269;14.04.2026;538.0
M. Wolf;https://www.comunio.de/bundesliga/players/M.%20Wolf-32546;14.04.2026;538.0
Ma. Müller;https://www.comunio.de/bundesliga/players/Ma.%20M%C3%BCller-31930;14.04.2026;538.0
Machida;https://www.comunio.de/bundesliga/players/Machida-34213;14.04.2026;538.0
Machino;https://www.comunio.de/bundesliga/players/Machino-33938;14.04.2026;538.0
Mæhle;https://www.comunio.de/bundesliga/players/M%C3%A6hle-33839;14.04.2026;538.0
Maina;https://www.comunio.de/bundesliga/players/Maina-32881;14.04.2026;538.0
Mainka;https://www.comunio.de/bundesliga/players/Mainka-33273;14.04.2026;538.0
Majer;https://www.comunio.de/bundesliga/players/Majer-33844;14.04.2026;538.0
Makengo;https://www.comunio.de/bundesliga/players/Makengo-33829;14.04.2026;538.0
Maksimović;https://www.comunio.de/bundesliga/players/Maksimovi%C4%87-34238;14.04.2026;538.0
Malatini;https://www.comunio.de/bundesliga/players/Malatini-33882;14.04.2026;538.0
Maloney;https://www.comunio.de/bundesliga/players/Maloney-33093;14.04.2026;538.0
Mané;https://www.comunio.de/bundesliga/players/Man%C3%A9-34084;14.04.2026;538.0
Manzambi;https://www.comunio.de/bundesliga/players/Manzambi-34022;14.04.2026;538.0
Markgraf;https://www.comunio.de/bundesliga/players/Markgraf-34214;14.04.2026;538.0
Martel;https://www.comunio.de/bundesliga/players/Martel-33356;14.04.2026;538.0
Massengo;https://www.comunio.de/bundesliga/players/Massengo-34236;14.04.2026;538.0
Matanović;https://www.comunio.de/bundesliga/players/Matanovi%C4%87-33783;14.04.2026;538.0
Matsima;https://www.comunio.de/bundesliga/players/Matsima-34057;14.04.2026;538.0
Maza;https://www.comunio.de/bundesliga/players/Maza-33744;14.04.2026;538.0
Mbangula;https://www.comunio.de/bundesliga/players/Mbangula-34243;14.04.2026;538.0
Megeed;https://www.comunio.de/bundesliga/players/Megeed-34356;14.04.2026;538.0
Meiser;https://www.comunio.de/bundesliga/players/Meiser-34248;14.04.2026;538.0
Metcalfe;https://www.comunio.de/bundesliga/players/Metcalfe-33951;14.04.2026;538.0
Mets;https://www.comunio.de/bundesliga/players/Mets-33945;14.04.2026;538.0
Meyer;https://www.comunio.de/bundesliga/players/Meyer-32841;14.04.2026;538.0
Micheler;https://www.comunio.de/bundesliga/players/Micheler-34064;14.04.2026;538.0
Mike;https://www.comunio.de/bundesliga/players/Mike-34261;14.04.2026;538.0
Mikelbrencis;https://www.comunio.de/bundesliga/players/Mikelbrencis-34150;14.04.2026;538.0
Milošević;https://www.comunio.de/bundesliga/players/Milo%C5%A1evi%C4%87%20-33812;14.04.2026;538.0
Mittelstädt;https://www.comunio.de/bundesliga/players/Mittelst%C3%A4dt-32509;14.04.2026;538.0
Moerstedt;https://www.comunio.de/bundesliga/players/Moerstedt-33885;14.04.2026;538.0
Mohya;https://www.comunio.de/bundesliga/players/Mohya-34270;14.04.2026;538.0
Moreno Fell;https://www.comunio.de/bundesliga/players/Moreno%20Fell-34308;14.04.2026;538.0
Muheim;https://www.comunio.de/bundesliga/players/Muheim-34148;14.04.2026;538.0
Musah;https://www.comunio.de/bundesliga/players/Musah-34244;14.04.2026;538.0
Musiala;https://www.comunio.de/bundesliga/players/Musiala-33236;14.04.2026;538.0
Mwene;https://www.comunio.de/bundesliga/players/Mwene-32178;14.04.2026;538.0
N. Banks;https://www.comunio.de/bundesliga/players/N.%20Banks-34017;14.04.2026;538.0
N. Collins;https://www.comunio.de/bundesliga/players/N.%20Collins-33836;14.04.2026;538.0
N. Schlotterbeck;https://www.comunio.de/bundesliga/players/N.%20Schlotterbeck-33038;14.04.2026;538.0
N. Schmidt;https://www.comunio.de/bundesliga/players/N.%20Schmidt-34300;14.04.2026;538.0
Nandja;https://www.comunio.de/bundesliga/players/Nandja-34354;14.04.2026;538.0
Nartey;https://www.comunio.de/bundesliga/players/Nartey-32830;14.04.2026;538.0
Nebel;https://www.comunio.de/bundesliga/players/Nebel-33296;14.04.2026;538.0
Nedeljković;https://www.comunio.de/bundesliga/players/Nedeljkovi%C4%87-34113;14.04.2026;538.0
Neuendorff;https://www.comunio.de/bundesliga/players/Neuendorff-34310;14.04.2026;538.0
Neuer;https://www.comunio.de/bundesliga/players/Neuer-30755;14.04.2026;538.0
Neuhaus;https://www.comunio.de/bundesliga/players/Neuhaus-32931;14.04.2026;538.0
Neumann;https://www.comunio.de/bundesliga/players/Neumann-34352;14.04.2026;538.0
Ngoumou;https://www.comunio.de/bundesliga/players/Ngoumou-33681;14.04.2026;538.0
Niang;https://www.comunio.de/bundesliga/players/Niang-34326;14.04.2026;538.0
Nicolas;https://www.comunio.de/bundesliga/players/Nicolas-32654;14.04.2026;538.0
Niehues;https://www.comunio.de/bundesliga/players/Niehues-33924;14.04.2026;538.0
Njinmah;https://www.comunio.de/bundesliga/players/Njinmah-33687;14.04.2026;538.0
Nsoki;https://www.comunio.de/bundesliga/players/Nsoki-33669;14.04.2026;538.0
Nübel;https://www.comunio.de/bundesliga/players/N%C3%BCbel-32290;14.04.2026;538.0
Nusa;https://www.comunio.de/bundesliga/players/Nusa-34039;14.04.2026;538.0
O. Traoré;https://www.comunio.de/bundesliga/players/O.%20Traor%C3%A9-33807;14.04.2026;538.0
Oermann;https://www.comunio.de/bundesliga/players/Oermann-33630;14.04.2026;538.0
Ogbus;https://www.comunio.de/bundesliga/players/Ogbus-34021;14.04.2026;538.0
Ogundu;https://www.comunio.de/bundesliga/players/Ogundu-34344;14.04.2026;538.0
Olise;https://www.comunio.de/bundesliga/players/Olise-34014;14.04.2026;538.0
Olschowsky;https://www.comunio.de/bundesliga/players/Olschowsky-33306;14.04.2026;538.0
Omari;https://www.comunio.de/bundesliga/players/Omari-34258;14.04.2026;538.0
Omlin;https://www.comunio.de/bundesliga/players/Omlin-33716;14.04.2026;538.0
Onoda;https://www.comunio.de/bundesliga/players/Onoda-34345;14.04.2026;538.0
Oppie;https://www.comunio.de/bundesliga/players/Oppie-34235;14.04.2026;538.0
Osmani;https://www.comunio.de/bundesliga/players/Osmani-34357;14.04.2026;538.0
Osterhage;https://www.comunio.de/bundesliga/players/Osterhage-33156;14.04.2026;538.0
Ostrzinski;https://www.comunio.de/bundesliga/players/Ostrzinski-33539;14.04.2026;538.0
Otele;https://www.comunio.de/bundesliga/players/Otele-34341;14.04.2026;538.0
Ouédraogo;https://www.comunio.de/bundesliga/players/Ou%C3%A9draogo-33991;14.04.2026;538.0
Özcan;https://www.comunio.de/bundesliga/players/%C3%96zcan-32677;14.04.2026;538.0
Özkacar;https://www.comunio.de/bundesliga/players/%C3%96zkacar-34263;14.04.2026;538.0
Paçarada;https://www.comunio.de/bundesliga/players/Pa%C3%A7arada-33779;14.04.2026;538.0
Palacios;https://www.comunio.de/bundesliga/players/Palacios-33189;14.04.2026;538.0
Paredes;https://www.comunio.de/bundesliga/players/Paredes-33553;14.04.2026;538.0
Pavlović;https://www.comunio.de/bundesliga/players/Pavlovi%C4%87-33854;14.04.2026;538.0
Pedersen;https://www.comunio.de/bundesliga/players/Pedersen-33134;14.04.2026;538.0
Pejčinović;https://www.comunio.de/bundesliga/players/Pej%C4%8Dinovi%C4%87-33657;14.04.2026;538.0
Pereira Cardoso;https://www.comunio.de/bundesliga/players/Pereira%20Cardoso-34122;14.04.2026;538.0
Pereira Lage;https://www.comunio.de/bundesliga/players/Pereira%20Lage-34209;14.04.2026;538.0
Pervan;https://www.comunio.de/bundesliga/players/Pervan-32949;14.04.2026;538.0
Petersson;https://www.comunio.de/bundesliga/players/Petersson-33913;14.04.2026;538.0
Philippe;https://www.comunio.de/bundesliga/players/Philippe-34216;14.04.2026;538.0
Pieper;https://www.comunio.de/bundesliga/players/Pieper-33224;14.04.2026;538.0
Pieringer;https://www.comunio.de/bundesliga/players/Pieringer-33600;14.04.2026;538.0
Poku;https://www.comunio.de/bundesliga/players/Poku-34264;14.04.2026;538.0
Posch;https://www.comunio.de/bundesliga/players/Posch-32786;14.04.2026;538.0
Potulski;https://www.comunio.de/bundesliga/players/Potulski-34307;14.04.2026;538.0
Poulsen;https://www.comunio.de/bundesliga/players/Poulsen-32591;14.04.2026;538.0
Prass;https://www.comunio.de/bundesliga/players/Prass-34034;14.04.2026;538.0
Prescott;https://www.comunio.de/bundesliga/players/Prescott-34353;14.04.2026;538.0
Preu;https://www.comunio.de/bundesliga/players/Preu-34011;14.04.2026;538.0
Prömel;https://www.comunio.de/bundesliga/players/Pr%C3%B6mel-32492;14.04.2026;538.0
Puertas;https://www.comunio.de/bundesliga/players/Puertas-34298;14.04.2026;538.0
Pyrka;https://www.comunio.de/bundesliga/players/Pyrka-34189;14.04.2026;538.0
Quansah;https://www.comunio.de/bundesliga/players/Quansah-34217;14.04.2026;538.0
Querfeld;https://www.comunio.de/bundesliga/players/Querfeld-33995;14.04.2026;538.0
Raab;https://www.comunio.de/bundesliga/players/Raab-34144;14.04.2026;538.0
Ramaj;https://www.comunio.de/bundesliga/players/Ramaj-33440;14.04.2026;538.0
Raphaël Guerreiro;https://www.comunio.de/bundesliga/players/Rapha%C3%ABl%20Guerreiro-32632;14.04.2026;538.0
Rasmussen;https://www.comunio.de/bundesliga/players/Rasmussen-34335;14.04.2026;538.0
Raum;https://www.comunio.de/bundesliga/players/Raum-33436;14.04.2026;538.0
Reggiani;https://www.comunio.de/bundesliga/players/Reggiani-34346;14.04.2026;538.0
Reitz;https://www.comunio.de/bundesliga/players/Reitz-33353;14.04.2026;538.0
Remberg;https://www.comunio.de/bundesliga/players/Remberg-33935;14.04.2026;538.0
Rexhbeçaj;https://www.comunio.de/bundesliga/players/Rexhbe%C3%A7aj-32817;14.04.2026;538.0
Reyna;https://www.comunio.de/bundesliga/players/Reyna-33198;14.04.2026;538.0
Ribeiro;https://www.comunio.de/bundesliga/players/Ribeiro-34331;14.04.2026;538.0
Rieder;https://www.comunio.de/bundesliga/players/Rieder-33997;14.04.2026;538.0
Rieß;https://www.comunio.de/bundesliga/players/Rie%C3%9F-33466;14.04.2026;538.0
Ritzka;https://www.comunio.de/bundesliga/players/Ritzka-32815;14.04.2026;538.0
Robatsch;https://www.comunio.de/bundesliga/players/Robatsch-34198;14.04.2026;538.0
Rogério;https://www.comunio.de/bundesliga/players/Rog%C3%A9rio-33834;14.04.2026;538.0
Rômulo;https://www.comunio.de/bundesliga/players/R%C3%B4mulo-34271;14.04.2026;538.0
Rönnow;https://www.comunio.de/bundesliga/players/R%C3%B6nnow-32921;14.04.2026;538.0
Rosenfelder;https://www.comunio.de/bundesliga/players/Rosenfelder-33815;14.04.2026;538.0
Røssing-Lelesiit;https://www.comunio.de/bundesliga/players/R%C3%B8ssing-Lelesiit-34156;14.04.2026;538.0
Rothe;https://www.comunio.de/bundesliga/players/Rothe-33567;14.04.2026;538.0
Rothweiler;https://www.comunio.de/bundesliga/players/Rothweiler-34192;14.04.2026;538.0
Ryerson;https://www.comunio.de/bundesliga/players/Ryerson-33141;14.04.2026;538.0
S. Becker;https://www.comunio.de/bundesliga/players/S.%20Becker-33135;14.04.2026;538.0
S. Conteh;https://www.comunio.de/bundesliga/players/S.%20Conteh-33926;14.04.2026;538.0
S. El Mala;https://www.comunio.de/bundesliga/players/S.%20El%20Mala-34139;14.04.2026;538.0
Sabitzer;https://www.comunio.de/bundesliga/players/Sabitzer-32590;14.04.2026;538.0
Saliakas;https://www.comunio.de/bundesliga/players/Saliakas-33948;14.04.2026;538.0
Sambi Lokonga;https://www.comunio.de/bundesliga/players/Sambi%20Lokonga-34290;14.04.2026;538.0
Sander;https://www.comunio.de/bundesliga/players/Sander-33978;14.04.2026;538.0
Sands;https://www.comunio.de/bundesliga/players/Sands-34076;14.04.2026;538.0
Sani;https://www.comunio.de/bundesliga/players/Sani-34330;14.04.2026;538.0
Sano;https://www.comunio.de/bundesliga/players/Sano-34009;14.04.2026;538.0
Santos Daiber;https://www.comunio.de/bundesliga/players/Santos%20Daiber-34207;14.04.2026;538.0
Sapoko Ndiaye;https://www.comunio.de/bundesliga/players/Sapoko%20Ndiaye-34321;14.04.2026;538.0
Sarco;https://www.comunio.de/bundesliga/players/Sarco-34079;14.04.2026;538.0
Scally;https://www.comunio.de/bundesliga/players/Scally-33258;14.04.2026;538.0
Schäfer;https://www.comunio.de/bundesliga/players/Sch%C3%A4fer-33550;14.04.2026;538.0
Schenten;https://www.comunio.de/bundesliga/players/Schenten-34325;14.04.2026;538.0
Scherhant;https://www.comunio.de/bundesliga/players/Scherhant-33629;14.04.2026;538.0
Schick;https://www.comunio.de/bundesliga/players/Schick-33179;14.04.2026;538.0
Schimmer;https://www.comunio.de/bundesliga/players/Schimmer-33286;14.04.2026;538.0
Schlager;https://www.comunio.de/bundesliga/players/Schlager-33133;14.04.2026;538.0
Schlich;https://www.comunio.de/bundesliga/players/Schlich-34333;14.04.2026;538.0
Schmetgens;https://www.comunio.de/bundesliga/players/Schmetgens-34245;14.04.2026;538.0
Schmid;https://www.comunio.de/bundesliga/players/Schmid-33110;14.04.2026;538.0
Schmied;https://www.comunio.de/bundesliga/players/Schmied-34135;14.04.2026;538.0
Schmitz;https://www.comunio.de/bundesliga/players/Schmitz-34088;14.04.2026;538.0
Schnitzer;https://www.comunio.de/bundesliga/players/Schnitzer-34351;14.04.2026;538.0
Schöppner;https://www.comunio.de/bundesliga/players/Sch%C3%B6ppner-32731;14.04.2026;538.0
Schwäbe;https://www.comunio.de/bundesliga/players/Schw%C3%A4be-32356;14.04.2026;538.0
Sebulonsen;https://www.comunio.de/bundesliga/players/Sebulonsen-34241;14.04.2026;538.0
Seelt;https://www.comunio.de/bundesliga/players/Seelt-34293;14.04.2026;538.0
Seiwald;https://www.comunio.de/bundesliga/players/Seiwald-33769;14.04.2026;538.0
Shiogai;https://www.comunio.de/bundesliga/players/Shiogai-34332;14.04.2026;538.0
Sieb;https://www.comunio.de/bundesliga/players/Sieb-34006;14.04.2026;538.0
Siersleben;https://www.comunio.de/bundesliga/players/Siersleben-33345;14.04.2026;538.0
Silas;https://www.comunio.de/bundesliga/players/Silas-33247;14.04.2026;538.0
Siljević;https://www.comunio.de/bundesliga/players/Siljevi%C4%87-34073;14.04.2026;538.0
Simpson-Pusey;https://www.comunio.de/bundesliga/players/Simpson-Pusey-34323;14.04.2026;538.0
Sinani;https://www.comunio.de/bundesliga/players/Sinani-33959;14.04.2026;538.0
Sippel;https://www.comunio.de/bundesliga/players/Sippel-31618;14.04.2026;538.0
Skarke;https://www.comunio.de/bundesliga/players/Skarke-33616;14.04.2026;538.0
Skhiri;https://www.comunio.de/bundesliga/players/Skhiri-33157;14.04.2026;538.0
Skov;https://www.comunio.de/bundesliga/players/Skov-33158;14.04.2026;538.0
Smarkalev;https://www.comunio.de/bundesliga/players/Smarkalev-34251;14.04.2026;538.0
Smith;https://www.comunio.de/bundesliga/players/Smith-33944;14.04.2026;538.0
Sorg;https://www.comunio.de/bundesliga/players/Sorg-34247;14.04.2026;538.0
Spari;https://www.comunio.de/bundesliga/players/Spari-34208;14.04.2026;538.0
Stage;https://www.comunio.de/bundesliga/players/Stage-33640;14.04.2026;538.0
Stange;https://www.comunio.de/bundesliga/players/Stange-34249;14.04.2026;538.0
Stanišić;https://www.comunio.de/bundesliga/players/Stani%C5%A1i%C4%87-33386;14.04.2026;538.0
Stark;https://www.comunio.de/bundesliga/players/Stark-32120;14.04.2026;538.0
Stenzel;https://www.comunio.de/bundesliga/players/Stenzel-32526;14.04.2026;538.0
Stergiou;https://www.comunio.de/bundesliga/players/Stergiou-33850;14.04.2026;538.0
Stevens;https://www.comunio.de/bundesliga/players/Stevens-34030;14.04.2026;538.0
Stiller;https://www.comunio.de/bundesliga/players/Stiller-33437;14.04.2026;538.0
Stöger;https://www.comunio.de/bundesliga/players/St%C3%B6ger-31985;14.04.2026;538.0
Sugawara;https://www.comunio.de/bundesliga/players/Sugawara-34276;14.04.2026;538.0
Süle;https://www.comunio.de/bundesliga/players/S%C3%BCle-32122;14.04.2026;538.0
Suzuki;https://www.comunio.de/bundesliga/players/Suzuki-34184;14.04.2026;538.0
Svanberg;https://www.comunio.de/bundesliga/players/Svanberg-33658;14.04.2026;538.0
Svensson;https://www.comunio.de/bundesliga/players/Svensson-34114;14.04.2026;538.0
Swider;https://www.comunio.de/bundesliga/players/Swider-34072;14.04.2026;538.0
Tabaković;https://www.comunio.de/bundesliga/players/Tabakovi%C4%87-34047;14.04.2026;538.0
Tah;https://www.comunio.de/bundesliga/players/Tah-32157;14.04.2026;538.0
Takai;https://www.comunio.de/bundesliga/players/Takai-34319;14.04.2026;538.0
Tangvik;https://www.comunio.de/bundesliga/players/Tangvik-34334;14.04.2026;538.0
Tape;https://www.comunio.de/bundesliga/players/Tape-34201;14.04.2026;538.0
Tapsoba;https://www.comunio.de/bundesliga/players/Tapsoba-33207;14.04.2026;538.0
Tella;https://www.comunio.de/bundesliga/players/Tella-33853;14.04.2026;538.0
Terrier;https://www.comunio.de/bundesliga/players/Terrier-34024;14.04.2026;538.0
Theate;https://www.comunio.de/bundesliga/players/Theate-34043;14.04.2026;538.0
Thielmann;https://www.comunio.de/bundesliga/players/Thielmann-33185;14.04.2026;538.0
Thomas;https://www.comunio.de/bundesliga/players/Thomas-34339;14.04.2026;538.0
Tiago Tomás;https://www.comunio.de/bundesliga/players/Tiago%20Tom%C3%A1s-33557;14.04.2026;538.0
Tietz;https://www.comunio.de/bundesliga/players/Tietz-33070;14.04.2026;538.0
Tillman;https://www.comunio.de/bundesliga/players/Tillman-33530;14.04.2026;538.0
Topp;https://www.comunio.de/bundesliga/players/Topp-33741;14.04.2026;538.0
Torunarigha;https://www.comunio.de/bundesliga/players/Torunarigha-32710;14.04.2026;538.0
Treu;https://www.comunio.de/bundesliga/players/Treu-33947;14.04.2026;538.0
Trimmel;https://www.comunio.de/bundesliga/players/Trimmel-33096;14.04.2026;538.0
Trippel;https://www.comunio.de/bundesliga/players/Trippel-34349;14.04.2026;538.0
Tschernuth;https://www.comunio.de/bundesliga/players/Tschernuth-33786;14.04.2026;538.0
Ullrich;https://www.comunio.de/bundesliga/players/Ullrich-33778;14.04.2026;538.0
Ulreich;https://www.comunio.de/bundesliga/players/Ulreich-31216;14.04.2026;538.0
Undav;https://www.comunio.de/bundesliga/players/Undav-33832;14.04.2026;538.0
Upamecano;https://www.comunio.de/bundesliga/players/Upamecano-32720;14.04.2026;538.0
Urbich;https://www.comunio.de/bundesliga/players/Urbich-34303;14.04.2026;538.0
Urbig;https://www.comunio.de/bundesliga/players/Urbig-33494;14.04.2026;538.0
Uzun;https://www.comunio.de/bundesliga/players/Uzun-34008;14.04.2026;538.0
Vagnoman;https://www.comunio.de/bundesliga/players/Vagnoman-32880;14.04.2026;538.0
van den Berg;https://www.comunio.de/bundesliga/players/van%20den%20Berg-34267;14.04.2026;538.0
Vandevoordt;https://www.comunio.de/bundesliga/players/Vandevoordt-33919;14.04.2026;538.0
Vasilj;https://www.comunio.de/bundesliga/players/Vasilj-33943;14.04.2026;538.0
Vavro;https://www.comunio.de/bundesliga/players/Vavro-34056;14.04.2026;538.0
Veratschnig;https://www.comunio.de/bundesliga/players/Veratschnig-33999;14.04.2026;538.0
Vini Souza;https://www.comunio.de/bundesliga/players/Vini%20Souza-34226;14.04.2026;538.0
Voll;https://www.comunio.de/bundesliga/players/Voll-33984;14.04.2026;538.0
W. Orbán;https://www.comunio.de/bundesliga/players/W.%20Orb%C3%A1n-31846;14.04.2026;538.0
Wagner;https://www.comunio.de/bundesliga/players/Wagner-34255;14.04.2026;538.0
Wahl;https://www.comunio.de/bundesliga/players/Wahl-32633;14.04.2026;538.0
Waldschmidt;https://www.comunio.de/bundesliga/players/Waldschmidt-32206;14.04.2026;538.0
Weigel;https://www.comunio.de/bundesliga/players/Weigel-34302;14.04.2026;538.0
Weiper;https://www.comunio.de/bundesliga/players/Weiper-33578;14.04.2026;538.0
Weiser;https://www.comunio.de/bundesliga/players/Weiser-31929;14.04.2026;538.0
Widmer;https://www.comunio.de/bundesliga/players/Widmer-33478;14.04.2026;538.0
Wimmer;https://www.comunio.de/bundesliga/players/Wimmer-33507;14.04.2026;538.0
Wind;https://www.comunio.de/bundesliga/players/Wind-33559;14.04.2026;538.0
Wöber;https://www.comunio.de/bundesliga/players/W%C3%B6ber-33831;14.04.2026;538.0
Y. Engelhardt;https://www.comunio.de/bundesliga/players/Y.%20Engelhardt-33603;14.04.2026;538.0
Zagadou;https://www.comunio.de/bundesliga/players/Zagadou-32773;14.04.2026;538.0
Zehnter;https://www.comunio.de/bundesliga/players/Zehnter-33587;14.04.2026;538.0
Zeitler;https://www.comunio.de/bundesliga/players/Zeitler-34232;14.04.2026;538.0
Zentner;https://www.comunio.de/bundesliga/players/Zentner-32364;14.04.2026;538.0
Zesiger;https://www.comunio.de/bundesliga/players/Zesiger-33774;14.04.2026;538.0
Zetterer;https://www.comunio.de/bundesliga/players/Zetterer-32408;14.04.2026;538.0
Zieler;https://www.comunio.de/bundesliga/players/Zieler-31634;14.04.2026;538.0
Zieliński;https://www.comunio.de/bundesliga/players/Zieli%C5%84ski-34210;14.04.2026;538.0
Zingerle;https://www.comunio.de/bundesliga/players/Zingerle-32267;14.04.2026;538.0
Zivzivadze;https://www.comunio.de/bundesliga/players/Zivzivadze-34080;14.04.2026;538.0
