Spieler;Link;Datum;Spielerpool
Arévalo;https://www.comunio.de/bundesliga/players/Ar%C3%A9valo%20-34320;14.04.2026;538.0
Arnold;https://www.comunio.de/bundesliga/players/Arnold-31884;14.04.2026;538.0
Arrhov;https://www.comunio.de/bundesliga/players/Arrhov-34314;14.04.2026;538.0
Arthur;https://www.comunio.de/bundesliga/players/Arthur-33772;14.04.2026;538.0
Asllani;https://www.comunio.de/bundesliga/players/Asllani-33536;14.04.2026;538.0
Assignon;https://www.comunio.de/bundesliga/players/Assignon-34197;14.04.2026;538.0
Atubolu;https://www.comunio.de/bundesliga/players/Atubolu-33439;14.04.2026;538.0
Avdullahu;https://www.comunio.de/bundesliga/players/Avdullahu-34202;14.04.2026;538.0
B. Dárdai;https://www.comunio.de/bundesliga/players/B.%20D%C3%A1rdai-33922;14.04.2026;538.0
B. Touré;https://www.comunio.de/bundesliga/players/B.%20Tour%C3%A9-34109;14.04.2026;538.0
Backhaus;https://www.comunio.de/bundesliga/players/Backhaus-33647;14.04.2026;538.0
Badé;https://www.comunio.de/bundesliga/players/Bad%C3%A9-34272;14.04.2026;538.0
Bahoya;https://www.comunio.de/bundesliga/players/Bahoya-33890;14.04.2026;538.0
Bakayoko;https://www.comunio.de/bundesliga/players/Bakayoko-34240;14.04.2026;538.0
Baku;https://www.comunio.de/bundesliga/players/Baku-32889;14.04.2026;538.0
Baldé;https://www.comunio.de/bundesliga/players/Bald%C3%A9-34194;14.04.2026;538.0
Banzuzi;https://www.comunio.de/bundesliga/players/Banzuzi-34185;14.04.2026;538.0
Bärtl;https://www.comunio.de/bundesliga/players/B%C3%A4rtl-34284;14.04.2026;538.0
Batshuayi;https://www.comunio.de/bundesliga/players/Batshuayi-32874;14.04.2026;538.0
Batz;https://www.comunio.de/bundesliga/players/Batz-31693;14.04.2026;538.0
Baum;https://www.comunio.de/bundesliga/players/Baum-33869;14.04.2026;538.0
Baumann;https://www.comunio.de/bundesliga/players/Baumann-31489;14.04.2026;538.0
Baumgartner;https://www.comunio.de/bundesliga/players/Baumgartner-32977;14.04.2026;538.0
Bebou;https://www.comunio.de/bundesliga/players/Bebou-32842;14.04.2026;538.0
Beck;https://www.comunio.de/bundesliga/players/Beck-33787;14.04.2026;538.0
Beier;https://www.comunio.de/bundesliga/players/Beier-33208;14.04.2026;538.0
Bell;https://www.comunio.de/bundesliga/players/Bell-31666;14.04.2026;538.0
Bellingham;https://www.comunio.de/bundesliga/players/Bellingham-34200;14.04.2026;538.0
Belocian;https://www.comunio.de/bundesliga/players/Belocian-33988;14.04.2026;538.0
