Manager;Teamwert;Gesamtpunkte;letzte Punkte;Datum
Christian;38110000;58;26;11.09.2025
Pascal;43740000;45;27;11.09.2025
Thomas;79150000;96;48;12.09.2025
Christoph;60310000;92;58;12.09.2025
Andreas;51950000;91;33;12.09.2025
Dominik;63440000;90;43;12.09.2025
Nico;50110000;76;28;12.09.2025
Alfons;61440000;70;43;12.09.2025
Christian;37130000;58;26;12.09.2025
Pascal;41930000;45;27;12.09.2025
Thomas;81770000;96;48;13.09.2025
Christoph;60510000;92;58;13.09.2025
Andreas;51510000;91;33;13.09.2025
Dominik;64160000;90;43;13.09.2025
Nico;50500000;76;28;13.09.2025
Alfons;69710000;70;43;13.09.2025
Christian;38000000;58;26;13.09.2025
Pascal;42740000;45;27;13.09.2025
Thomas;83550000;168;72;14.09.2025
Dominik;67010000;129;39;14.09.2025
Christoph;59570000;122;30;14.09.2025
Andreas;48880000;116;25;14.09.2025
Alfons;75540000;112;42;14.09.2025
Nico;50330000;101;25;14.09.2025
Christian;37990000;75;17;14.09.2025
Pascal;43300000;71;26;14.09.2025
Thomas;85770000;168;72;15.09.2025
Dominik;61570000;129;39;15.09.2025
Christoph;59570000;122;30;15.09.2025
Andreas;53470000;116;25;15.09.2025
Alfons;70710000;112;42;15.09.2025
Nico;47780000;101;25;15.09.2025
Christian;37160000;75;17;15.09.2025
Pascal;43480000;71;26;15.09.2025
Thomas;87630000;168;72;16.09.2025
Dominik;62500000;129;39;16.09.2025
Christoph;59200000;122;30;16.09.2025
Andreas;52820000;116;25;16.09.2025
Alfons;54160000;112;42;16.09.2025
Nico;50260000;101;25;16.09.2025
Christian;37230000;75;17;16.09.2025
Pascal;43850000;71;26;16.09.2025
Thomas;90640000;168;72;17.09.2025
Dominik;69290000;129;39;17.09.2025
Christoph;60520000;122;30;17.09.2025
Andreas;54090000;116;25;17.09.2025
Alfons;65330000;112;42;17.09.2025
Nico;54820000;101;25;17.09.2025
Christian;38020000;75;17;17.09.2025
Pascal;44100000;71;26;17.09.2025
Thomas;91920000;168;72;18.09.2025
Dominik;69070000;129;39;18.09.2025
Christoph;57950000;122;30;18.09.2025
Andreas;53890000;116;25;18.09.2025
Alfons;65570000;112;42;18.09.2025
Nico;54320000;101;25;18.09.2025
Christian;39380000;75;17;18.09.2025
Pascal;43970000;71;26;18.09.2025
Thomas;90190000;168;72;19.09.2025
Dominik;69660000;129;39;19.09.2025
Christoph;58540000;122;30;19.09.2025
Andreas;54520000;116;25;19.09.2025
Alfons;59440000;112;42;19.09.2025
Nico;49640000;101;25;19.09.2025
Christian;40080000;75;17;19.09.2025
Pascal;43770000;71;26;19.09.2025
Thomas;91660000;168;72;20.09.2025
Dominik;70230000;129;39;20.09.2025
Christoph;57430000;122;30;20.09.2025
Andreas;55280000;116;25;20.09.2025
Alfons;62500000;112;42;20.09.2025
Nico;48050000;101;25;20.09.2025
Christian;40400000;75;17;20.09.2025
Pascal;43600000;71;26;20.09.2025
Thomas;93660000;168;72;21.09.2025
Dominik;69760000;129;39;21.09.2025
Christoph;57870000;122;30;21.09.2025
Andreas;55730000;116;25;21.09.2025
Alfons;61870000;112;42;21.09.2025
Nico;49870000;101;25;21.09.2025
Christian;39990000;75;17;21.09.2025
Pascal;43610000;71;26;21.09.2025
Thomas;87350000;216;48;22.09.2025
Dominik;74560000;177;48;22.09.2025
Christoph;58730000;177;55;22.09.2025
Andreas;59520000;161;45;22.09.2025
Alfons;60550000;149;37;22.09.2025
Nico;52130000;124;23;22.09.2025
Christian;39570000;109;34;22.09.2025
Pascal;38680000;100;29;22.09.2025
Thomas;76080000;216;48;23.09.2025
Dominik;73460000;177;48;23.09.2025
Christoph;62420000;177;55;23.09.2025
Andreas;57930000;161;45;23.09.2025
Alfons;63760000;149;37;23.09.2025
Nico;47470000;124;23;23.09.2025
Christian;41090000;109;34;23.09.2025
Pascal;45080000;100;29;23.09.2025
Thomas;83270000;216;48;24.09.2025
Dominik;76430000;177;48;24.09.2025
Christoph;62960000;177;55;24.09.2025
Andreas;59220000;161;45;24.09.2025
Alfons;67240000;149;37;24.09.2025
Nico;47210000;124;23;24.09.2025
Christian;41160000;109;34;24.09.2025
Pascal;45510000;100;29;24.09.2025
Thomas;93590000;216;48;25.09.2025
Dominik;66570000;177;48;25.09.2025
Christoph;65240000;177;55;25.09.2025
Andreas;60070000;161;45;25.09.2025
Alfons;72850000;149;37;25.09.2025
Nico;49860000;124;23;25.09.2025
Christian;38770000;109;34;25.09.2025
Pascal;45970000;100;29;25.09.2025
Thomas;90530000;216;48;26.09.2025
Dominik;65510000;177;48;26.09.2025
Christoph;63680000;177;55;26.09.2025
Andreas;58630000;161;45;26.09.2025
Alfons;69100000;149;37;26.09.2025
Nico;50100000;124;23;26.09.2025
Christian;37620000;109;34;26.09.2025
Pascal;46420000;100;29;26.09.2025
Thomas;95130000;216;48;27.09.2025
Christoph;64340000;177;55;27.09.2025
Dominik;54660000;177;48;27.09.2025
Andreas;59540000;161;45;27.09.2025
Alfons;74130000;149;37;27.09.2025
Nico;52940000;124;23;27.09.2025
Christian;38040000;109;34;27.09.2025
Pascal;46690000;100;29;27.09.2025
Thomas;87220000;216;48;28.09.2025
Christoph;54000000;177;55;28.09.2025
Dominik;47160000;177;48;28.09.2025
Andreas;59710000;161;45;28.09.2025
Alfons;80330000;149;37;28.09.2025
Nico;58000000;124;23;28.09.2025
Christian;39990000;109;34;28.09.2025
Pascal;46920000;100;29;28.09.2025
Thomas;102020000;282;66;29.09.2025
Dominik;52240000;212;35;29.09.2025
Christoph;54100000;210;33;29.09.2025
Andreas;59530000;200;39;29.09.2025
Alfons;76740000;194;45;29.09.2025
Christian;41090000;177;68;29.09.2025
Nico;60930000;147;23;29.09.2025
Pascal;47850000;133;33;29.09.2025
Thomas;103300000;282;66;30.09.2025
Dominik;53430000;212;35;30.09.2025
Christoph;64310000;210;33;30.09.2025
Andreas;60490000;200;39;30.09.2025
Alfons;78300000;194;45;30.09.2025
Christian;40930000;177;68;30.09.2025
Nico;54780000;147;23;30.09.2025
Pascal;48320000;133;33;30.09.2025
Thomas;110370000;282;66;01.10.2025
Dominik;58090000;212;35;01.10.2025
Christoph;64380000;210;33;01.10.2025
Andreas;61170000;200;39;01.10.2025
Alfons;82040000;194;45;01.10.2025
Christian;40200000;177;68;01.10.2025
Nico;55150000;147;23;01.10.2025
Pascal;47990000;133;33;01.10.2025
Thomas;106940000;282;66;02.10.2025
Dominik;58350000;212;35;02.10.2025
Christoph;64200000;210;33;02.10.2025
Andreas;59450000;200;39;02.10.2025
Alfons;90910000;194;45;02.10.2025
Christian;40580000;177;68;02.10.2025
Nico;54590000;147;23;02.10.2025
Pascal;46890000;133;33;02.10.2025
Thomas;96900000;282;66;03.10.2025
Dominik;58870000;212;35;03.10.2025
Christoph;63430000;210;33;03.10.2025
Andreas;59770000;200;39;03.10.2025
Alfons;76860000;194;45;03.10.2025
Christian;44550000;177;68;03.10.2025
Nico;49810000;147;23;03.10.2025
Pascal;47460000;133;33;03.10.2025
Thomas;99810000;282;66;04.10.2025
Dominik;55770000;212;35;04.10.2025
Christoph;63550000;210;33;04.10.2025
Andreas;60730000;200;39;04.10.2025
Alfons;86810000;194;45;04.10.2025
Christian;45280000;177;68;04.10.2025
Nico;51870000;147;23;04.10.2025
Pascal;47450000;133;33;04.10.2025
Thomas;98200000;282;66;05.10.2025
Dominik;60430000;212;35;05.10.2025
Christoph;64770000;210;33;05.10.2025
Andreas;60830000;200;39;05.10.2025
Alfons;90640000;194;45;05.10.2025
Christian;44090000;177;68;05.10.2025
Nico;49770000;147;23;05.10.2025
Pascal;47380000;133;33;05.10.2025
Thomas;86750000;330;48;06.10.2025
Alfons;88140000;256;62;06.10.2025
Christoph;66620000;256;46;06.10.2025
Dominik;62040000;253;41;06.10.2025
Andreas;61680000;249;49;06.10.2025
Christian;45240000;205;28;06.10.2025
Nico;46730000;170;23;06.10.2025
Pascal;47310000;159;26;06.10.2025
Thomas;86580000;330;48;07.10.2025
Alfons;78100000;256;62;07.10.2025
Christoph;68190000;256;46;07.10.2025
Dominik;83220000;253;41;07.10.2025
Andreas;57700000;249;49;07.10.2025
Christian;44780000;205;28;07.10.2025
Nico;46910000;170;23;07.10.2025
Pascal;47410000;159;26;07.10.2025
Thomas;87550000;330;48;08.10.2025
Alfons;81400000;256;62;08.10.2025
Christoph;65250000;256;46;08.10.2025
Dominik;83870000;253;41;08.10.2025
Andreas;58080000;249;49;08.10.2025
Christian;45450000;205;28;08.10.2025
Nico;46500000;170;23;08.10.2025
Pascal;47740000;159;26;08.10.2025
Thomas;87530000;330;48;09.10.2025
Alfons;71290000;256;62;09.10.2025
Christoph;64350000;256;46;09.10.2025
Dominik;73960000;253;41;09.10.2025
Andreas;71510000;249;49;09.10.2025
Christian;44560000;205;28;09.10.2025
Nico;45400000;170;23;09.10.2025
Pascal;46960000;159;26;09.10.2025
Thomas;96760000;330;48;10.10.2025
Alfons;89420000;256;62;10.10.2025
Christoph;64870000;256;46;10.10.2025
Dominik;58550000;253;41;10.10.2025
Andreas;71260000;249;49;10.10.2025
Christian;44110000;205;28;10.10.2025
Nico;46620000;170;23;10.10.2025
Pascal;47440000;159;26;10.10.2025
Thomas;114390000;330;48;11.10.2025
Alfons;89950000;256;62;11.10.2025
Christoph;64550000;256;46;11.10.2025
Dominik;65810000;253;41;11.10.2025
Andreas;70040000;249;49;11.10.2025
Christian;42610000;205;28;11.10.2025
Nico;46310000;170;23;11.10.2025
Pascal;45190000;159;26;11.10.2025
Thomas;110970000;330;48;12.10.2025
Alfons;87940000;256;62;12.10.2025
Christoph;66100000;256;46;12.10.2025
Dominik;66730000;253;41;12.10.2025
Andreas;71980000;249;49;12.10.2025
Christian;41650000;205;28;12.10.2025
Nico;48290000;170;23;12.10.2025
Pascal;44370000;159;26;12.10.2025
Thomas;111470000;330;48;13.10.2025
Alfons;86660000;256;62;13.10.2025
Christoph;66270000;256;46;13.10.2025
Dominik;66720000;253;41;13.10.2025
Andreas;71030000;249;49;13.10.2025
Christian;41010000;205;28;13.10.2025
Nico;46860000;170;23;13.10.2025
Pascal;44120000;159;26;13.10.2025
Thomas;118830000;330;48;14.10.2025
Alfons;86810000;256;62;14.10.2025
Christoph;66680000;256;46;14.10.2025
Dominik;68380000;253;41;14.10.2025
Andreas;71290000;249;49;14.10.2025
Christian;40370000;205;28;14.10.2025
Nico;48460000;170;23;14.10.2025
Pascal;43700000;159;26;14.10.2025
Thomas;97300000;330;48;15.10.2025
Alfons;98010000;256;62;15.10.2025
Christoph;67840000;256;46;15.10.2025
Dominik;69530000;253;41;15.10.2025
Andreas;71650000;249;49;15.10.2025
Christian;39690000;205;28;15.10.2025
Nico;48620000;170;23;15.10.2025
Pascal;44050000;159;26;15.10.2025
Thomas;94010000;330;48;16.10.2025
Alfons;97880000;256;62;16.10.2025
Christoph;65810000;256;46;16.10.2025
Dominik;66650000;253;41;16.10.2025
Andreas;76670000;249;49;16.10.2025
Christian;42470000;205;28;16.10.2025
Nico;47520000;170;23;16.10.2025
Pascal;42670000;159;26;16.10.2025
Thomas;95360000;330;48;17.10.2025
Alfons;77270000;256;62;17.10.2025
Christoph;65030000;256;46;17.10.2025
Dominik;73410000;253;41;17.10.2025
Andreas;66430000;249;49;17.10.2025
Christian;42660000;205;28;17.10.2025
Nico;44820000;170;23;17.10.2025
Pascal;41370000;159;26;17.10.2025
Thomas;93720000;330;48;18.10.2025
Christoph;65510000;256;46;18.10.2025
Alfons;62170000;256;62;18.10.2025
Dominik;69900000;253;41;18.10.2025
Andreas;66540000;249;49;18.10.2025
Christian;43600000;205;28;18.10.2025
Nico;44990000;170;23;18.10.2025
Pascal;41450000;159;26;18.10.2025
Thomas;92770000;330;48;19.10.2025
Christoph;67330000;256;46;19.10.2025
Alfons;66140000;256;62;19.10.2025
Dominik;61840000;253;41;19.10.2025
Andreas;66050000;249;49;19.10.2025
Christian;42080000;205;28;19.10.2025
Nico;44730000;170;23;19.10.2025
Pascal;40270000;159;26;19.10.2025
Thomas;95190000;370;40;20.10.2025
Christoph;67500000;322;66;20.10.2025
Dominik;63220000;303;50;20.10.2025
Andreas;66900000;299;50;20.10.2025
Alfons;78170000;298;42;20.10.2025
Christian;42220000;237;32;20.10.2025
Nico;45500000;226;56;20.10.2025
Pascal;39870000;196;37;20.10.2025
Thomas;92570000;370;40;21.10.2025
Christoph;68080000;322;66;21.10.2025
Dominik;67280000;303;50;21.10.2025
Andreas;66900000;299;50;21.10.2025
Alfons;77950000;298;42;21.10.2025
Christian;41110000;237;32;21.10.2025
Nico;46060000;226;56;21.10.2025
Pascal;40510000;196;37;21.10.2025
Thomas;102600000;370;40;22.10.2025
Christoph;70790000;322;66;22.10.2025
Dominik;68140000;303;50;22.10.2025
Andreas;67770000;299;50;22.10.2025
Alfons;76870000;298;42;22.10.2025
Christian;39650000;237;32;22.10.2025
Nico;47330000;226;56;22.10.2025
Pascal;41760000;196;37;22.10.2025
Thomas;104260000;370;40;23.10.2025
Christoph;71070000;322;66;23.10.2025
Dominik;76560000;303;50;23.10.2025
Andreas;67660000;299;50;23.10.2025
Alfons;70370000;298;42;23.10.2025
Christian;40380000;237;32;23.10.2025
Nico;45990000;226;56;23.10.2025
Pascal;41890000;196;37;23.10.2025
Thomas;88440000;370;40;24.10.2025
Christoph;70350000;322;66;24.10.2025
Dominik;78840000;303;50;24.10.2025
Andreas;65960000;299;50;24.10.2025
Alfons;66890000;298;42;24.10.2025
Christian;39310000;237;32;24.10.2025
Nico;45230000;226;56;24.10.2025
Pascal;40950000;196;37;24.10.2025
Thomas;90630000;370;40;25.10.2025
Christoph;69110000;322;66;25.10.2025
Dominik;80970000;303;50;25.10.2025
Andreas;66950000;299;50;25.10.2025
Alfons;67330000;298;42;25.10.2025
Christian;40090000;237;32;25.10.2025
Nico;47130000;226;56;25.10.2025
Pascal;42760000;196;37;25.10.2025
Thomas;78960000;370;40;26.10.2025
Christoph;70760000;322;66;26.10.2025
Dominik;81580000;303;50;26.10.2025
Andreas;66810000;299;50;26.10.2025
Alfons;64710000;298;42;26.10.2025
Christian;39910000;237;32;26.10.2025
Nico;46360000;226;56;26.10.2025
Pascal;43080000;196;37;26.10.2025
Thomas;90400000;412;42;27.10.2025
Christoph;74240000;392;70;27.10.2025
Dominik;93490000;354;51;27.10.2025
Andreas;66090000;347;48;27.10.2025
Alfons;65850000;340;42;27.10.2025
Christian;40750000;286;49;27.10.2025
Nico;47420000;271;45;27.10.2025
Pascal;43660000;225;29;27.10.2025
Thomas;89420000;412;42;28.10.2025
Christoph;73470000;392;70;28.10.2025
Dominik;93710000;354;51;28.10.2025
Andreas;66560000;347;48;28.10.2025
Alfons;78960000;340;42;28.10.2025
Christian;41220000;286;49;28.10.2025
Nico;47950000;271;45;28.10.2025
Pascal;44420000;225;29;28.10.2025
Thomas;92080000;412;42;29.10.2025
Christoph;73870000;392;70;29.10.2025
Dominik;95400000;354;51;29.10.2025
Andreas;66150000;347;48;29.10.2025
Alfons;83370000;340;42;29.10.2025
Christian;42100000;286;49;29.10.2025
Nico;47240000;271;45;29.10.2025
Pascal;44820000;225;29;29.10.2025
Thomas;91000000;412;42;30.10.2025
Christoph;73780000;392;70;30.10.2025
Dominik;82930000;354;51;30.10.2025
Andreas;64140000;347;48;30.10.2025
Alfons;74380000;340;42;30.10.2025
Christian;42810000;286;49;30.10.2025
Nico;45340000;271;45;30.10.2025
Pascal;44750000;225;29;30.10.2025
Thomas;88710000;412;42;31.10.2025
Christoph;71690000;392;70;31.10.2025
Dominik;79730000;354;51;31.10.2025
Andreas;63500000;347;48;31.10.2025
Alfons;70070000;340;42;31.10.2025
Christian;42830000;286;49;31.10.2025
Nico;46960000;271;45;31.10.2025
Pascal;44250000;225;29;31.10.2025
Thomas;90690000;412;42;01.11.2025
Christoph;70850000;392;70;01.11.2025
Dominik;76210000;354;51;01.11.2025
Andreas;64400000;347;48;01.11.2025
Alfons;66760000;340;42;01.11.2025
Christian;45680000;286;49;01.11.2025
Nico;51150000;271;45;01.11.2025
Pascal;44180000;225;29;01.11.2025
Thomas;89920000;412;42;02.11.2025
Christoph;69950000;392;70;02.11.2025
Dominik;77050000;354;51;02.11.2025
Andreas;64710000;347;48;02.11.2025
Alfons;65780000;340;42;02.11.2025
Christian;45660000;286;49;02.11.2025
Nico;48390000;271;45;02.11.2025
Pascal;46020000;225;29;02.11.2025
Thomas;88330000;458;46;03.11.2025
Christoph;71090000;435;43;03.11.2025
Andreas;67060000;416;69;03.11.2025
Dominik;80060000;389;35;03.11.2025
Alfons;67090000;382;42;03.11.2025
Christian;46480000;317;31;03.11.2025
Nico;48390000;295;24;03.11.2025
Pascal;46910000;274;49;03.11.2025
Thomas;87450000;458;46;04.11.2025
Christoph;69970000;435;43;04.11.2025
Andreas;67520000;416;69;04.11.2025
Dominik;77790000;389;35;04.11.2025
Alfons;79100000;382;42;04.11.2025
Christian;46600000;317;31;04.11.2025
Nico;47960000;295;24;04.11.2025
Pascal;46880000;274;49;04.11.2025
Thomas;86300000;458;46;05.11.2025
Christoph;70220000;435;43;05.11.2025
Andreas;69140000;416;69;05.11.2025
Dominik;77800000;389;35;05.11.2025
Alfons;76460000;382;42;05.11.2025
Christian;45460000;317;31;05.11.2025
Nico;47870000;295;24;05.11.2025
Pascal;47460000;274;49;05.11.2025
Thomas;99720000;458;46;06.11.2025
Christoph;75720000;435;43;06.11.2025
Andreas;69180000;416;69;06.11.2025
Dominik;77510000;389;35;06.11.2025
Alfons;76140000;382;42;06.11.2025
Christian;43820000;317;31;06.11.2025
Nico;49630000;295;24;06.11.2025
Pascal;51830000;274;49;06.11.2025
Thomas;93670000;458;46;07.11.2025
Christoph;74530000;435;43;07.11.2025
Andreas;68560000;416;69;07.11.2025
Dominik;77310000;389;35;07.11.2025
Alfons;69340000;382;42;07.11.2025
Christian;43630000;317;31;07.11.2025
Nico;47970000;295;24;07.11.2025
Pascal;50780000;274;49;07.11.2025
Thomas;94360000;458;46;08.11.2025
Christoph;81260000;435;43;08.11.2025
Andreas;69720000;416;69;08.11.2025
Dominik;69300000;389;35;08.11.2025
Alfons;72460000;382;42;08.11.2025
Christian;44100000;317;31;08.11.2025
Nico;47110000;295;24;08.11.2025
Pascal;51580000;274;49;08.11.2025
Thomas;98050000;458;46;09.11.2025
Christoph;74110000;435;43;09.11.2025
Andreas;73510000;416;69;09.11.2025
Dominik;72100000;389;35;09.11.2025
Alfons;73010000;382;42;09.11.2025
Christian;42780000;317;31;09.11.2025
Nico;46230000;295;24;09.11.2025
Pascal;50400000;274;49;09.11.2025
Thomas;113690000;522;64;10.11.2025
Christoph;72800000;461;26;10.11.2025
Dominik;73600000;449;60;10.11.2025
Andreas;74450000;446;30;10.11.2025
Alfons;72810000;418;36;10.11.2025
Christian;42270000;344;27;10.11.2025
Nico;46440000;338;43;10.11.2025
Pascal;51100000;308;34;10.11.2025
Thomas;120040000;522;64;11.11.2025
Christoph;72450000;461;26;11.11.2025
Dominik;73170000;449;60;11.11.2025
Andreas;77420000;446;30;11.11.2025
Alfons;67370000;418;36;11.11.2025
Christian;41290000;344;27;11.11.2025
Nico;43150000;338;43;11.11.2025
Pascal;50550000;308;34;11.11.2025
Thomas;121110000;522;64;12.11.2025
Christoph;65850000;461;26;12.11.2025
Dominik;73720000;449;60;12.11.2025
Andreas;76510000;446;30;12.11.2025
Alfons;68090000;418;36;12.11.2025
Christian;40480000;344;27;12.11.2025
Nico;47140000;338;43;12.11.2025
Pascal;51100000;308;34;12.11.2025
Thomas;131800000;522;64;13.11.2025
Christoph;71210000;461;26;13.11.2025
Dominik;74600000;449;60;13.11.2025
Andreas;76020000;446;30;13.11.2025
Alfons;68230000;418;36;13.11.2025
Christian;40660000;344;27;13.11.2025
Nico;50020000;338;43;13.11.2025
Pascal;51680000;308;34;13.11.2025
Thomas;128740000;522;64;14.11.2025
Christoph;69050000;461;26;14.11.2025
Dominik;72900000;449;60;14.11.2025
Andreas;73560000;446;30;14.11.2025
Alfons;73680000;418;36;14.11.2025
Christian;39500000;344;27;14.11.2025
Nico;49760000;338;43;14.11.2025
Pascal;51100000;308;34;14.11.2025
Thomas;99530000;522;64;15.11.2025
Christoph;67930000;461;26;15.11.2025
Dominik;74550000;449;60;15.11.2025
Andreas;81870000;446;30;15.11.2025
Alfons;77470000;418;36;15.11.2025
Christian;38830000;344;27;15.11.2025
Nico;50160000;338;43;15.11.2025
Pascal;50830000;308;34;15.11.2025
Thomas;104610000;522;64;16.11.2025
Christoph;68090000;461;26;16.11.2025
Dominik;77320000;449;60;16.11.2025
Andreas;78700000;446;30;16.11.2025
Alfons;79420000;418;36;16.11.2025
Christian;38220000;344;27;16.11.2025
Nico;49270000;338;43;16.11.2025
Pascal;49710000;308;34;16.11.2025
Thomas;106690000;522;64;17.11.2025
Christoph;68540000;461;26;17.11.2025
Dominik;77170000;449;60;17.11.2025
Andreas;78250000;446;30;17.11.2025
Alfons;83760000;418;36;17.11.2025
Christian;37800000;344;27;17.11.2025
Nico;49380000;338;43;17.11.2025
Pascal;49180000;308;34;17.11.2025
Thomas;101350000;522;64;18.11.2025
Christoph;69570000;461;26;18.11.2025
Dominik;75470000;449;60;18.11.2025
Andreas;78550000;446;30;18.11.2025
Alfons;78770000;418;36;18.11.2025
Christian;37290000;344;27;18.11.2025
Nico;48430000;338;43;18.11.2025
Pascal;49220000;308;34;18.11.2025
Thomas;103020000;522;64;19.11.2025
Christoph;69490000;461;26;19.11.2025
Dominik;77800000;449;60;19.11.2025
Andreas;79080000;446;30;19.11.2025
Alfons;85930000;418;36;19.11.2025
Christian;37610000;344;27;19.11.2025
Nico;47070000;338;43;19.11.2025
Pascal;49670000;308;34;19.11.2025
Thomas;94050000;522;64;20.11.2025
Christoph;66360000;461;26;20.11.2025
Dominik;85540000;449;60;20.11.2025
Andreas;73340000;446;30;20.11.2025
Alfons;80500000;418;36;20.11.2025
Christian;36660000;344;27;20.11.2025
Nico;45000000;338;43;20.11.2025
Pascal;48390000;308;34;20.11.2025
Thomas;95670000;522;64;21.11.2025
Christoph;63790000;461;26;21.11.2025
Dominik;86110000;449;60;21.11.2025
Andreas;61980000;446;30;21.11.2025
Alfons;65070000;418;36;21.11.2025
Christian;36460000;344;27;21.11.2025
Nico;44810000;338;43;21.11.2025
Pascal;46190000;308;34;21.11.2025
Thomas;97510000;522;64;22.11.2025
Christoph;64710000;461;26;22.11.2025
Dominik;73880000;449;60;22.11.2025
Andreas;62660000;446;30;22.11.2025
Alfons;65720000;418;36;22.11.2025
Christian;36740000;344;27;22.11.2025
Nico;44710000;338;43;22.11.2025
Pascal;47090000;308;34;22.11.2025
Thomas;103620000;570;48;23.11.2025
Christoph;63370000;507;46;23.11.2025
Andreas;60500000;491;45;23.11.2025
Dominik;71590000;476;27;23.11.2025
Alfons;66990000;459;41;23.11.2025
Nico;45530000;395;57;23.11.2025
Christian;36330000;379;35;23.11.2025
Pascal;47020000;339;31;23.11.2025
Thomas;104700000;570;48;24.11.2025
Christoph;63190000;507;46;24.11.2025
Andreas;60700000;491;45;24.11.2025
Dominik;70990000;476;27;24.11.2025
Alfons;67650000;459;41;24.11.2025
Nico;46710000;395;57;24.11.2025
Christian;36930000;379;35;24.11.2025
Pascal;47430000;339;31;24.11.2025
Thomas;101110000;570;48;25.11.2025
Christoph;63160000;507;46;25.11.2025
Andreas;58410000;491;45;25.11.2025
Dominik;68240000;476;27;25.11.2025
Alfons;73950000;459;41;25.11.2025
Nico;46980000;395;57;25.11.2025
Christian;36580000;379;35;25.11.2025
Pascal;46650000;339;31;25.11.2025
Thomas;91440000;570;48;26.11.2025
Christoph;63470000;507;46;26.11.2025
Andreas;58250000;491;45;26.11.2025
Dominik;68380000;476;27;26.11.2025
Alfons;74230000;459;41;26.11.2025
Nico;46390000;395;57;26.11.2025
Christian;36230000;379;35;26.11.2025
Pascal;46260000;339;31;26.11.2025
Thomas;90250000;570;48;27.11.2025
Christoph;62770000;507;46;27.11.2025
Andreas;57440000;491;45;27.11.2025
Dominik;66630000;476;27;27.11.2025
Alfons;84230000;459;41;27.11.2025
Nico;47330000;395;57;27.11.2025
Christian;35740000;379;35;27.11.2025
Pascal;45220000;339;31;27.11.2025
Thomas;93290000;570;48;28.11.2025
Christoph;64130000;507;46;28.11.2025
Andreas;58280000;491;45;28.11.2025
Dominik;74510000;476;27;28.11.2025
Alfons;68190000;459;41;28.11.2025
Nico;47000000;395;57;28.11.2025
Christian;36700000;379;35;28.11.2025
Pascal;45110000;339;31;28.11.2025
Thomas;93880000;570;48;29.11.2025
Christoph;65200000;507;46;29.11.2025
Andreas;58420000;491;45;29.11.2025
Dominik;78240000;476;27;29.11.2025
Alfons;69610000;459;41;29.11.2025
Nico;46080000;395;57;29.11.2025
Christian;36650000;379;35;29.11.2025
Pascal;44880000;339;31;29.11.2025
Thomas;89700000;570;48;30.11.2025
Christoph;59640000;507;46;30.11.2025
Andreas;59480000;491;45;30.11.2025
Dominik;73890000;476;27;30.11.2025
Alfons;85880000;459;41;30.11.2025
Nico;47190000;395;57;30.11.2025
Christian;37960000;379;35;30.11.2025
Pascal;46160000;339;31;30.11.2025
Thomas;90740000;610;40;01.12.2025
Christoph;59130000;557;50;01.12.2025
Dominik;74800000;535;59;01.12.2025
Alfons;76800000;515;56;01.12.2025
Andreas;59940000;506;15;01.12.2025
Nico;48150000;444;49;01.12.2025
Christian;38690000;438;59;01.12.2025
Pascal;46300000;375;36;01.12.2025
Thomas;91380000;610;40;02.12.2025
Christoph;69180000;557;50;02.12.2025
Dominik;76560000;535;59;02.12.2025
Alfons;77780000;515;56;02.12.2025
Andreas;60800000;506;15;02.12.2025
Nico;48610000;444;49;02.12.2025
Christian;38620000;438;59;02.12.2025
Pascal;47400000;375;36;02.12.2025
Thomas;91470000;610;40;03.12.2025
Christoph;69390000;557;50;03.12.2025
Dominik;77740000;535;59;03.12.2025
Alfons;78250000;515;56;03.12.2025
Andreas;60440000;506;15;03.12.2025
Nico;49090000;444;49;03.12.2025
Christian;39040000;438;59;03.12.2025
Pascal;47620000;375;36;03.12.2025
Thomas;91240000;610;40;04.12.2025
Christoph;71160000;557;50;04.12.2025
Dominik;81090000;535;59;04.12.2025
Alfons;79820000;515;56;04.12.2025
Andreas;60670000;506;15;04.12.2025
Nico;49430000;444;49;04.12.2025
Christian;39290000;438;59;04.12.2025
Pascal;47560000;375;36;04.12.2025
Thomas;90750000;610;40;05.12.2025
Christoph;72460000;557;50;05.12.2025
Dominik;88770000;535;59;05.12.2025
Alfons;68910000;515;56;05.12.2025
Andreas;59330000;506;15;05.12.2025
Nico;47810000;444;49;05.12.2025
Christian;38710000;438;59;05.12.2025
Pascal;47720000;375;36;05.12.2025
Thomas;91400000;610;40;06.12.2025
Christoph;73950000;557;50;06.12.2025
Dominik;85710000;535;59;06.12.2025
Alfons;72500000;515;56;06.12.2025
Andreas;61060000;506;15;06.12.2025
Nico;48160000;444;49;06.12.2025
Christian;38990000;438;59;06.12.2025
Pascal;48680000;375;36;06.12.2025
Thomas;94240000;610;40;07.12.2025
Christoph;74880000;557;50;07.12.2025
Dominik;83850000;535;59;07.12.2025
Alfons;76000000;515;56;07.12.2025
Andreas;61030000;506;15;07.12.2025
Nico;47150000;444;49;07.12.2025
Christian;38520000;438;59;07.12.2025
Pascal;49630000;375;36;07.12.2025
Thomas;94870000;688;78;08.12.2025
Christoph;74750000;621;64;08.12.2025
Dominik;83230000;593;58;08.12.2025
Alfons;74980000;557;42;08.12.2025
Andreas;61070000;553;47;08.12.2025
Nico;47560000;481;37;08.12.2025
Christian;39100000;474;36;08.12.2025
Pascal;49950000;401;26;08.12.2025
Thomas;96100000;688;78;09.12.2025
