Manager;Teamwert;Gesamtpunkte;letzte Punkte;Datum
Nico;52590000;0;0;02.07.2025
Andreas;52090000;0;0;02.07.2025
Christoph;49680000;0;0;02.07.2025
Christian;31470000;0;0;02.07.2025
Thomas;63340000;0;0;04.07.2025
Nico;57450000;0;0;04.07.2025
Dominik;57220000;0;0;04.07.2025
Pascal;52980000;0;0;04.07.2025
Alfons;52860000;0;0;04.07.2025
Andreas;51350000;0;0;04.07.2025
Christoph;50170000;0;0;04.07.2025
Christian;31940000;0;0;04.07.2025
Thomas;64080000;0;0;05.07.2025
Dominik;56870000;0;0;05.07.2025
Nico;56130000;0;0;05.07.2025
Alfons;54530000;0;0;05.07.2025
Pascal;53450000;0;0;05.07.2025
Andreas;51290000;0;0;05.07.2025
Christoph;50780000;0;0;05.07.2025
Christian;32450000;0;0;05.07.2025
Thomas;57940000;0;0;06.07.2025
Nico;56860000;0;0;06.07.2025
Dominik;55070000;0;0;06.07.2025
Alfons;53800000;0;0;06.07.2025
Pascal;51370000;0;0;06.07.2025
Andreas;50480000;0;0;06.07.2025
Christoph;50270000;0;0;06.07.2025
Christian;31710000;0;0;06.07.2025
Nico;58250000;0;0;07.07.2025
Thomas;57400000;0;0;07.07.2025
Dominik;55720000;0;0;07.07.2025
Alfons;53660000;0;0;07.07.2025
Pascal;52990000;0;0;07.07.2025
Christoph;51400000;0;0;07.07.2025
Andreas;51300000;0;0;07.07.2025
Christian;31940000;0;0;07.07.2025
Thomas;60440000;0;0;08.07.2025
Nico;57830000;0;0;08.07.2025
Dominik;54110000;0;0;08.07.2025
Alfons;51590000;0;0;08.07.2025
Pascal;51580000;0;0;08.07.2025
Andreas;50640000;0;0;08.07.2025
Christoph;50590000;0;0;08.07.2025
Christian;30570000;0;0;08.07.2025
Thomas;61480000;0;0;09.07.2025
Nico;58080000;0;0;09.07.2025
Dominik;54930000;0;0;09.07.2025
Alfons;52960000;0;0;09.07.2025
Pascal;51290000;0;0;09.07.2025
Andreas;51140000;0;0;09.07.2025
Christoph;39550000;0;0;09.07.2025
Christian;31250000;0;0;09.07.2025
Thomas;58930000;0;0;10.07.2025
Nico;55790000;0;0;10.07.2025
Dominik;53480000;0;0;10.07.2025
Alfons;51280000;0;0;10.07.2025
Pascal;50080000;0;0;10.07.2025
Andreas;49800000;0;0;10.07.2025
Christoph;49320000;0;0;10.07.2025
Christian;30300000;0;0;10.07.2025
Thomas;61790000;0;0;11.07.2025
Nico;57690000;0;0;11.07.2025
Dominik;54200000;0;0;11.07.2025
Alfons;51610000;0;0;11.07.2025
Pascal;50830000;0;0;11.07.2025
Andreas;50790000;0;0;11.07.2025
Christoph;48560000;0;0;11.07.2025
Christian;30460000;0;0;11.07.2025
Thomas;61210000;0;0;12.07.2025
Nico;56190000;0;0;12.07.2025
Dominik;53560000;0;0;12.07.2025
Pascal;50580000;0;0;12.07.2025
Christoph;50280000;0;0;12.07.2025
Alfons;50140000;0;0;12.07.2025
Andreas;48690000;0;0;12.07.2025
Christian;31000000;0;0;12.07.2025
Thomas;61430000;0;0;13.07.2025
Nico;57180000;0;0;13.07.2025
Dominik;54700000;0;0;13.07.2025
Christoph;51570000;0;0;13.07.2025
Alfons;51430000;0;0;13.07.2025
Andreas;49340000;0;0;13.07.2025
Pascal;41800000;0;0;13.07.2025
Christian;32030000;0;0;13.07.2025
Thomas;59300000;0;0;14.07.2025
Nico;54800000;0;0;14.07.2025
Christoph;51380000;0;0;14.07.2025
Dominik;50160000;0;0;14.07.2025
Alfons;49080000;0;0;14.07.2025
Andreas;48070000;0;0;14.07.2025
Pascal;40530000;0;0;14.07.2025
Christian;32550000;0;0;14.07.2025
Thomas;59730000;0;0;15.07.2025
Nico;56910000;0;0;15.07.2025
Dominik;50370000;0;0;15.07.2025
Alfons;49830000;0;0;15.07.2025
Andreas;48920000;0;0;15.07.2025
Christoph;46950000;0;0;15.07.2025
Pascal;41220000;0;0;15.07.2025
Christian;33660000;0;0;15.07.2025
Thomas;58800000;0;0;16.07.2025
Nico;55570000;0;0;16.07.2025
Christoph;50630000;0;0;16.07.2025
Dominik;49690000;0;0;16.07.2025
Andreas;48170000;0;0;16.07.2025
Alfons;48060000;0;0;16.07.2025
Pascal;41650000;0;0;16.07.2025
Christian;33670000;0;0;16.07.2025
Thomas;60150000;0;0;17.07.2025
Nico;56380000;0;0;17.07.2025
Andreas;48580000;0;0;17.07.2025
Dominik;48230000;0;0;17.07.2025
Alfons;47090000;0;0;17.07.2025
Christoph;44800000;0;0;17.07.2025
Pascal;42080000;0;0;17.07.2025
Christian;34070000;0;0;17.07.2025
Thomas;59360000;0;0;18.07.2025
Nico;54180000;0;0;18.07.2025
Dominik;47530000;0;0;18.07.2025
Pascal;47000000;0;0;18.07.2025
Andreas;46940000;0;0;18.07.2025
Alfons;46070000;0;0;18.07.2025
Christoph;34830000;0;0;18.07.2025
Christian;33330000;0;0;18.07.2025
Thomas;61240000;0;0;19.07.2025
Nico;54950000;0;0;19.07.2025
Dominik;48010000;0;0;19.07.2025
Andreas;47820000;0;0;19.07.2025
