Datum,Marktwert
2018-06-20,1100720000
2018-06-21,1061510000
2018-06-22,1085910000
2018-06-23,1053510000
2018-06-24,1056490000
2018-06-25,1033310000
2018-06-26,1048820000
2018-06-27,1018420000
2018-06-28,1036270000
2018-06-29,1003030000
2018-06-30,1017850000
2018-07-01,1003520000
2018-07-02,1019940000
2018-07-03,999500000
2018-07-04,1019320000
2018-07-05,1010570000
2018-07-06,1022350000
2018-07-07,1006180000
2018-07-08,1013800000
2018-07-09,995960000
2018-07-10,1011840000
2018-07-11,1004480000
2018-07-12,1015190000
2018-07-13,1004290000
2018-07-14,1016010000
2018-07-15,1020650000
2018-07-16,1010360000
2018-07-17,1025600000
2018-07-18,1025960000
2018-07-19,1013220000
2018-07-20,1029920000
2018-07-21,1019340000
2018-07-22,1030970000
2018-07-23,1021030000
2018-07-24,1039900000
2018-07-25,1041770000
2018-07-26,1065000000
2018-07-27,1065120000
2018-07-28,1069550000
2018-07-29,1053320000
2018-07-30,1078750000
2018-07-31,1079360000
2018-08-01,1073020000
2018-08-02,1098030000
2018-08-03,1097230000
2018-08-04,1086690000
2018-08-05,1099660000
2018-08-06,1096610000
2018-08-07,1125770000
2018-08-08,1127460000
2018-08-09,1119760000
2018-08-10,1138860000
2018-08-11,1145840000
2018-08-12,1130740000
2018-08-13,1162370000
2018-08-14,1159600000
2018-08-15,1181080000
2018-08-16,1164610000
2018-08-17,1139860000
2018-08-18,1159280000
2018-08-19,1141110000
2018-08-20,1153500000
2018-08-21,1145500000
2018-08-22,1157280000
2018-08-23,1142260000
2018-08-24,1152400000
2018-08-25,1140770000
2018-08-26,1151810000
2018-08-27,1143450000
2018-08-28,1153970000
2018-08-29,1157060000
2018-08-30,1142590000
2018-08-31,1142590000
2018-09-01,1144430000
2018-09-02,1134610000
2018-09-03,1149340000
2018-09-04,1145370000
2018-09-05,1158520000
2018-09-06,1150470000
2018-09-07,1161220000
2018-09-08,1142960000
2018-09-09,1140870000
2018-09-10,1135830000
2018-09-11,1138980000
2018-09-12,1107990000
2018-09-13,1117570000
2018-09-14,1095320000
2018-09-15,1114260000
2018-09-16,1114960000
2018-09-17,1107090000
2018-09-18,1125770000
2018-09-19,1126630000
2018-09-20,1116370000
2018-09-21,1122830000
2018-09-22,1123950000
2018-09-23,1117040000
2018-09-24,1140210000
2018-09-25,1129050000
2018-09-26,1152500000
2018-09-27,1154990000
2018-09-28,1150750000
2018-09-29,1172680000
2018-09-30,1184240000
2018-10-01,1189320000
2018-10-02,1183740000
2018-10-03,1211520000
2018-10-04,1207080000
2018-10-05,1207480000
2018-10-06,1197310000
2018-10-07,1214470000
2018-10-08,1210460000
2018-10-09,1229110000
2018-10-10,1217960000
2018-10-11,1227290000
2018-10-12,1208590000
2018-10-13,1206870000
2018-10-14,1206660000
2018-10-15,1209090000
2018-10-16,1166540000
2018-10-17,1156360000
2018-10-18,1145790000
2018-10-19,1142110000
2018-10-20,1161490000
2018-10-21,1136700000
2018-10-22,1142290000
2018-10-23,1128100000
2018-10-24,1130240000
2018-10-25,1101460000
2018-10-26,1089770000
2018-10-27,1101030000
2018-10-28,1087770000
2018-10-29,1094010000
2018-10-30,1076620000
2018-10-31,1078780000
2018-11-01,1065580000
2018-11-02,1069530000
2018-11-03,1057220000
2018-11-04,1061070000
2018-11-05,1050220000
2018-11-06,1057790000
2018-11-07,1042220000
2018-11-08,1039070000
2018-11-09,1033290000
2018-11-10,1056470000
2018-11-11,1053920000
2018-11-12,1068360000
2018-11-13,1070110000
2018-11-14,1064550000
2018-11-15,1074440000
2018-11-16,1068390000
2018-11-17,1072660000
2018-11-18,1051630000
2018-11-19,1046130000
2018-11-20,1050040000
2018-11-21,1024650000
2018-11-22,1025480000
2018-11-23,992670000
2018-11-24,1003890000
2018-11-25,995620000
2018-11-26,1010330000
2018-11-27,1005240000
2018-11-28,1015550000
2018-11-29,998690000
2018-11-30,998190000
2018-12-01,1015210000
2018-12-02,1003950000
2018-12-03,1014220000
2018-12-04,1003750000
2018-12-05,1015760000
2018-12-06,1000580000
2018-12-07,999570000
2018-12-08,1014650000
2018-12-09,1005210000
2018-12-10,1015500000
2018-12-11,1011920000
2018-12-12,1020120000
2018-12-13,1004200000
2018-12-14,1001360000
2018-12-15,1013180000
2018-12-16,1002100000
2018-12-17,1016560000
2018-12-18,1004970000
2018-12-19,1015710000
2018-12-20,1012930000
2018-12-21,1025400000
2018-12-22,1026640000
2018-12-23,1023840000
2018-12-24,1043560000
2018-12-25,1039270000
2018-12-26,1049710000
2018-12-27,1043130000
2018-12-28,1062620000
2018-12-29,1055490000
2018-12-30,1062060000
2018-12-31,1046680000
2019-01-01,1050070000
2019-01-02,1028240000
2019-01-03,1028790000
2019-01-04,1015920000
2019-01-05,1018490000
2019-01-06,1000230000
2019-01-07,1002340000
2019-01-08,979990000
2019-01-09,986510000
2019-01-10,972040000
2019-01-11,972980000
2019-01-12,957050000
2019-01-13,958470000
2019-01-14,949540000
2019-01-15,958550000
2019-01-16,950270000
