Datum,Marktwert
2017-04-15,970500000
2017-04-16,989350000
2017-04-17,989520000
2017-04-18,979840000
2017-04-19,996560000
2017-04-20,989060000
2017-04-21,995960000
2017-04-22,984150000
2017-04-23,997110000
2017-04-24,995180000
2017-04-25,1003910000
2017-04-26,998330000
2017-04-27,1013310000
2017-04-28,1002240000
2017-04-29,1007730000
2017-04-30,994420000
2017-05-01,1005490000
2017-05-02,997880000
2017-05-03,1006790000
2017-05-04,1000430000
2017-05-05,1006030000
2017-05-06,985710000
2017-05-07,993060000
2017-05-08,988930000
2017-05-09,1002680000
2017-05-10,992970000
2017-05-11,1012020000
2017-05-12,1004780000
2017-05-13,1003130000
2017-05-14,1028940000
2017-05-15,1028070000
2017-05-16,1053660000
2017-05-17,1053030000
2017-05-18,1086540000
2017-05-19,1089520000
2017-05-20,1107910000
2017-05-21,927950000
2017-05-22,853250000
2017-05-23,815840000
2017-05-24,786010000
2017-05-25,768230000
2017-05-26,753380000
2017-05-27,753070000
2017-05-28,753670000
2017-05-29,708210000
2017-05-30,765450000
2017-05-31,839030000
2017-06-01,895500000
2017-06-02,944310000
2017-06-03,967340000
2017-06-04,1018160000
2017-06-05,1004870000
2017-06-06,1071420000
2017-06-07,1071890000
2017-06-08,1094860000
2017-06-09,1079960000
2017-06-10,1133110000
2017-06-11,1107470000
2017-06-12,1163460000
2017-06-13,1159380000
2017-06-14,1185380000
2017-06-15,1188910000
2017-06-16,1209360000
2017-06-17,1174400000
2017-06-18,1217660000
2017-06-19,1190040000
2017-06-20,1215080000
2017-06-21,1205180000
2017-06-22,1237840000
2017-06-23,1207910000
2017-06-24,1242560000
2017-06-25,1216080000
2017-06-26,1226300000
2017-06-27,1208140000
2017-06-28,1235880000
2017-06-29,1208680000
2017-06-30,1238800000
2017-07-01,1239120000
2017-07-02,1249600000
2017-07-03,1231520000
2017-07-04,1264580000
2017-07-05,1259390000
2017-07-06,1298750000
2017-07-07,1306970000
2017-07-08,1299770000
2017-07-09,1283130000
2017-07-10,1315820000
2017-07-11,1322490000
2017-07-12,1326150000
2017-07-13,1309390000
2017-07-14,1335420000
2017-07-15,1335250000
2017-07-16,1354450000
2017-07-17,1351020000
2017-07-18,1368000000
2017-07-19,1352000000
2017-07-20,1364930000
2017-07-21,1354760000
2017-07-22,1363760000
2017-07-23,1342590000
2017-07-24,1355380000
2017-07-25,1334410000
2017-07-26,1335280000
2017-07-27,1310470000
2017-07-28,1315450000
2017-07-29,1291580000
2017-07-30,1292040000
2017-07-31,1263810000
2017-08-01,1261380000
2017-08-02,1269530000
2017-08-03,1244450000
2017-08-04,1249340000
2017-08-05,1225710000
2017-08-06,1222440000
2017-08-07,1231950000
2017-08-08,1203940000
2017-08-09,1203970000
2017-08-10,1182810000
2017-08-11,1186100000
2017-08-12,1162880000
2017-08-13,1159770000
2017-08-14,1160550000
2017-08-15,1138250000
2017-08-16,1141780000
2017-08-17,1128010000
2017-08-18,1138050000
2017-08-19,1125950000
2017-08-20,1125380000
2017-08-21,1134520000
2017-08-22,1115770000
2017-08-23,1133760000
2017-08-24,1108660000
2017-08-25,1101190000
2017-08-26,1107910000
2017-08-27,1089830000
2017-08-28,1092470000
2017-08-29,1078420000
2017-08-30,1082730000
2017-08-31,1064680000
