Datum,Marktwert
2024-02-07,1500800000
2024-02-08,1497440000
2024-02-09,1509860000
2024-02-10,1507030000
2024-02-11,1515510000
2024-02-12,1513470000
2024-02-13,1524720000
2024-02-14,1517500000
2024-02-15,1518510000
2024-02-16,1500170000
2024-02-17,1507430000
2024-02-18,1504800000
2024-02-19,1516690000
2024-02-20,1515110000
2024-02-21,1518150000
2024-02-22,1511650000
2024-02-23,1524090000
2024-02-24,1513770000
2024-02-25,1524770000
2024-02-26,1520660000
2024-02-27,1530200000
2024-02-28,1517060000
2024-02-29,1520620000
2024-03-01,1500900000
2024-03-02,1507410000
2024-03-03,1506490000
2024-03-04,1518140000
2024-03-05,1511850000
2024-03-06,1516900000
2024-03-07,1500280000
2024-03-08,1499640000
2024-03-09,1511390000
2024-03-10,1503090000
2024-03-11,1513560000
2024-03-12,1508430000
2024-03-13,1515450000
2024-03-14,1500800000
2024-03-15,1503180000
2024-03-16,1489130000
2024-03-17,1500700000
2024-03-18,1497400000
2024-03-19,1503580000
2024-03-20,1491390000
2024-03-21,1496790000
2024-03-22,1474050000
2024-03-23,1469200000
2024-03-24,1467360000
2024-03-25,1464440000
2024-03-26,1471330000
2024-03-27,1433450000
2024-03-28,1421690000
2024-03-29,1417220000
2024-03-30,1421040000
2024-03-31,1401310000
2024-04-01,1403390000
2024-04-02,1393390000
2024-04-03,1394390000
2024-04-04,1378280000
2024-04-05,1390260000
2024-04-06,1369270000
2024-04-07,1378160000
2024-04-08,1373310000
2024-04-09,1382960000
2024-04-10,1370840000
2024-04-11,1378460000
2024-04-12,1376210000
2024-04-13,1377850000
2024-04-14,1371950000
2024-04-15,1376380000
2024-04-16,1370370000
2024-04-17,1381020000
2024-04-18,1367520000
2024-04-19,1379290000
2024-04-20,1366450000
2024-04-21,1373750000
2024-04-22,1364790000
2024-04-23,1379480000
2024-04-24,1370800000
2024-04-25,1375990000
2024-04-26,1365450000
2024-04-27,1368700000
2024-04-28,1361210000
2024-04-29,1372320000
2024-04-30,1373100000
2024-05-01,1361530000
2024-05-02,1371000000
2024-05-03,1358480000
2024-05-04,1371470000
2024-05-05,1368660000
2024-05-06,1389820000
2024-05-07,1395460000
2024-05-08,1390260000
2024-05-09,1408790000
2024-05-10,1413960000
2024-05-11,1397790000
2024-05-12,1417820000
2024-05-13,1427560000
2024-05-14,1428320000
2024-05-15,1422020000
2024-05-16,1450160000
2024-05-17,1470080000
2024-05-18,1523610000
2024-05-19,1198490000
2024-05-20,1101460000
2024-05-21,1057650000
2024-05-22,1023430000
2024-05-23,997000000
2024-05-24,985000000
2024-05-25,974640000
2024-05-26,976740000
2024-05-27,985780000
2024-05-28,1032840000
2024-05-29,1135070000
2024-05-30,1215870000
2024-05-31,1280280000
2024-06-01,1320620002
2024-06-02,1380490000
2024-06-03,1379850000
2024-06-04,1435780000
2024-06-05,1454570000
2024-06-06,1475790000
2024-06-07,1475400000
2024-06-08,1512340000
2024-06-09,1491630000
2024-06-10,1517080000
2024-06-11,1506300000
2024-06-12,1522470000
2024-06-13,1507940000
2024-06-14,1547110000
2024-06-15,1520080000
2024-06-16,1541750000
2024-06-17,1522480000
2024-06-18,1532660000
2024-06-19,1512400000
2024-06-20,1527810000
2024-06-21,1487290000
2024-06-22,1504940000
