Datum,Marktwert
2019-06-20,1210000000
2019-06-21,1171530000
2019-06-22,1201230000
2019-06-23,1170950000
2019-06-24,1181760000
2019-06-25,1153310000
2019-06-26,1176990000
2019-06-27,1145150000
2019-06-28,1177790000
2019-06-29,1145070000
2019-06-30,1158330000
2019-07-01,1161170000
2019-07-02,1179090000
2019-07-03,1163850000
2019-07-04,1195860000
2019-07-05,1202680000
2019-07-06,1202610000
2019-07-07,1218950000
2019-07-08,1228970000
2019-07-09,1221470000
2019-07-10,1257180000
2019-07-11,1247400000
2019-07-12,1248940000
2019-07-13,1266510000
2019-07-14,1259870000
2019-07-15,1274680000
2019-07-16,1284480000
2019-07-17,1276030000
2019-07-18,1303570000
2019-07-19,1307760000
2019-07-20,1300290000
2019-07-21,1324710000
2019-07-22,1324640000
2019-07-23,1351960000
2019-07-24,1329220000
2019-07-25,1328150000
2019-07-26,1344610000
2019-07-27,1341580000
2019-07-28,1366140000
2019-07-29,1364610000
2019-07-30,1358480000
2019-07-31,1381520000
2019-08-01,1350860000
2019-08-02,1349480000
2019-08-03,1354300000
2019-08-04,1315970000
2019-08-05,1306580000
2019-08-06,1308870000
2019-08-07,1276690000
2019-08-08,1302280000
2019-08-09,1295130000
2019-08-10,1306970000
2019-08-11,1296050000
2019-08-12,1308260000
2019-08-13,1297880000
2019-08-14,1327530000
2019-08-15,1311440000
2019-08-16,1335770000
2019-08-17,1318380000
2019-08-18,1324050000
2019-08-19,1312730000
2019-08-20,1332740000
2019-08-21,1323690000
2019-08-22,1332910000
2019-08-23,1307110000
2019-08-24,1324200000
2019-08-25,1308460000
2019-08-26,1315450000
2019-08-27,1317870000
2019-08-28,1334910000
2019-08-29,1326260000
2019-08-30,1331290000
2019-08-31,1329850000
2019-09-01,1338720000
2019-09-02,1331530000
2019-09-03,1348120000
2019-09-04,1334980000
2019-09-05,1347400000
2019-09-06,1329540000
2019-09-07,1327210000
2019-09-08,1328860000
2019-09-09,1300710000
2019-09-10,1253940000
2019-09-11,1227030000
2019-09-12,1237680000
2019-09-13,1187490000
2019-09-14,1192380000
2019-09-15,1171080000
2019-09-16,1181510000
2019-09-17,1165210000
2019-09-18,1166510000
2019-09-19,1170350000
2019-09-20,1162310000
2019-09-21,1183050000
2019-09-22,1187470000
2019-09-23,1186030000
2019-09-24,1200910000
2019-09-25,1201210000
2019-09-26,1197900000
2019-09-27,1215370000
2019-09-28,1215710000
2019-09-29,1213400000
2019-09-30,1234990000
2019-10-01,1239710000
2019-10-02,1241490000
2019-10-03,1216880000
2019-10-04,1233430000
2019-10-05,1243590000
2019-10-06,1243910000
2019-10-07,1264400000
2019-10-08,1268380000
2019-10-09,1266650000
2019-10-10,1285660000
2019-10-11,1284070000
2019-10-12,1295020000
2019-10-13,1281350000
2019-10-14,1287400000
2019-10-15,1274030000
2019-10-16,1281940000
2019-10-17,1259940000
2019-10-18,1258790000
2019-10-19,1276300000
2019-10-20,1275770000
2019-10-21,1296500000
2019-10-22,1296370000
2019-10-23,1317140000
2019-10-24,1318170000
2019-10-25,1294760000
2019-10-26,1315740000
2019-10-27,1315480000
2019-10-28,1331020000
2019-10-29,1330270000
2019-10-30,1352150000
2019-10-31,1340120000
2019-11-01,1346780000
2019-11-02,1350170000
2019-11-03,1347450000
2019-11-04,1372550000
2019-11-05,1374080000
2019-11-06,1372470000
2019-11-07,1390540000
2019-11-08,1378900000
2019-11-09,1399010000
2019-11-10,1399380000
2019-11-11,1401840000
2019-11-12,1392860000
2019-11-13,1409150000
2019-11-14,1413470000
2019-11-15,1402590000
2019-11-16,1414110000
2019-11-17,1398480000
