Datum,Marktwert
2011-06-20,732268250
2011-06-21,720267500
2011-06-22,725475500
2011-06-23,719311000
2011-06-24,717075600
2011-06-25,704165500
2011-06-26,707487500
2011-06-27,689746000
2011-06-28,689746000
2011-06-29,655350000
2011-06-30,696726500
2011-07-01,693377825
2011-07-02,722048000
2011-07-03,725418500
2011-07-04,751224525
2011-07-05,751689500
2011-07-06,777613500
2011-07-07,777335000
2011-07-08,790636525
2011-07-09,806147500
2011-07-10,818067500
2011-07-11,817052500
2011-07-12,825826000
2011-07-13,831730500
2011-07-14,841212500
2011-07-15,852497000
2011-07-16,868243500
2011-07-17,870623500
2011-07-18,870620000
2011-07-19,870367000
2011-07-20,875339000
2011-07-21,885400500
2011-07-22,883934500
2011-07-23,882609500
2011-07-24,880051500
2011-07-25,879594000
2011-07-26,880101500
2011-07-27,882646000
2011-07-28,892940000
2011-07-29,906700000
2011-07-30,919530000
2011-07-31,933870000
2011-08-01,946700000
2011-08-02,945550000
2011-08-03,948590000
2011-08-04,949880000
2011-08-05,961300000
2011-08-06,933280000
2011-08-07,912630000
2011-08-08,900530000
2011-08-09,883960000
2011-08-10,874720000
2011-08-11,869950000
2011-08-12,852890000
2011-08-13,844800000
2011-08-14,823190000
2011-08-15,822900000
2011-08-16,810980000
2011-08-17,804370000
2011-08-18,801740000
2011-08-19,796260000
2011-08-20,783480000
2011-08-21,783570000
2011-08-22,782020000
2011-08-23,795570000
2011-08-24,730670000
2011-08-25,711230000
2011-08-26,686800000
2011-08-27,702720000
2011-08-28,700450000
2011-08-29,702230000
2011-08-30,705570000
2011-08-31,708380000
2011-09-01,706890000
2011-09-02,706930000
2011-09-03,704730000
2011-09-04,700970000
2011-09-05,738670000
2011-09-06,762850000
2011-09-07,786810000
2011-09-08,781190000
2011-09-09,779440000
2011-09-10,775760000
2011-09-11,722890000
2011-09-12,710780000
2011-09-13,708350000
2011-09-14,702040000
2011-09-15,671290000
2011-09-16,666270000
2011-09-17,686430000
2011-09-18,707030000
2011-09-19,722470000
2011-09-20,742350000
2011-09-21,721280000
2011-09-22,690500000
2011-09-23,662410000
2011-09-24,652080000
2011-09-25,641160000
2011-09-26,632640000
2011-09-27,630520000
2011-09-28,633090000
2011-09-29,617270000
2011-09-30,604700000
2011-10-01,620800000
2011-10-02,633820000
2011-10-03,645000000
2011-10-04,659020000
2011-10-05,674410000
2011-10-06,690980000
2011-10-07,702220000
2011-10-08,708160000
2011-10-09,706230000
2011-10-10,701480000
2011-10-11,698110000
2011-10-12,685940000
2011-10-13,674810000
2011-10-14,650030000
2011-10-15,651360000
2011-10-16,649850000
2011-10-17,651860000
2011-10-18,660300000
2011-10-19,663910000
2011-10-20,661240000
2011-10-21,642590000
2011-10-22,647490000
2011-10-23,652210000
2011-10-24,660670000
2011-10-25,672670000
2011-10-26,673630000
2011-10-27,670130000
2011-10-28,648350000
2011-10-29,657080000
2011-10-30,667550000
2011-10-31,674390000
2011-11-01,681340000
2011-11-02,684820000
2011-11-03,689510000
2011-11-04,680700000
2011-11-05,687920000
2011-11-06,699770000
2011-11-07,716960000
2011-11-08,667080000
2011-11-09,637160000
2011-11-10,649930000
2011-11-11,658480000
2011-11-12,664030000
2011-11-13,666160000
2011-11-14,663750000
2011-11-15,660300000
2011-11-16,652900000
2011-11-17,652620000
2011-11-18,644130000
2011-11-19,648400000
2011-11-20,652730000
2011-11-21,654540000
2011-11-22,662240000
2011-11-23,664760000
2011-11-24,667320000
2011-11-25,664040000
2011-11-26,673830000
2011-11-27,677540000
2011-11-28,683270000
2011-11-29,691160000
2011-11-30,694590000
2011-12-01,696150000
2011-12-02,686330000
2011-12-03,690330000
2011-12-04,695980000
2011-12-05,700840000
2011-12-06,712090000
2011-12-07,713220000
2011-12-08,714230000
2011-12-09,702220000
2011-12-10,717950000
2011-12-11,726730000
2011-12-12,735280000
2011-12-13,747050000
2011-12-14,754120000
2011-12-15,757590000
2011-12-16,751170000
2011-12-17,761310000
2011-12-18,776430000
2011-12-19,785580000
2011-12-20,805700000
2011-12-21,823790000
2011-12-22,838610000
2011-12-23,854520000
2011-12-24,854450000
2011-12-25,848110000
2011-12-26,839000000
2011-12-27,832430000
2011-12-28,828360000
2011-12-29,822440000
2011-12-30,818860000
2011-12-31,811090000
2012-01-01,799190000
2012-01-02,789870000
2012-01-03,781390000
2012-01-04,777370000
2012-01-05,785140000
2012-01-06,788550000
2012-01-07,794050000
2012-01-08,799350000
2012-01-09,800950000
2012-01-10,804210000
2012-01-11,806270000
2012-01-12,807280000
2012-01-13,807780000
2012-01-14,807930000
2012-01-15,796820000
2012-01-16,792020000
2012-01-17,785280000
2012-01-18,776190000
2012-01-19,770320000
2012-01-20,762540000
2012-01-21,767250000
2012-01-22,773970000
2012-01-23,786960000
2012-01-24,803510000
2012-01-25,825000000
2012-01-26,833010000
2012-01-27,826570000
2012-01-28,830180000
2012-01-29,831430000
2012-01-30,836970000
2012-01-31,854190000
2012-02-01,871740000
2012-02-02,878990000
2012-02-03,885220000
2012-02-04,902900000
2012-02-05,919810000
2012-02-06,936700000
2012-02-07,958100000
2012-02-08,963120000
2012-02-09,972400000
2012-02-10,948260000
2012-02-11,955010000
2012-02-12,955640000
2012-02-13,955240000
2012-02-14,964250000
2012-02-15,960790000
2012-02-16,961310000
2012-02-17,939540000
2012-02-18,928550000
2012-02-19,931940000
2012-02-20,941790000
2012-02-21,955180000
2012-02-22,961300000
2012-02-23,959170000
2012-02-24,942490000
2012-02-25,947590000
2012-02-26,945500000
2012-02-27,958820000
2012-02-28,965440000
2012-02-29,972130000
2012-03-01,973750000
2012-03-02,952150000
2012-03-03,927800000
2012-03-04,927730000
2012-03-05,929970000
2012-03-06,941460000
2012-03-07,952640000
2012-03-08,946680000
2012-03-09,927530000
2012-03-10,923170000
2012-03-11,917700000
2012-03-12,915940000
2012-03-13,923600000
2012-03-14,932310000
2012-03-15,926570000
2012-03-16,910660000
2012-03-17,910050000
2012-03-18,909150000
2012-03-19,911410000
2012-03-20,919330000
2012-03-21,924660000
2012-03-22,919570000
2012-03-23,895250000
2012-03-24,891430000
2012-03-25,888160000
2012-03-26,892150000
2012-03-27,898280000
2012-03-28,891200000
2012-03-29,878530000
2012-03-30,848720000
2012-03-31,843180000
2012-04-01,833120000
2012-04-02,825870000
2012-04-03,827830000
2012-04-04,849070000
2012-04-05,865410000
2012-04-06,867460000
2012-04-07,848870000
2012-04-08,872270000
2012-04-09,886920000
2012-04-10,883100000
2012-04-11,903480000
2012-04-12,914380000
2012-04-13,927680000
2012-04-14,968370000
2012-04-15,998220000
2012-04-16,1033730000
2012-04-17,1063600000
2012-04-18,1055770000
2012-04-19,1037750000
2012-04-20,976480000
2012-04-21,938290000
2012-04-22,941300000
2012-04-23,952810000
2012-04-24,985490000
2012-04-25,1005600000
2012-04-26,1013180000
2012-04-27,998490000
2012-04-28,968420000
2012-04-29,956070000
2012-04-30,968620000
2012-05-01,978000000
2012-05-02,979650000
2012-05-03,981000000
2012-05-04,981000000
2012-05-05,916900000
2012-05-06,862590000
2012-05-07,746840000
2012-05-08,700120000
2012-05-09,655760000
2012-05-10,607060000
2012-05-11,570500000
2012-05-12,561720000
2012-05-13,538340000
2012-05-14,524130000
2012-05-15,506920000
2012-05-16,495010000
2012-05-17,551680001
2012-05-18,623770000
2012-05-19,720760000
2012-05-20,815140000
2012-05-21,912070000
2012-05-22,1025510000
2012-05-23,1121650000
2012-05-24,1223760000
2012-05-25,1262090000
2012-05-26,1309710000
2012-05-27,1327050000
2012-05-28,1338370000
2012-05-29,1324180000
2012-05-30,1389180000
2012-05-31,1390850000
2012-06-01,1412690000
2012-06-02,1409190000
2012-06-03,1446980000
2012-06-04,1423230000
2012-06-05,1457170000
2012-06-06,1422580000
2012-06-07,1432990000
2012-06-08,1408150000
2012-06-09,1412720000
2012-06-10,1365470000
2012-06-11,1374470000
2012-06-12,1340260000
2012-06-13,1335100000
2012-06-14,1323670000
2012-06-15,1345150000
2012-06-16,1288990000
2012-06-17,1292930000
2012-06-18,1251520000
2012-06-19,1237800000
2012-06-20,1235090000
2012-06-21,1252510000
2012-06-22,1209810000
