SPIELER;VEREIN;POSITION;MARKTWERT;GESAMTPUNKTE;PUNKTE PRO SPIEL;PREIS-LEISTUNG;HISTORISCHE PUNKTEAUSBEUTE;Positionsgruppe
Adeyemi;Stürmer;Borussia Dortmund;8.690.000;126;5.0;Gut;Gering bis mittel;Sturm
Adli;Stürmer;Bayer 04 Leverkusen;3.190.000;69;3.5;Gut;Über dem Mittel;Sturm
Afolayan;Stürmer;FC St. Pauli;2.100.000;94;3.0;Gut;Gering bis mittel;Sturm
André Silva;Stürmer;RB Leipzig;1.220.000;43;2.9;Gut;Deutlich über dem Mittel;Sturm
Asllani;Stürmer;TSG Hoffenheim;5.720.000;0;0.1;Schlecht;Gering bis mittel;Sturm
Bahoya;Stürmer;Eintracht Frankfurt;4.630.000;80;3.6;Gut;Gering bis mittel;Sturm
Bebou;Stürmer;TSG Hoffenheim;2.140.000;0;0.0;Schlecht;Deutlich über dem Mittel;Sturm
Beier;Stürmer;Borussia Dortmund;7.340.000;115;4.0;Durchschnittlich;Gering bis mittel;Sturm
Beljo;Stürmer;FC Augsburg;630.000;0;2.1;Gut;Gering bis mittel;Sturm
Berisha;Stürmer;TSG Hoffenheim;1.060.000;35;2.7;Gut;Gering bis mittel;Sturm
Bobzien;Stürmer;1. FSV Mainz 05;210.000;0;0.0;Schlecht;Gering bis mittel;Sturm
Boniface;Stürmer;Bayer 04 Leverkusen;5.620.000;89;4.9;Gut;Gering bis mittel;Sturm
Borges Sanches;Stürmer;Borussia Mönchengladbach;190.000;0;2.0;Gut;Gering bis mittel;Sturm
Breunig;Stürmer;1.FC Heidenheim;390.000;32;2.7;Gut;Gering bis mittel;Sturm
Bruun Larsen;Stürmer;VfB Stuttgart;1.130.000;71;2.8;Gut;Gering bis mittel;Sturm
Burkardt;Stürmer;1. FSV Mainz 05;11.770.000;184;6.6;Gut;Gering bis mittel;Sturm
Burke;Stürmer;1.FC Union Berlin;3.830.000;92;3.8;Gut;Gering bis mittel;Sturm
Coman;Stürmer;FC Bayern München;8.910.000;130;4.6;Durchschnittlich;Deutlich über dem Mittel;Sturm
Conteh;Stürmer;1.FC Heidenheim;720.000;58;2.0;Gut;Gering bis mittel;Sturm
Demirović;Stürmer;VfB Stuttgart;6.380.000;144;4.2;Gut;Über dem Mittel;Sturm
Diehl;Stürmer;VfB Stuttgart;1.030.000;12;2.4;Gut;Gering bis mittel;Sturm
Dinkçi;Stürmer;Sport-Club Freiburg;1.740.000;51;2.2;Gut;Gering bis mittel;Sturm
Ducksch;Stürmer;SV Werder Bremen;7.390.000;177;5.5;Gut;Über dem Mittel;Sturm
Duranville;Stürmer;Borussia Dortmund;1.830.000;16;1.3;Schlecht;Gering bis mittel;Sturm
Eduardo;Stürmer;RB Leipzig;690.000;0;0.0;Schlecht;Gering bis mittel;Sturm
Ekitiké;Stürmer;Eintracht Frankfurt;9.220.000;207;6.3;Gut;Gering bis mittel;Sturm
Faghir;Stürmer;VfB Stuttgart;190.000;0;2.8;Gut;Gering bis mittel;Sturm
Fukuda;Stürmer;Borussia Mönchengladbach;410.000;9;1.8;Gut;Gering bis mittel;Sturm
Gittens;Stürmer;Borussia Dortmund;5.530.000;137;4.6;Gut;Gering bis mittel;Sturm
Gnabry;Stürmer;FC Bayern München;6.650.000;124;4.8;Gut;Deutlich über dem Mittel;Sturm
Gregoritsch;Stürmer;Sport-Club Freiburg;1.740.000;43;2.3;Gut;Deutlich über dem Mittel;Sturm
Grüll;Stürmer;SV Werder Bremen;1.830.000;85;3.3;Gut;Gering bis mittel;Sturm
Guirassy;Stürmer;Borussia Dortmund;16.930.000;207;6.9;Schlecht;Über dem Mittel;Sturm
Hack;Stürmer;Borussia Mönchengladbach;4.920.000;127;3.8;Gut;Gering bis mittel;Sturm
Haller;Stürmer;Borussia Dortmund;840.000;0;1.6;Durchschnittlich;Gering bis mittel;Sturm
Hložek;Stürmer;TSG Hoffenheim;5.510.000;129;5.0;Gut;Gering bis mittel;Sturm
Hollerbach;Stürmer;1. FSV Mainz 05;5.030.000;129;3.8;Gut;Gering bis mittel;Sturm
Honorat;Stürmer;Borussia Mönchengladbach;7.900.000;122;6.4;Gut;Gering bis mittel;Sturm
Honsak;Stürmer;1.FC Heidenheim;1.910.000;86;3.9;Gut;Gering bis mittel;Sturm
Höler;Stürmer;Sport-Club Freiburg;3.190.000;104;3.4;Gut;Deutlich über dem Mittel;Sturm
Jeong;Stürmer;1.FC Union Berlin;1.540.000;76;3.5;Gut;Gering bis mittel;Sturm
Kane;Stürmer;FC Bayern München;19.050.000;275;8.9;Schlecht;Gering bis mittel;Sturm
Kastanaras;Stürmer;VfB Stuttgart;170.000;0;0.7;Schlecht;Gering bis mittel;Sturm
Kaufmann;Stürmer;1.FC Heidenheim;290.000;26;2.9;Gut;Gering bis mittel;Sturm
Kleindienst;Stürmer;Borussia Mönchengladbach;10.450.000;206;6.6;Gut;Gering bis mittel;Sturm
Kownacki;Stürmer;SV Werder Bremen;670.000;0;1.5;Durchschnittlich;Gering bis mittel;Sturm
Kramarić;Stürmer;TSG Hoffenheim;8.370.000;167;5.2;Durchschnittlich;Deutlich über dem Mittel;Sturm
M. Philipp;Stürmer;Sport-Club Freiburg;260.000;0;0.0;Schlecht;Gering bis mittel;Sturm
Matanović;Stürmer;Eintracht Frankfurt;3.070.000;30;2.1;Schlecht;Gering bis mittel;Sturm
Maurides;Stürmer;FC St. Pauli;180.000;0;0.0;Schlecht;Gering bis mittel;Sturm
Milošević;Stürmer;VfB Stuttgart;200.000;0;1.3;Durchschnittlich;Gering bis mittel;Sturm
Moerstedt;Stürmer;TSG Hoffenheim;1.290.000;24;2.4;Gut;Gering bis mittel;Sturm
Moukoko;Stürmer;Borussia Dortmund;1.240.000;0;3.0;Gut;Gering bis mittel;Sturm
Nacho Ferri;Stürmer;Eintracht Frankfurt;170.000;0;2.0;Gut;Gering bis mittel;Sturm
Ngankam;Stürmer;Eintracht Frankfurt;240.000;0;0.4;Schlecht;Gering bis mittel;Sturm
Ngoumou;Stürmer;Borussia Mönchengladbach;780.000;59;3.3;Gut;Gering bis mittel;Sturm
Njinmah;Stürmer;SV Werder Bremen;2.220.000;72;3.0;Gut;Gering bis mittel;Sturm
Openda;Stürmer;RB Leipzig;9.850.000;157;4.8;Durchschnittlich;Gering bis mittel;Sturm
Pejčinović;Stürmer;VfL Wolfsburg;540.000;0;1.5;Durchschnittlich;Gering bis mittel;Sturm
Perea;Stürmer;VfB Stuttgart;170.000;0;1.2;Durchschnittlich;Gering bis mittel;Sturm
Pieringer;Stürmer;1.FC Heidenheim;3.190.000;140;4.5;Gut;Gering bis mittel;Sturm
Pléa;Stürmer;Borussia Mönchengladbach;5.620.000;139;4.8;Gut;Deutlich über dem Mittel;Sturm
Poulsen;Stürmer;RB Leipzig;1.080.000;53;2.7;Gut;Über dem Mittel;Sturm
Ranos;Stürmer;Borussia Mönchengladbach;340.000;1;0.5;Schlecht;Gering bis mittel;Sturm
Reyna;Stürmer;Borussia Dortmund;780.000;36;2.4;Gut;Gering bis mittel;Sturm
Richter;Stürmer;1. FSV Mainz 05;630.000;0;2.6;Gut;Über dem Mittel;Sturm
Saad;Stürmer;FC Augsburg;1.930.000;66;3.9;Gut;Gering bis mittel;Sturm
Schick;Stürmer;Bayer 04 Leverkusen;11.900.000;190;6.3;Gut;Über dem Mittel;Sturm
Schimmer;Stürmer;1.FC Heidenheim;190.000;21;1.8;Gut;Gering bis mittel;Sturm
Scienza;Stürmer;1.FC Heidenheim;2.780.000;102;4.1;Gut;Gering bis mittel;Sturm
Sinani;Stürmer;FC St. Pauli;2.760.000;94;3.9;Gut;Gering bis mittel;Sturm
Skarke;Stürmer;1.FC Union Berlin;850.000;59;1.8;Durchschnittlich;Gering bis mittel;Sturm
Tiago Tomás;Stürmer;VfL Wolfsburg;3.220.000;107;3.6;Gut;Gering bis mittel;Sturm
Tietz;Stürmer;FC Augsburg;3.860.000;123;3.6;Gut;Gering bis mittel;Sturm
Waldschmidt;Stürmer;1. FC Köln;2.010.000;0;3.1;Gut;Gering bis mittel;Sturm
Wimmer;Stürmer;VfL Wolfsburg;4.180.000;108;3.7;Gut;Über dem Mittel;Sturm
Wind;Stürmer;VfL Wolfsburg;5.080.000;158;5.1;Gut;Gering bis mittel;Sturm
Woltemade;Stürmer;VfB Stuttgart;14.360.000;134;4.8;Schlecht;Gering bis mittel;Sturm
Zaragoza;Stürmer;FC Bayern München;680.000;0;2.0;Gut;Gering bis mittel;Sturm
Černý;Stürmer;VfL Wolfsburg;860.000;0;2.5;Gut;Gering bis mittel;Sturm
Čvančara;Stürmer;Borussia Mönchengladbach;720.000;35;1.3;Schlecht;Gering bis mittel;Sturm
Šeško;Stürmer;RB Leipzig;9.250.000;149;4.7;Durchschnittlich;Gering bis mittel;Sturm
