Spieler;Marktwert;Besitzer;TM_Stand;Datum
Swider;160000;;;17.06.2025
T. Drexler;460000;;;17.06.2025
T. Philipp;160000;;;17.06.2025
Tabaković;1420000;;;17.06.2025
Tah;9610000;;;17.06.2025
Tape;3640000;;;17.06.2025
Tapsoba;4230000;;;17.06.2025
Tauer;160000;;;17.06.2025
Tella;4380000;;;17.06.2025
Telle;170000;;;17.06.2025
Terrier;2680000;;;17.06.2025
Theate;5530000;;;17.06.2025
Thielmann;2320000;;;17.06.2025
Tiago Tomás;3380000;;;17.06.2025
Tietz;3780000;;;17.06.2025
Tigges;280000;;;17.06.2025
Tohumcu;420000;;;17.06.2025
Topp;2290000;;;17.06.2025
Torunarigha;4220000;;;17.06.2025
Tousart;240000;;;17.06.2025
Traoré;1490000;;;17.06.2025
Trapp;2340000;;;17.06.2025
Treu;3170000;;;17.06.2025
Trimmel;1610000;;;17.06.2025
Tschernuth;160000;;;17.06.2025
Tuta;3500000;;;17.06.2025
Ullrich;1760000;;;17.06.2025
Ulrich;170000;;;17.06.2025
Undav;10940000;;;17.06.2025
Upamecano;6080000;;;17.06.2025
Urbig;880000;;;17.06.2025
Uzun;4110000;;;17.06.2025
Vagnoman;1800000;;;17.06.2025
Vandevoordt;1490000;;;17.06.2025
Vasilj;2820000;;;17.06.2025
Vavro;6600000;;;17.06.2025
Veratschnig;370000;;;17.06.2025
Vermeeren;2170000;;;17.06.2025
Vidić;400000;;;17.06.2025
Vogt;990000;;;17.06.2025
Voll;260000;;;17.06.2025
Vranckx;670000;;;17.06.2025
W. Orbán;6020000;;;17.06.2025
Wahi;2830000;;;17.06.2025
Wahl;3070000;;;17.06.2025
Waldschmidt;2390000;;;17.06.2025
Wanner;4260000;;;17.06.2025
Wätjen;260000;;;17.06.2025
Weigl;4590000;;;17.06.2025
Weiser;6530000;;;17.06.2025
Weißhaupt;2250000;;;17.06.2025
Werner;2610000;;;17.06.2025
Widmer;640000;;;17.06.2025
Wimmer;4170000;;;17.06.2025
Wind;6460000;;;17.06.2025
Wirtz;10560000;;;17.06.2025
Woltemade;14010000;;;17.06.2025
Xavi Simons;13560000;;;17.06.2025
Xhaka;11350000;;;17.06.2025
Yalçınkaya;170000;;;17.06.2025
Yardımcı;410000;;;17.06.2025
Zagadou;2050000;;;17.06.2025
Zaragoza;690000;;;17.06.2025
Zentner;3300000;;;17.06.2025
Zesiger;1940000;;;17.06.2025
Zetterer;2380000;;;17.06.2025
Zingerle;160000;;;17.06.2025
Zivzivadze;2370000;;;17.06.2025
Zvonarek;700000;;;17.06.2025
